strategy_name,start_date,end_date,trading_days,rebalances,initial_capital,final_portfolio_value,preliminary_total_return,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,mean_holdings,minimum_holdings,maximum_holdings,maximum_absolute_cash,maximum_absolute_cash_weight
full_ensemble,2020-02-03,2026-06-30,1610,77,1000000.0,4040172.810593051,3.0401728105930506,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,25.0,25,25,1.0109431514138123e-08,6.0592082960476274e-15
no_fundamentals,2020-02-03,2026-06-30,1610,77,1000000.0,4525468.330234049,3.525468330234049,44460.46500162924,86545456.30481124,0.5087088214905187,0.2609719556463681,25.0,25,25,1.0173721420869697e-08,1.1167462522347955e-14
no_momentum,2020-02-03,2026-06-30,1610,77,1000000.0,4203075.514248322,3.2030755142483214,39400.402130509596,76734031.84244648,0.46123092914895253,0.23722076389454624,25.0,25,25,9.221707841788884e-09,9.8141138846369e-15
