scenario,year,months,full_compounded_return,candidate_compounded_return,compounded_return_difference_vs_full,mean_monthly_return_difference_vs_full,candidate_beats_full_month_frequency,candidate_beats_full_year
no_fundamentals,2020,11,0.32233527639539994,0.35235978904615184,0.0300245126507519,0.002563309286963782,0.45454545454545453,True
no_fundamentals,2021,12,0.4428256210092647,0.45035011137558856,0.007524490366323855,0.0004145127306847747,0.5,True
no_fundamentals,2022,12,-0.11913513399629405,-0.10869944223470329,0.01043569176159076,0.0009093935700430662,0.5,True
no_fundamentals,2023,12,0.3655511781115619,0.3944622233363366,0.028911045224774723,0.0018502578065585755,0.75,True
no_fundamentals,2024,12,0.32687574766795713,0.33431486274215083,0.007439115074193703,0.0005610021311131499,0.6666666666666666,True
no_fundamentals,2025,12,0.20857619754722712,0.24521450902114572,0.036638311473918606,0.002530156125092191,0.5833333333333334,True
no_fundamentals,2026,6,0.09779930024743,0.11728765587646262,0.019488355629032617,0.002870231089244801,0.6666666666666666,True
no_momentum,2020,11,0.32233527639539994,0.3580925490293252,0.03575727263392525,0.0027909384119011657,0.6363636363636364,True
no_momentum,2021,12,0.4428256210092647,0.4333523521659184,-0.009473268843346316,-0.0005937366245533419,0.5833333333333334,False
no_momentum,2022,12,-0.11913513399629405,-0.11474840675387665,0.004386727242417399,0.0006113973357367427,0.5,True
no_momentum,2023,12,0.3655511781115619,0.3703966874339344,0.004845509322372488,0.0004311679076226254,0.6666666666666666,True
no_momentum,2024,12,0.32687574766795713,0.33804951330677135,0.011173765638814226,0.0007546106303050167,0.5833333333333334,True
no_momentum,2025,12,0.20857619754722712,0.19792408792326888,-0.010652109623958239,-0.0007639870684669333,0.4166666666666667,False
no_momentum,2026,6,0.09779930024743,0.11037675965953975,0.012577459412109748,0.0018178254784699318,0.6666666666666666,True
