scenario,total_transaction_cost,transaction_cost_difference_vs_full,total_traded_notional,traded_notional_difference_vs_full,mean_one_way_turnover,turnover_difference_vs_full,effective_cost_bps,effective_cost_bps_difference_vs_full
no_fundamentals,44460.46500162924,2447.561579491856,86545456.30481124,4769474.389949292,0.2609719556463681,0.0019510157284091112,5.137238498696043,-0.00032175290418567926
no_momentum,39400.4021305096,-2612.5012916277847,76734031.84244648,-5041950.072415471,0.2372207638945462,-0.021800176023412804,5.134671173203586,-0.0028890783966426525
