strategy_name,year,trading_days,total_return,annualized_volatility,sharpe_ratio,maximum_drawdown,transaction_cost,two_way_turnover
full_ensemble,2020,232,0.3223352763953986,0.38404415519787083,0.9845605167409922,-0.3434979632110362,3474.790015883989,6.463404512548465
no_fundamentals,2020,232,0.3523597890461514,0.3892531541712464,1.038890508512901,-0.3468659760291374,3119.0404599296257,5.791125024930173
no_momentum,2020,232,0.35809254902932586,0.38875167555324824,1.0518865094219472,-0.34552043204355,3478.5315896895117,6.330630569956426
spy_buy_and_hold,2020,232,0.17727462831800023,0.34689526033122464,0.6856036858248247,-0.3371726930123551,499.75012493750546,0.9995002498750625
full_ensemble,2021,252,0.4428256210092649,0.1473653472976612,2.5629748315140892,-0.05487925602989152,4932.049473093877,6.14964184430773
no_fundamentals,2021,252,0.45035011137558745,0.14697429379284194,2.604834552102061,-0.056354063648484165,5774.219920825424,7.000495233821656
no_momentum,2021,252,0.4333523521659173,0.14694168805951843,2.5250667591158744,-0.051736840474586154,4982.964796487794,6.052510654201308
spy_buy_and_hold,2021,252,0.28728787068458406,0.12988742881091317,2.0099957992069175,-0.051141375974214864,0.0,0.0
full_ensemble,2022,251,-0.11913513399629438,0.2658115157873121,-0.34669554967946176,-0.23146670566916627,5669.580885765636,6.45785922449649
no_fundamentals,2022,251,-0.10869944223470562,0.2637960208135855,-0.30650819381946176,-0.2057083521606765,6792.467875254601,7.327920209925525
no_momentum,2022,251,-0.11474840675387787,0.2723164007394029,-0.31370814018787563,-0.22749832151682436,4652.227066278191,5.225391673022847
spy_buy_and_hold,2022,251,-0.1817539295653512,0.242429574959826,-0.7095894465852375,-0.24496385408343246,0.0,0.0
full_ensemble,2023,250,0.3655511781115637,0.15403357492737701,2.116681507563725,-0.11342946236866525,6742.439264942606,6.674584544176286
no_fundamentals,2023,250,0.3944622233363346,0.15292215425694933,2.2692070102642545,-0.10259048717659058,6888.072381725773,6.523661127479543
no_momentum,2023,250,0.3703966874339335,0.15723520520666495,2.099472354185924,-0.11142779331854435,5392.700342137941,5.238131732578838
spy_buy_and_hold,2023,250,0.2617581776714877,0.1307553523264559,1.8583014970082965,-0.0997431463602132,0.0,0.0
full_ensemble,2024,252,0.3268757476679578,0.13753596010145877,2.126035423763893,-0.07742191947545607,6475.064498195481,4.809260363660342
no_fundamentals,2024,252,0.33431486274214905,0.13525359788416547,2.200998756979375,-0.07939354871805004,6802.4665949125265,4.6421567199251585
no_momentum,2024,252,0.33804951330677513,0.1392992255603357,2.161178149902514,-0.08027896115130362,6845.511859762608,4.890256995570937
spy_buy_and_hold,2024,252,0.24886468043810983,0.1256899125727371,1.8316187835181892,-0.0840562446719777,0.0,0.0
full_ensemble,2025,250,0.20857619754722756,0.20430064546732463,1.0361486103394588,-0.20727210098291193,9147.541988118195,5.4879019471405694
no_fundamentals,2025,250,0.24521450902114705,0.20876212776279912,1.1627779384241077,-0.21311706750772164,9625.14386106492,5.380616958507126
no_momentum,2025,250,0.19792408792326732,0.20386345691455166,0.994073809080883,-0.21145864284467686,9305.02018360948,5.430012242166018
spy_buy_and_hold,2025,250,0.17719055511914594,0.1948673337548341,0.9400735619082805,-0.1875522942522181,0.0,0.0
full_ensemble,2026,123,0.09779930024742911,0.14758633708062524,1.3689381558595244,-0.07530925574239133,5571.437296137599,2.827622538268564
no_fundamentals,2026,123,0.11728765587646306,0.13976175510296182,1.6957645928649923,-0.06592108623550519,5459.053907916369,2.5046039801807503
no_momentum,2026,123,0.11037675965954019,0.14628459660168996,1.539465611403239,-0.07475957716034531,4743.44629254407,2.3478476769729664
spy_buy_and_hold,2026,123,0.10091881804832759,0.14209371585398875,1.4572632766175562,-0.08884968175523777,0.0,0.0
