check,status,observed,expected,absolute_difference,tolerance
full_mean_ic,FAIL,0.04051408565359972,0.04638,0.005865914346400276,5e-06
full_annualized_ic_ir,FAIL,0.6719669662391017,0.948316,0.27634903376089837,5e-06
full_mean_top_bottom_spread,FAIL,0.012308385588007568,0.013566,0.0012576144119924321,5e-06
full_mean_top_quintile_precision,FAIL,0.25974025974025977,0.254545,0.00519525974025975,5e-06
full_mean_top_quintile_turnover,FAIL,0.36973684210526314,0.409211,0.03947415789473685,5e-06
