scenario,year,months,mean_ic,annualized_ic_ir,mean_top_bottom_spread,mean_top_quintile_precision,mean_top_quintile_turnover
full,2020,12,0.08035214085634254,1.5638038307157618,0.028383728409638657,0.2833333333333333,0.3818181818181818
full,2021,12,0.03727891156462585,0.49016347166609986,0.003348268858969595,0.26666666666666666,0.3416666666666666
full,2022,12,0.031906137348145895,0.4675895842074657,0.009296097051170208,0.21666666666666667,0.38333333333333336
full,2023,12,-0.00048019207683074164,-0.008811310803908639,0.005122877455267081,0.24999999999999997,0.39166666666666666
full,2024,12,0.07799919967987196,2.024653615349949,0.019983119772252273,0.275,0.3583333333333334
full,2025,12,0.04068429561579365,0.5467832767625128,0.009514283240172795,0.3,0.3416666666666666
full,2026,5,-0.018660264105642248,-0.2925734483541471,0.007993038565387078,0.18,0.4200000000000001
no_fundamentals,2020,12,0.06146458583433373,1.2914536009583197,0.022180777628718746,0.2916666666666667,0.3909090909090909
no_fundamentals,2021,12,0.05340536214485792,0.8846907398411865,0.013993742800338252,0.29166666666666663,0.35000000000000003
no_fundamentals,2022,12,0.044225690276110445,0.7523484368988749,0.01185546133956364,0.225,0.42500000000000004
no_fundamentals,2023,12,0.03997599039615846,0.708231871491752,0.020018752370369295,0.32499999999999996,0.35000000000000003
no_fundamentals,2024,12,0.06651460584233693,1.8056822707810058,0.008029712904736279,0.24166666666666667,0.35000000000000003
no_fundamentals,2025,12,0.05061224489795916,0.6724419950435466,0.01560392200347647,0.27499999999999997,0.35000000000000003
no_fundamentals,2026,5,-0.0016230492196878776,-0.026989415834654095,0.027183541628234064,0.26,0.33999999999999997
no_momentum,2020,12,0.09885554221688675,2.263537662395273,0.03473754493065127,0.29166666666666663,0.2727272727272727
no_momentum,2021,12,0.055938167624517636,0.7486229110502917,0.010304322125100789,0.2833333333333333,0.3416666666666666
no_momentum,2022,12,0.04223289315726291,0.6539523724994973,0.014480109405216041,0.26666666666666666,0.37500000000000006
no_momentum,2023,12,0.026914765906362537,0.410331910034268,0.018796048366683946,0.3,0.2833333333333333
no_momentum,2024,12,0.08679471788715487,2.2707696811129905,0.025621681399334528,0.2916666666666667,0.2833333333333333
no_momentum,2025,12,0.04701080432172869,0.7402392326215154,0.011632022995521409,0.2833333333333333,0.31666666666666665
no_momentum,2026,5,-0.013762304921968772,-0.19316930093460272,-0.011017660094183309,0.2,0.32
