scenario,model_name,as_of_date,observations,ic,q1_mean_excess_return,q2_mean_excess_return,q3_mean_excess_return,q4_mean_excess_return,q5_mean_excess_return,top_bottom_spread,top_quintile_precision,top_quintile_turnover
full,core_percentile_ensemble,2020-01-31,50,0.02718344057807908,-0.019223887865307245,0.007307697353477682,0.018239361422021927,0.005528489369056799,0.0069991755931967155,0.026223063458503962,0.2,
full,core_percentile_ensemble,2020-02-28,50,-0.11661303706862935,0.0206013626231362,-0.03200306293044971,0.04272268507720994,0.021502040689348557,-0.05774596298563319,-0.07834732560876939,0.1,0.5
full,core_percentile_ensemble,2020-03-31,50,0.16740724035891305,-0.019765017109026884,-0.0015825610670098466,0.020892325301006997,0.0022713909198755823,0.04150313007636593,0.06126814718539281,0.2,0.4
full,core_percentile_ensemble,2020-04-30,50,0.2294058407388977,0.005195651967476933,0.0023172957153263394,-0.005260051975662228,0.029371363593502297,0.043577677770887814,0.03838202580341088,0.5,0.5
full,core_percentile_ensemble,2020-05-29,50,0.20360720228233378,0.007122157322686384,-0.0004799940804844693,0.03257890996502866,0.02423929423416248,0.04304550306369505,0.035923345741008667,0.5,0.6
full,core_percentile_ensemble,2020-06-30,50,-0.0791047303603946,0.017020753191308424,0.004392454514081256,0.03332472045451347,0.023264761053500116,-0.013606602981016746,-0.03062735617232517,0.3,0.4
full,core_percentile_ensemble,2020-07-31,50,-0.12542332986431046,0.005841395273694594,0.015643627754997346,-0.011206626552429788,-0.016795440289794017,0.0595663620684345,0.053724966794739905,0.2,0.5
full,core_percentile_ensemble,2020-08-31,50,0.1869055730599891,-0.03535046685249427,-0.028879093002747113,0.0021437369036021226,-0.007572121347749883,-0.023265714559184934,0.012084752293309332,0.1,0.5
full,core_percentile_ensemble,2020-09-30,50,0.07094140454332863,-0.016586758793308287,0.007507885589173158,0.012844492557976272,0.016303613650349224,-0.006420647930916901,0.010166110862391387,0.1,0.7
full,core_percentile_ensemble,2020-10-30,50,-0.10813798089908212,0.06888625483280894,-0.027992571973871793,0.05927130946678126,0.01434532629649552,0.017853393937143292,-0.05103286089566565,0.1,0.30000000000000004
full,core_percentile_ensemble,2020-11-30,50,0.026040794807805034,-0.0005313131749524191,0.006418289507494135,-0.00659782362862027,0.008935791493083189,0.024112670190770857,0.024643983365723276,0.3,0.5
full,core_percentile_ensemble,2020-12-31,50,0.19951969835679564,-0.012124438548917416,-0.032093777222568384,0.024144692562969285,0.00043685047895074546,0.017472822663333533,0.02959726121225095,0.3,0.30000000000000004
full,core_percentile_ensemble,2021-01-29,50,0.12290771402079528,0.0012755031012983032,0.04031523010456073,0.014003982288907913,0.005350884711229753,0.04640256051219679,0.04512705741089849,0.4,0.4
full,core_percentile_ensemble,2021-02-26,50,-0.34278030566848683,0.010077121830633917,0.023530408554753614,0.0019819272760699612,-0.03913652377069132,-0.04482823383199315,-0.05490535566262707,0.2,0.4
full,core_percentile_ensemble,2021-03-31,50,-0.1094909937771902,0.026464822119999287,0.003073808078147222,0.01066869078701369,-0.015445775629239933,0.005379802798419408,-0.021085019321579877,0.2,0.19999999999999996
full,core_percentile_ensemble,2021-04-30,50,0.1744853776396982,-0.008132127065837259,-0.009545651908420105,-0.02008629439838372,-0.0020962938486794092,0.024996372433129542,0.033128499498966804,0.5,0.4
full,core_percentile_ensemble,2021-05-28,50,0.3180442880842107,0.007331919667139042,0.007139412473281914,0.00023717406812030496,0.0036029120781400415,0.05481308209379293,0.047481162426653886,0.3,0.5
full,core_percentile_ensemble,2021-06-30,50,0.006916426712416605,-0.01758553324391494,0.019334352291289214,-0.012097366026059542,-0.006454891183952727,-0.011759133366912778,0.005826399877002163,0.3,0.19999999999999996
full,core_percentile_ensemble,2021-07-30,50,0.2938407251900709,-0.023560732247714412,0.006819987026125085,-0.012946279108968783,-0.00031429199262169585,0.028168669330188613,0.051729401577903025,0.4,0.4
full,core_percentile_ensemble,2021-08-31,50,0.12349000166734611,0.004603339118277716,0.03141362359698542,0.03280606084098074,0.01738173552588985,0.036409362970606284,0.031806023852328565,0.3,0.4
full,core_percentile_ensemble,2021-09-30,50,0.2745503109803774,-0.007811255080555668,-0.025838457684167093,-0.03947060871436869,0.03420443975085676,0.03464982044473539,0.04246107552529106,0.3,0.4
full,core_percentile_ensemble,2021-10-29,50,0.08021904574921145,0.001446188007781224,0.01363548915716809,-0.02407777068799639,0.023499300556636626,0.061485990936338074,0.06003980292855685,0.4,0.30000000000000004
full,core_percentile_ensemble,2021-11-30,50,-0.14914261630952202,0.013243029599248491,-0.001832224349813183,0.008880096989438546,0.006357133214245603,-0.02406168323726935,-0.037304712836517845,0.2,0.5
full,core_percentile_ensemble,2021-12-31,50,-0.11005164638802577,0.015244319757194702,0.009486152764966971,-0.0034528086447510598,0.0024501442505030836,0.024644203047374347,0.009399883290179645,0.4,0.4
full,core_percentile_ensemble,2022-01-31,50,-0.07748103041525634,0.02971999512879455,-0.0038725711953250253,0.013862430098631851,-0.0051774841446688424,0.011544506449415893,-0.018175488679378658,0.2,0.30000000000000004
full,core_percentile_ensemble,2022-02-28,50,0.09088071149308083,0.0067873373746271115,-0.024995816082203436,-0.003986662149114984,-0.00025022454785369466,0.02527488446745313,0.018487547092826018,0.3,0.4
full,core_percentile_ensemble,2022-03-31,50,-0.0035075081401236296,-0.019318746224489248,-0.005572945045672917,-0.014263103820648482,0.008656936775476154,-0.05603853192370563,-0.036719785699216384,0.1,0.5
full,core_percentile_ensemble,2022-04-29,50,0.17336376770597337,0.00196957857872867,-0.026263348100715456,-0.0002539284296558697,-0.009363367809634215,0.02706115254795798,0.02509157396922931,0.3,0.30000000000000004
full,core_percentile_ensemble,2022-05-31,50,-0.1677112623651098,0.017543398095970587,-0.011635312719705592,-0.009535598217359775,0.01794406356332422,-0.014071744494003635,-0.03161514258997422,0.1,0.30000000000000004
full,core_percentile_ensemble,2022-06-30,50,0.2527863418440561,-0.02424148591505406,0.0053444890680908515,-0.01082567757833558,0.037493708786654534,0.008220090478638874,0.03246157639369293,0.2,0.4
full,core_percentile_ensemble,2022-07-29,50,-0.13948797351460612,-0.00502455935984748,0.011588018473992712,0.03610505135426799,0.0010044199676386145,-0.012086185037622299,-0.007061625677774818,0.1,0.4
full,core_percentile_ensemble,2022-08-31,50,-0.03501861641941108,-0.006078970175120657,0.018561466542830675,-0.00458670021114137,-0.008795060861313564,0.01189407738165731,0.017973047556777966,0.3,0.6
full,core_percentile_ensemble,2022-09-30,50,0.06958818635820188,-0.009561240443931095,0.015855328618955045,-0.014171142073708376,-0.053209848389331,0.046788885032550145,0.056350125476481244,0.3,0.4
full,core_percentile_ensemble,2022-10-31,50,0.40494597839135654,-0.04777558562535707,-0.003158526181208143,-0.016351028164223513,-0.016316257435681512,0.05098837422521285,0.09876395985056992,0.4,0.4
full,core_percentile_ensemble,2022-11-30,50,-0.20307322929171667,-0.009121157203491815,0.0032937505490034714,-0.004494944453565708,-0.008710124162705658,-0.06136741175584104,-0.05224625455234923,0.1,0.5
full,core_percentile_ensemble,2022-12-30,50,0.20985134861323812,-0.004671745721716858,-0.022453797063342697,0.050028791476870685,0.030653027916971276,0.05267849462270376,0.05735024034442062,0.3,0.5
full,core_percentile_ensemble,2023-01-31,50,-0.003361909612129921,0.006217361239738428,0.014940086836617895,-0.008619802558584855,0.027738322176295137,0.01993574663373344,0.013718385393995013,0.3,0.4
full,core_percentile_ensemble,2023-02-28,50,-0.020848847605559894,0.02342871593764345,-0.0025977462163981,-0.0411070363003445,-0.029610971025822174,0.04166594984271867,0.01823723390507522,0.4,0.4
full,core_percentile_ensemble,2023-03-31,50,-0.24199631316180828,-0.012447446146093166,0.04240432422584435,-0.016627327796999835,-0.02530029965397358,-0.03075820437403968,-0.018310758227946512,0.2,0.5
full,core_percentile_ensemble,2023-04-28,50,0.21910571462400624,0.01090522633757226,0.004773022787509784,0.004866069530902861,0.06987772710423514,0.0805573207292731,0.06965209439170084,0.2,0.30000000000000004
full,core_percentile_ensemble,2023-05-31,50,0.00475458654440254,0.004782557041606572,-0.024117532255687524,0.00855721243874672,0.01991440689057732,-0.0007906158599978342,-0.005573172901604406,0.2,0.30000000000000004
full,core_percentile_ensemble,2023-06-30,50,0.39299613796972266,-0.03767721345174811,0.002791025686038806,0.025317352255537818,0.011001027442455347,0.05123821252171582,0.08891542597346394,0.5,0.19999999999999996
full,core_percentile_ensemble,2023-07-31,50,-0.1948220456526317,0.0036712426774137886,0.012426757918686759,0.007124962071877195,-0.006154881821735403,0.001112799268228748,-0.0025584434091850405,0.2,0.4
full,core_percentile_ensemble,2023-08-31,50,-0.12395543304144399,0.0010064118099134324,-0.006656665680398843,-0.00925403196336072,0.017606021703030838,-0.016013230155841975,-0.017019641965755408,0.0,0.19999999999999996
full,core_percentile_ensemble,2023-09-29,50,-0.03861857117966368,0.0174570131314864,-0.008535726100277285,-0.01440876154505546,-0.008547741004837827,0.018171894846633153,0.0007148817151467549,0.2,0.19999999999999996
