scenario,model_name,months,valid_ic_months,mean_ic,median_ic,std_ic,annualized_ic_ir,positive_ic_ratio,mean_top_bottom_spread,positive_spread_ratio,mean_top_quintile_precision,mean_top_quintile_turnover
full,core_percentile_ensemble,77,77,0.04637952226585562,0.060510013245538286,0.1694196479951235,0.9483160890234665,0.5844155844155844,0.013565525539957128,0.6363636363636364,0.2545454545454546,0.40921052631578947
no_fundamentals,core_percentile_ensemble,77,77,0.04848877177483816,0.03630949589122067,0.1543757965235913,1.088059374615723,0.6103896103896104,0.017494777508628327,0.6363636363636364,0.2753246753246753,0.4197368421052631
no_momentum,core_percentile_ensemble,77,77,0.045648091587352245,0.05768907743297574,0.1728635501923492,0.9147655918193779,0.5974025974025974,0.011683948138034923,0.6363636363636364,0.2506493506493507,0.3144736842105263
