fold_id,test_date,model_name,feature,coefficient_standardized,absolute_coefficient,nonzero_coefficient,selected_alpha,selected_l1_ratio
2,2020-02-28,ridge,tech__distance_sma_200d_sector_neutral,0.014252262404825137,0.014252262404825137,True,0.1,
2,2020-02-28,ridge,tech__distance_sma_50d_sector_neutral,-0.009397964182689096,0.009397964182689096,True,0.1,
2,2020-02-28,ridge,tech__dollar_volume_change_20d_60d_sector_neutral,-0.0009039495468472843,0.0009039495468472843,True,0.1,
2,2020-02-28,ridge,tech__downside_volatility_60d_sector_neutral,-0.005015141235689686,0.005015141235689686,True,0.1,
2,2020-02-28,ridge,tech__max_drawdown_126d_sector_neutral,-0.002947577799130526,0.002947577799130526,True,0.1,
2,2020-02-28,ridge,tech__momentum_12_1_sector_neutral,-0.0014524896219886914,0.0014524896219886914,True,0.1,
2,2020-02-28,ridge,tech__momentum_6_1_sector_neutral,0.0019543624679761937,0.0019543624679761937,True,0.1,
2,2020-02-28,ridge,tech__positive_day_ratio_60d_sector_neutral,0.0010149909003743611,0.0010149909003743611,True,0.1,
2,2020-02-28,ridge,tech__return_1m_sector_neutral,1.8089245711690787e-05,1.8089245711690787e-05,True,0.1,
2,2020-02-28,ridge,tech__return_1w_sector_neutral,-0.0012157325157723556,0.0012157325157723556,True,0.1,
2,2020-02-28,ridge,tech__return_3m_sector_neutral,-0.00013770215069173645,0.00013770215069173645,True,0.1,
2,2020-02-28,ridge,tech__reversal_1m_sector_neutral,-1.808924563862628e-05,1.808924563862628e-05,True,0.1,
2,2020-02-28,ridge,tech__sma_50_200_spread_sector_neutral,-0.009532365103503936,0.009532365103503936,True,0.1,
2,2020-02-28,ridge,tech__volatility_20d_sector_neutral,0.0001522264390416893,0.0001522264390416893,True,0.1,
2,2020-02-28,ridge,tech__volatility_60d_sector_neutral,0.0059268969071715055,0.0059268969071715055,True,0.1,
2,2020-02-28,ridge,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,0.1,
3,2020-03-31,elastic_net,tech__amihud_illiquidity_20d_sector_neutral,0.0028540694630508376,0.0028540694630508376,True,0.001,0.1
3,2020-03-31,elastic_net,tech__average_dollar_volume_20d_sector_neutral,0.0017493895133529563,0.0017493895133529563,True,0.001,0.1
3,2020-03-31,elastic_net,tech__beta_60d_market_sector_neutral,-0.00016532075794325647,0.00016532075794325647,True,0.001,0.1
3,2020-03-31,elastic_net,tech__distance_sma_200d_sector_neutral,0.009172056231170239,0.009172056231170239,True,0.001,0.1
3,2020-03-31,elastic_net,tech__distance_sma_50d_sector_neutral,-0.005675503894439468,0.005675503894439468,True,0.001,0.1
3,2020-03-31,elastic_net,tech__dollar_volume_change_20d_60d_sector_neutral,-0.000433410727799275,0.000433410727799275,True,0.001,0.1
3,2020-03-31,elastic_net,tech__downside_volatility_60d_sector_neutral,-0.0033560138064737026,0.0033560138064737026,True,0.001,0.1
3,2020-03-31,elastic_net,tech__max_drawdown_126d_sector_neutral,-0.0022983365024077103,0.0022983365024077103,True,0.001,0.1
3,2020-03-31,elastic_net,tech__momentum_12_1_sector_neutral,-0.0018857927047807009,0.0018857927047807009,True,0.001,0.1
3,2020-03-31,elastic_net,tech__momentum_6_1_sector_neutral,0.00023526658320257516,0.00023526658320257516,True,0.001,0.1
3,2020-03-31,elastic_net,tech__positive_day_ratio_60d_sector_neutral,0.0007252639332509454,0.0007252639332509454,True,0.001,0.1
3,2020-03-31,elastic_net,tech__return_1m_sector_neutral,-0.0005559421062988803,0.0005559421062988803,True,0.001,0.1
3,2020-03-31,elastic_net,tech__return_1w_sector_neutral,-0.000567010827799589,0.000567010827799589,True,0.001,0.1
3,2020-03-31,elastic_net,tech__return_3m_sector_neutral,0.0,0.0,False,0.001,0.1
3,2020-03-31,elastic_net,tech__reversal_1m_sector_neutral,0.0005456847930421228,0.0005456847930421228,True,0.001,0.1
3,2020-03-31,elastic_net,tech__sma_50_200_spread_sector_neutral,-0.003910794530190283,0.003910794530190283,True,0.001,0.1
3,2020-03-31,elastic_net,tech__volatility_20d_sector_neutral,0.0,0.0,False,0.001,0.1
3,2020-03-31,elastic_net,tech__volatility_60d_sector_neutral,0.00506404445772989,0.00506404445772989,True,0.001,0.1
3,2020-03-31,elastic_net,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,0.001,0.1
3,2020-03-31,ridge,tech__amihud_illiquidity_20d_sector_neutral,0.002903948477267186,0.002903948477267186,True,100.0,
3,2020-03-31,ridge,tech__average_dollar_volume_20d_sector_neutral,0.0018304126600026786,0.0018304126600026786,True,100.0,
3,2020-03-31,ridge,tech__beta_60d_market_sector_neutral,-0.0003484705736010079,0.0003484705736010079,True,100.0,
3,2020-03-31,ridge,tech__distance_sma_200d_sector_neutral,0.007360429598767773,0.007360429598767773,True,100.0,
3,2020-03-31,ridge,tech__distance_sma_50d_sector_neutral,-0.0046106331148741365,0.0046106331148741365,True,100.0,
3,2020-03-31,ridge,tech__dollar_volume_change_20d_60d_sector_neutral,-0.0006318777401321485,0.0006318777401321485,True,100.0,
3,2020-03-31,ridge,tech__downside_volatility_60d_sector_neutral,-0.00324351792458559,0.00324351792458559,True,100.0,
3,2020-03-31,ridge,tech__max_drawdown_126d_sector_neutral,-0.0023709008497872224,0.0023709008497872224,True,100.0,
3,2020-03-31,ridge,tech__momentum_12_1_sector_neutral,-0.0019323542506542054,0.0019323542506542054,True,100.0,
3,2020-03-31,ridge,tech__momentum_6_1_sector_neutral,0.0006079068983186779,0.0006079068983186779,True,100.0,
3,2020-03-31,ridge,tech__positive_day_ratio_60d_sector_neutral,0.0007712211433073288,0.0007712211433073288,True,100.0,
3,2020-03-31,ridge,tech__return_1m_sector_neutral,-0.0006870607319133939,0.0006870607319133939,True,100.0,
3,2020-03-31,ridge,tech__return_1w_sector_neutral,-0.0006783452604230847,0.0006783452604230847,True,100.0,
3,2020-03-31,ridge,tech__return_3m_sector_neutral,0.00020213441100228676,0.00020213441100228676,True,100.0,
3,2020-03-31,ridge,tech__reversal_1m_sector_neutral,0.0006870607319133529,0.0006870607319133529,True,100.0,
3,2020-03-31,ridge,tech__sma_50_200_spread_sector_neutral,-0.0029397309254196253,0.0029397309254196253,True,100.0,
3,2020-03-31,ridge,tech__volatility_20d_sector_neutral,0.00037499332737855477,0.00037499332737855477,True,100.0,
3,2020-03-31,ridge,tech__volatility_60d_sector_neutral,0.004734953572288621,0.004734953572288621,True,100.0,
3,2020-03-31,ridge,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,100.0,
4,2020-04-30,elastic_net,tech__amihud_illiquidity_20d_sector_neutral,0.0010175713860103004,0.0010175713860103004,True,0.01,0.1
4,2020-04-30,elastic_net,tech__average_dollar_volume_20d_sector_neutral,4.697670240904141e-05,4.697670240904141e-05,True,0.01,0.1
4,2020-04-30,elastic_net,tech__beta_60d_market_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__distance_sma_200d_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__distance_sma_50d_sector_neutral,-0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__dollar_volume_change_20d_60d_sector_neutral,-0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__downside_volatility_60d_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__max_drawdown_126d_sector_neutral,-0.0007393828114189954,0.0007393828114189954,True,0.01,0.1
4,2020-04-30,elastic_net,tech__momentum_12_1_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__momentum_6_1_sector_neutral,0.0011489665819219392,0.0011489665819219392,True,0.01,0.1
4,2020-04-30,elastic_net,tech__positive_day_ratio_60d_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__return_1m_sector_neutral,-0.00025067101852669293,0.00025067101852669293,True,0.01,0.1
4,2020-04-30,elastic_net,tech__return_1w_sector_neutral,-0.0003572006455460057,0.0003572006455460057,True,0.01,0.1
4,2020-04-30,elastic_net,tech__return_3m_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__reversal_1m_sector_neutral,0.0002503764053128738,0.0002503764053128738,True,0.01,0.1
4,2020-04-30,elastic_net,tech__sma_50_200_spread_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__volatility_20d_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,elastic_net,tech__volatility_60d_sector_neutral,0.0026567228931603354,0.0026567228931603354,True,0.01,0.1
4,2020-04-30,elastic_net,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,0.01,0.1
4,2020-04-30,ridge,tech__amihud_illiquidity_20d_sector_neutral,0.0032047836742163166,0.0032047836742163166,True,0.1,
4,2020-04-30,ridge,tech__average_dollar_volume_20d_sector_neutral,0.002330071874033492,0.002330071874033492,True,0.1,
4,2020-04-30,ridge,tech__beta_60d_market_sector_neutral,-0.0006805049708886255,0.0006805049708886255,True,0.1,
4,2020-04-30,ridge,tech__distance_sma_200d_sector_neutral,0.013636792777055502,0.013636792777055502,True,0.1,
4,2020-04-30,ridge,tech__distance_sma_50d_sector_neutral,-0.009481127787752576,0.009481127787752576,True,0.1,
4,2020-04-30,ridge,tech__dollar_volume_change_20d_60d_sector_neutral,-0.0009925239784572442,0.0009925239784572442,True,0.1,
4,2020-04-30,ridge,tech__downside_volatility_60d_sector_neutral,-0.005359799472267099,0.005359799472267099,True,0.1,
4,2020-04-30,ridge,tech__max_drawdown_126d_sector_neutral,-0.0029384538057075867,0.0029384538057075867,True,0.1,
4,2020-04-30,ridge,tech__momentum_12_1_sector_neutral,-0.0014391869312695164,0.0014391869312695164,True,0.1,
4,2020-04-30,ridge,tech__momentum_6_1_sector_neutral,0.002466184338518108,0.002466184338518108,True,0.1,
4,2020-04-30,ridge,tech__positive_day_ratio_60d_sector_neutral,0.0015544530688662924,0.0015544530688662924,True,0.1,
4,2020-04-30,ridge,tech__return_1m_sector_neutral,-1.0042304748779922e-05,1.0042304748779922e-05,True,0.1,
4,2020-04-30,ridge,tech__return_1w_sector_neutral,-0.0007289910637018612,0.0007289910637018612,True,0.1,
4,2020-04-30,ridge,tech__return_3m_sector_neutral,-0.0002547330537508075,0.0002547330537508075,True,0.1,
4,2020-04-30,ridge,tech__reversal_1m_sector_neutral,1.0042304808929056e-05,1.0042304808929056e-05,True,0.1,
4,2020-04-30,ridge,tech__sma_50_200_spread_sector_neutral,-0.0091049344496647,0.0091049344496647,True,0.1,
4,2020-04-30,ridge,tech__volatility_20d_sector_neutral,0.00018748459992952167,0.00018748459992952167,True,0.1,
4,2020-04-30,ridge,tech__volatility_60d_sector_neutral,0.006905366872705447,0.006905366872705447,True,0.1,
4,2020-04-30,ridge,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,0.1,
5,2020-05-29,elastic_net,tech__amihud_illiquidity_20d_sector_neutral,0.0010175713860103004,0.0010175713860103004,True,0.01,0.1
5,2020-05-29,elastic_net,tech__average_dollar_volume_20d_sector_neutral,4.697670240904141e-05,4.697670240904141e-05,True,0.01,0.1
5,2020-05-29,elastic_net,tech__beta_60d_market_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__distance_sma_200d_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__distance_sma_50d_sector_neutral,-0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__dollar_volume_change_20d_60d_sector_neutral,-0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__downside_volatility_60d_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__max_drawdown_126d_sector_neutral,-0.0007393828114189954,0.0007393828114189954,True,0.01,0.1
5,2020-05-29,elastic_net,tech__momentum_12_1_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__momentum_6_1_sector_neutral,0.0011489665819219392,0.0011489665819219392,True,0.01,0.1
5,2020-05-29,elastic_net,tech__positive_day_ratio_60d_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__return_1m_sector_neutral,-0.00025067101852669293,0.00025067101852669293,True,0.01,0.1
5,2020-05-29,elastic_net,tech__return_1w_sector_neutral,-0.0003572006455460057,0.0003572006455460057,True,0.01,0.1
5,2020-05-29,elastic_net,tech__return_3m_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__reversal_1m_sector_neutral,0.0002503764053128738,0.0002503764053128738,True,0.01,0.1
5,2020-05-29,elastic_net,tech__sma_50_200_spread_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__volatility_20d_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,elastic_net,tech__volatility_60d_sector_neutral,0.0026567228931603354,0.0026567228931603354,True,0.01,0.1
5,2020-05-29,elastic_net,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,0.01,0.1
5,2020-05-29,ridge,tech__amihud_illiquidity_20d_sector_neutral,0.0032047836742163166,0.0032047836742163166,True,0.1,
5,2020-05-29,ridge,tech__average_dollar_volume_20d_sector_neutral,0.002330071874033492,0.002330071874033492,True,0.1,
5,2020-05-29,ridge,tech__beta_60d_market_sector_neutral,-0.0006805049708886255,0.0006805049708886255,True,0.1,
5,2020-05-29,ridge,tech__distance_sma_200d_sector_neutral,0.013636792777055502,0.013636792777055502,True,0.1,
5,2020-05-29,ridge,tech__distance_sma_50d_sector_neutral,-0.009481127787752576,0.009481127787752576,True,0.1,
5,2020-05-29,ridge,tech__dollar_volume_change_20d_60d_sector_neutral,-0.0009925239784572442,0.0009925239784572442,True,0.1,
5,2020-05-29,ridge,tech__downside_volatility_60d_sector_neutral,-0.005359799472267099,0.005359799472267099,True,0.1,
5,2020-05-29,ridge,tech__max_drawdown_126d_sector_neutral,-0.0029384538057075867,0.0029384538057075867,True,0.1,
5,2020-05-29,ridge,tech__momentum_12_1_sector_neutral,-0.0014391869312695164,0.0014391869312695164,True,0.1,
5,2020-05-29,ridge,tech__momentum_6_1_sector_neutral,0.002466184338518108,0.002466184338518108,True,0.1,
5,2020-05-29,ridge,tech__positive_day_ratio_60d_sector_neutral,0.0015544530688662924,0.0015544530688662924,True,0.1,
5,2020-05-29,ridge,tech__return_1m_sector_neutral,-1.0042304748779922e-05,1.0042304748779922e-05,True,0.1,
5,2020-05-29,ridge,tech__return_1w_sector_neutral,-0.0007289910637018612,0.0007289910637018612,True,0.1,
5,2020-05-29,ridge,tech__return_3m_sector_neutral,-0.0002547330537508075,0.0002547330537508075,True,0.1,
5,2020-05-29,ridge,tech__reversal_1m_sector_neutral,1.0042304808929056e-05,1.0042304808929056e-05,True,0.1,
5,2020-05-29,ridge,tech__sma_50_200_spread_sector_neutral,-0.0091049344496647,0.0091049344496647,True,0.1,
5,2020-05-29,ridge,tech__volatility_20d_sector_neutral,0.00018748459992952167,0.00018748459992952167,True,0.1,
5,2020-05-29,ridge,tech__volatility_60d_sector_neutral,0.006905366872705447,0.006905366872705447,True,0.1,
5,2020-05-29,ridge,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,False,0.1,
6,2020-06-30,elastic_net,tech__amihud_illiquidity_20d_sector_neutral,0.0020243595117810224,0.0020243595117810224,True,0.001,0.5
6,2020-06-30,elastic_net,tech__average_dollar_volume_20d_sector_neutral,0.0011267659489844683,0.0011267659489844683,True,0.001,0.5
