model_name,mean_ic_absolute_difference,annualized_ic_ir_absolute_difference,mean_top_bottom_spread_absolute_difference,mean_top_quintile_precision_absolute_difference,mean_top_quintile_turnover_absolute_difference,maximum_absolute_difference,matches_frozen_full
core_percentile_ensemble,4.777341443759631e-07,8.902346648742565e-08,4.7446004287216015e-07,4.5454545455347883e-07,4.7368421052240706e-07,4.777341443759631e-07,True
equal_percentile_ensemble,0.0025597956751973253,0.18379353879764126,0.001786045648302672,4.5454545455347883e-07,0.04342152631578938,0.18379353879764126,False
validation_weighted_ensemble,0.005865914346400276,0.27634903376089837,0.0012576144119924321,0.00519525974025975,0.03947415789473685,0.27634903376089837,False
