fold_id,test_date,feature,gain,gain_share,split_count
4,2020-04-30,tech__reversal_1m_sector_neutral,0.11842899769544601,0.00012084976706453202,1
4,2020-04-30,tech__volatility_20d_sector_neutral,22.216559648513794,0.022670681258340288,3
4,2020-04-30,tech__volatility_60d_sector_neutral,81.46955060958862,0.08313484370897012,7
4,2020-04-30,tech__downside_volatility_60d_sector_neutral,0.0,0.0,0
4,2020-04-30,tech__beta_60d_market_sector_neutral,18.200159907341003,0.018572183571084738,5
4,2020-04-30,tech__max_drawdown_126d_sector_neutral,144.58038067817688,0.14753570212585626,16
4,2020-04-30,tech__distance_sma_50d_sector_neutral,18.00601029396057,0.018374065407381016,4
4,2020-04-30,tech__distance_sma_200d_sector_neutral,31.887919902801514,0.03253973070291553,6
4,2020-04-30,tech__sma_50_200_spread_sector_neutral,101.44218969345093,0.10351573713809303,13
4,2020-04-30,tech__positive_day_ratio_60d_sector_neutral,2.4832699298858643,0.0025340296584862795,1
4,2020-04-30,tech__average_dollar_volume_20d_sector_neutral,173.13878107070923,0.17667785567214003,26
4,2020-04-30,tech__dollar_volume_change_20d_60d_sector_neutral,7.8983800411224365,0.008059828308362856,2
4,2020-04-30,tech__amihud_illiquidity_20d_sector_neutral,166.07373929023743,0.1694683996260214,26
4,2020-04-30,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0
5,2020-05-29,tech__momentum_12_1_sector_neutral,2.826539993286133,0.0028843163957668803,1
5,2020-05-29,tech__momentum_6_1_sector_neutral,158.82605123519897,0.1620725638910925,19
5,2020-05-29,tech__return_3m_sector_neutral,33.0039496421814,0.03367857285024154,7
5,2020-05-29,tech__return_1m_sector_neutral,10.858289957046509,0.01108024079881812,2
5,2020-05-29,tech__return_1w_sector_neutral,6.938570022583008,0.007080399119364878,2
5,2020-05-29,tech__reversal_1m_sector_neutral,0.11842899769544601,0.00012084976706453202,1
5,2020-05-29,tech__volatility_20d_sector_neutral,22.216559648513794,0.022670681258340288,3
5,2020-05-29,tech__volatility_60d_sector_neutral,81.46955060958862,0.08313484370897012,7
5,2020-05-29,tech__downside_volatility_60d_sector_neutral,0.0,0.0,0
5,2020-05-29,tech__beta_60d_market_sector_neutral,18.200159907341003,0.018572183571084738,5
5,2020-05-29,tech__max_drawdown_126d_sector_neutral,144.58038067817688,0.14753570212585626,16
5,2020-05-29,tech__distance_sma_50d_sector_neutral,18.00601029396057,0.018374065407381016,4
5,2020-05-29,tech__distance_sma_200d_sector_neutral,31.887919902801514,0.03253973070291553,6
5,2020-05-29,tech__sma_50_200_spread_sector_neutral,101.44218969345093,0.10351573713809303,13
5,2020-05-29,tech__positive_day_ratio_60d_sector_neutral,2.4832699298858643,0.0025340296584862795,1
5,2020-05-29,tech__average_dollar_volume_20d_sector_neutral,173.13878107070923,0.17667785567214003,26
5,2020-05-29,tech__dollar_volume_change_20d_60d_sector_neutral,7.8983800411224365,0.008059828308362856,2
5,2020-05-29,tech__amihud_illiquidity_20d_sector_neutral,166.07373929023743,0.1694683996260214,26
5,2020-05-29,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0
6,2020-06-30,tech__momentum_12_1_sector_neutral,16.084199905395508,0.008680614389310854,8
6,2020-06-30,tech__momentum_6_1_sector_neutral,151.17110427841544,0.08158677899837732,36
6,2020-06-30,tech__return_3m_sector_neutral,47.74115175008774,0.025765815600505254,20
6,2020-06-30,tech__return_1m_sector_neutral,58.55749297142029,0.031603375926654825,28
6,2020-06-30,tech__return_1w_sector_neutral,41.52777886390686,0.022412469186062677,22
6,2020-06-30,tech__reversal_1m_sector_neutral,25.440184324979782,0.013730022719007582,14
6,2020-06-30,tech__volatility_20d_sector_neutral,40.68911846727133,0.021959845645594406,16
6,2020-06-30,tech__volatility_60d_sector_neutral,282.5369099378586,0.1524846731788796,41
6,2020-06-30,tech__downside_volatility_60d_sector_neutral,49.6736544072628,0.026808783884406523,21
6,2020-06-30,tech__beta_60d_market_sector_neutral,90.2966239452362,0.04873292906924575,34
6,2020-06-30,tech__max_drawdown_126d_sector_neutral,126.68458870053291,0.06837144962422873,40
6,2020-06-30,tech__distance_sma_50d_sector_neutral,76.60538038611412,0.04134378900968913,32
6,2020-06-30,tech__distance_sma_200d_sector_neutral,60.70744597911835,0.03276370178213647,23
6,2020-06-30,tech__sma_50_200_spread_sector_neutral,161.6184682548046,0.08722520295463451,45
6,2020-06-30,tech__positive_day_ratio_60d_sector_neutral,42.49755393341184,0.02293585508478655,24
6,2020-06-30,tech__average_dollar_volume_20d_sector_neutral,288.8114334642887,0.1558710224862721,56
6,2020-06-30,tech__dollar_volume_change_20d_60d_sector_neutral,29.442110016942024,0.015889854973700393,16
6,2020-06-30,tech__amihud_illiquidity_20d_sector_neutral,262.8020712956786,0.1418338154865073,61
6,2020-06-30,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0
7,2020-07-31,tech__momentum_12_1_sector_neutral,19.7672081887722,0.014284664978687762,9
7,2020-07-31,tech__momentum_6_1_sector_neutral,267.17282423377037,0.19307098145285903,28
7,2020-07-31,tech__return_3m_sector_neutral,26.649330139160156,0.019257992798425334,6
7,2020-07-31,tech__return_1m_sector_neutral,29.09699010848999,0.02102678089989742,9
7,2020-07-31,tech__return_1w_sector_neutral,40.57621693611145,0.029322181438051126,14
7,2020-07-31,tech__reversal_1m_sector_neutral,27.79653036594391,0.020087010773375817,7
7,2020-07-31,tech__volatility_20d_sector_neutral,27.367669820785522,0.019777097043947672,6
7,2020-07-31,tech__volatility_60d_sector_neutral,83.88881921768188,0.060621796792879365,11
7,2020-07-31,tech__downside_volatility_60d_sector_neutral,21.66714483499527,0.015657643813779088,7
7,2020-07-31,tech__beta_60d_market_sector_neutral,28.598685085773468,0.02066668349824482,11
7,2020-07-31,tech__max_drawdown_126d_sector_neutral,89.77257939428091,0.06487366393238776,18
7,2020-07-31,tech__distance_sma_50d_sector_neutral,28.508769869804382,0.020601706758771092,10
7,2020-07-31,tech__distance_sma_200d_sector_neutral,35.8877899646759,0.02593411530729418,5
7,2020-07-31,tech__sma_50_200_spread_sector_neutral,135.31720006465912,0.09778623517890835,22
7,2020-07-31,tech__positive_day_ratio_60d_sector_neutral,18.242810010910034,0.013183066965608118,5
7,2020-07-31,tech__average_dollar_volume_20d_sector_neutral,278.5622408390045,0.20130148112457713,46
7,2020-07-31,tech__dollar_volume_change_20d_60d_sector_neutral,10.99222993850708,0.007943474897454814,3
7,2020-07-31,tech__amihud_illiquidity_20d_sector_neutral,213.94117683172226,0.15460342234485114,42
7,2020-07-31,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0
8,2020-08-31,tech__momentum_12_1_sector_neutral,23.478118926286697,0.015126230668344986,10
8,2020-08-31,tech__momentum_6_1_sector_neutral,206.91834254562855,0.13331113061841127,32
8,2020-08-31,tech__return_3m_sector_neutral,54.90017104148865,0.03537049341612191,10
8,2020-08-31,tech__return_1m_sector_neutral,51.69607216119766,0.033306190952213544,16
8,2020-08-31,tech__return_1w_sector_neutral,20.51039630174637,0.013214218163450366,9
