scenario,delta_mean_ic_vs_full,delta_annualized_ic_ir_vs_full,delta_top_bottom_spread_vs_full,delta_top_quintile_precision_vs_full,delta_top_quintile_turnover_vs_full,ic_retention_ratio,spread_retention_ratio
no_fundamentals,0.008658206639941081,0.21913254825723272,0.00374494086274052,0.014285714285714235,-0.0026315789473684292,1.2137085534638443,1.3042593064673997
no_momentum,0.014345020434155052,0.2619079730562427,0.004987360518475283,0.02077922077922073,-0.056578947368421006,1.3540748903185595,1.4052002175926808
