scenario,delta_mean_ic_vs_full,delta_annualized_ic_ir_vs_full,delta_top_bottom_spread_vs_full,delta_top_quintile_precision_vs_full,delta_top_quintile_turnover_vs_full,ic_retention_ratio,spread_retention_ratio
no_fundamentals,0.002109249508982537,0.13974328559225646,0.003929251968671199,0.02077922077922073,0.010526315789473606,1.0454780343982835,1.2896498154161167
no_momentum,-0.0007314306785033767,-0.03355049720408865,-0.0018815774019222044,-0.0038961038961038974,-0.09473684210526317,0.9842294477655313,0.86129712436278
