sector,valid_months,mean_companies_per_month,mean_ic,median_ic,std_ic,annualized_ic_ir,positive_ic_ratio
Industrials,77,5.0,0.12207792207792206,0.09999999999999999,0.5128925650874081,0.8245202910491031,0.5454545454545454
Financials,77,7.0,0.10807050092764381,0.14285714285714288,0.5230641135939723,0.7157195209587616,0.5454545454545454
Consumer Staples,77,5.0,0.049350649350649346,0.09999999999999999,0.5454653678580038,0.3134124991198062,0.5584415584415584
Health Care,77,7.0,0.03617810760667905,0.03571428571428572,0.4282381813118972,0.29265172154662944,0.5194805194805194
Information Technology,77,8.0,0.02628324056895486,0.0,0.43468187147466375,0.20945850766007287,0.4805194805194805
Consumer Discretionary,77,6.0,0.005565862708719848,0.028571428571428574,0.4591366053408152,0.04199341497635421,0.5064935064935064
Energy,77,3.0,-0.006493506493506494,0.5,0.7543448991880065,-0.029819471645233575,0.5194805194805194
Communication Services,77,4.0,-0.012987012987012988,0.0,0.5204630148522739,-0.08643905787790894,0.45454545454545453
