model_name,months,valid_ic_months,mean_ic,median_ic,std_ic,annualized_ic_ir,positive_ic_ratio,mean_top_bottom_spread,mean_top_quintile_precision,mean_top_quintile_turnover
constant,77,0,,,,,,,,
momentum_3m,77,77,-0.004657863145258108,0.005714285714285714,0.1935885008366962,-0.08334850042663619,0.5194805194805194,0.004545591995168337,0.22467532467532464,0.4407894736842105
technical_equal_weight_composite,77,77,0.037348341934176264,0.025498199279711888,0.16176380696711018,0.7997985089656202,0.5454545454545454,0.010980852067311348,0.24155844155844153,0.44999999999999996
