signal_date,execution_date,strategy_name,pre_trade_nav,post_cost_investable_value,cash_before,cash_after,transaction_cost,transaction_cost_fraction,buy_notional,sell_notional,traded_notional,two_way_turnover,one_way_turnover,holdings_before,holdings_after,maximum_target_weight,maximum_sector_target_weight
2020-01-31,2020-02-03,elastic_net_score_weighted,1000000.0,999000.999000998,1000000.0,1.1374368114047684e-09,999.0009990009979,0.000999000999000998,999000.999000998,-0.0,999000.9990009979,0.9990009990009978,0.999000999000998,0,25,0.05,0.19385384272535341
2020-01-31,2020-02-03,elastic_net_top20_equal_weight,1000000.0,999000.999000998,1000000.0,1.020907802740112e-09,999.000999000998,0.0009990009990009981,999000.9990009982,-0.0,999000.999000998,0.999000999000998,0.9990009990009983,0,20,0.05,0.2
2020-01-31,2020-02-03,momentum_3m_top20_equal_weight,1000000.0,999000.999000998,1000000.0,1.020907802740112e-09,999.000999000998,0.0009990009990009981,999000.9990009982,-0.0,999000.999000998,0.999000999000998,0.9990009990009983,0,20,0.05,0.15000000000000002
2020-01-31,2020-02-03,ridge_top20_equal_weight,1000000.0,999000.999000998,1000000.0,1.020907802740112e-09,999.000999000998,0.0009990009990009981,999000.9990009982,-0.0,999000.999000998,0.999000999000998,0.9990009990009983,0,20,0.05,0.15000000000000002
2020-01-31,2020-02-03,universe_equal_weight,1000000.0,999000.999000998,1000000.0,9.043787940754555e-10,999.0009990009981,0.0009990009990009981,999000.9990009981,-0.0,999000.9990009981,0.9990009990009981,0.9990009990009981,0,50,0.02,0.16
2020-02-28,2020-03-02,elastic_net_score_weighted,934813.3886402929,934187.0435776336,1.1374368114047684e-09,-6.313030098681338e-10,626.345062660219,0.0006700214933498674,312859.35879878036,313485.7038614386,626345.062660219,0.6700214933498674,0.33534575742160755,25,25,0.05,0.20097855686644517
2020-02-28,2020-03-02,elastic_net_top20_equal_weight,930996.197071842,930217.2084678598,1.020907802740112e-09,-7.120888767531142e-09,778.988603989264,0.000836725871103802,389104.80769264145,389883.79629662266,778988.603989264,0.836725871103802,0.41878129848744866,20,20,0.05,0.2
2020-02-28,2020-03-02,momentum_3m_top20_equal_weight,939466.6208844556,939245.8032037567,1.020907802740112e-09,3.30712168761238e-09,220.81768069551234,0.00023504579703707276,110298.43150740728,110519.24918810508,220817.68069551233,0.23504579703707276,0.11764042141705615,20,20,0.05,0.15000000000000002
2020-02-28,2020-03-02,ridge_top20_equal_weight,926048.2926724841,925269.9596097497,1.020907802740112e-09,-8.809593055048026e-10,778.333062735103,0.0008404886320657322,388777.3648361849,389555.69789891806,778333.062735103,0.8404886320657322,0.42066456034889793,20,20,0.05,0.2
2020-02-28,2020-03-02,universe_equal_weight,925339.131335366,925300.307931731,9.043787940754555e-10,-3.6940335235158273e-09,38.82340363875631,4.1955864962427204e-05,19392.29011756106,19431.113521195246,38823.40363875631,0.0419558649624272,0.020998910413692343,50,50,0.02,0.16
2020-03-31,2020-04-01,elastic_net_score_weighted,788283.1508883843,787583.4510137925,-6.313030098681338e-10,1.4210854715202004e-10,699.6998745916387,0.0008876250542753407,349500.08735852316,350199.7872331156,699699.8745916387,0.8876250542753407,0.44425633966480854,25,25,0.05,0.15104171330661403
2020-03-31,2020-04-01,elastic_net_top20_equal_weight,775560.3333323569,774836.5961962126,-7.120888767531142e-09,-9.413724910700694e-09,723.7371361537212,0.0009331796702959697,361506.69950878475,362230.4366449362,723737.1361537211,0.9331796702959697,0.46705642498313127,20,20,0.05,0.15000000000000002
2020-03-31,2020-04-01,momentum_3m_top20_equal_weight,792916.0515635645,792181.7996021471,3.30712168761238e-09,1.1726797310984693e-09,734.2519614162071,0.0009260147527198161,366758.8547273966,367493.1066888106,734251.9614162071,0.9260147527198161,0.46347038373626664,20,20,0.05,0.15000000000000002
2020-03-31,2020-04-01,ridge_top20_equal_weight,771435.6085492196,770715.7205223884,-8.809593055048026e-10,-9.322775440523401e-09,719.8880268405287,0.0009331796702959661,359584.0694068484,360303.95743368036,719888.0268405287,0.9331796702959662,0.46705642498312555,20,20,0.05,0.15000000000000002
