as_of_date,sector,portfolio_weight,universe_equal_weight,active_weight,positions,component_risk,risk_contribution_share
2020-01-31,Information Technology,0.25,0.16,0.09,5,0.04955071737839767,0.34085104285450646
2020-01-31,Consumer Discretionary,0.2,0.12,0.08000000000000002,4,0.03148549324679924,0.21658340738047008
2020-01-31,Communication Services,0.15000000000000002,0.08,0.07000000000000002,3,0.020108666309816652,0.13832413019922107
2020-01-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.009550240699591026,0.0656944979647521
2020-01-31,Consumer Staples,0.05,0.1,-0.05,1,0.0037806152252539364,0.02600621565816571
2020-01-31,Energy,0.05,0.06,-0.009999999999999995,1,0.008780562620641749,0.06040001203695629
2020-01-31,Financials,0.05,0.14,-0.09000000000000001,1,0.005993127194382763,0.041225713011687676
2020-01-31,Industrials,0.05,0.1,-0.05,1,0.007996193624343966,0.05500446976197405
2020-01-31,Materials,0.05,0.04,0.010000000000000002,1,0.004938737223616673,0.03397274191206772
2020-01-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.0031891708279343112,0.02193776922019875
2020-02-28,Information Technology,0.30000000000000004,0.16,0.14000000000000004,6,0.06501364348651975,0.391456065312463
2020-02-28,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.02974499012287389,0.1790986656312007
2020-02-28,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.022524624615821557,0.13562385450029424
2020-02-28,Communication Services,0.1,0.08,0.020000000000000004,2,0.01418099977737055,0.08538574485826826
2020-02-28,Health Care,0.1,0.14,-0.04000000000000001,2,0.011592740986326327,0.0698014836475788
2020-02-28,Consumer Staples,0.05,0.1,-0.05,1,0.003020256020449508,0.018185375785723896
2020-02-28,Energy,0.05,0.06,-0.009999999999999995,1,0.009589143283723192,0.057737547047982764
2020-02-28,Materials,0.05,0.04,0.010000000000000002,1,0.005809182544441956,0.034977884941959934
2020-02-28,Real Estate,0.05,0.02,0.030000000000000002,1,0.00460600340009491,0.027733378274528375
2020-03-31,Information Technology,0.2,0.16,0.04000000000000001,4,0.07521900797724185,0.22627669004974188
2020-03-31,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.0488164292839475,0.14685144533893613
2020-03-31,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.057403903589663546,0.17268461323145268
2020-03-31,Communication Services,0.1,0.08,0.020000000000000004,2,0.026460211328830356,0.07959861740420629
2020-03-31,Energy,0.1,0.06,0.04000000000000001,2,0.042141910145373135,0.12677290217592055
2020-03-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.02735564685156778,0.08229230071227767
2020-03-31,Consumer Staples,0.05,0.1,-0.05,1,0.012442278725501596,0.03742933764208436
2020-03-31,Industrials,0.05,0.1,-0.05,1,0.016376521751851263,0.04926447763918493
2020-03-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.014309103610514618,0.04304519149661861
2020-03-31,Utilities,0.05,0.04,0.010000000000000002,1,0.011895475830989726,0.03578442430957671
2020-04-30,Consumer Discretionary,0.25,0.12,0.13,5,0.0800290561911815,0.24010471958524096
2020-04-30,Information Technology,0.2,0.16,0.04000000000000001,4,0.07971353973953876,0.239158101035033
2020-04-30,Health Care,0.15000000000000002,0.14,0.010000000000000009,3,0.03943146700456697,0.11830304864959146
2020-04-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.027715617422450798,0.08315293052378459
2020-04-30,Financials,0.1,0.14,-0.04000000000000001,2,0.04162227135281445,0.12487594215523862
2020-04-30,Consumer Staples,0.05,0.1,-0.05,1,0.013889235919451143,0.04167075377880749
2020-04-30,Energy,0.05,0.06,-0.009999999999999995,1,0.01948877445677545,0.05847059741433887
2020-04-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.01654319241064079,0.049633205286248074
2020-04-30,Utilities,0.05,0.04,0.010000000000000002,1,0.014875813062336563,0.04463070157171691
2020-05-29,Information Technology,0.30000000000000004,0.16,0.14000000000000004,6,0.11549423594642307,0.3314950660721068
2020-05-29,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.04670779800584404,0.13406214136273026
2020-05-29,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.06404004927291813,0.18380969570494354
2020-05-29,Communication Services,0.1,0.08,0.020000000000000004,2,0.02808695692609184,0.08061603737781678
2020-05-29,Health Care,0.1,0.14,-0.04000000000000001,2,0.028990480023068352,0.0832093568303031
2020-05-29,Consumer Staples,0.05,0.1,-0.05,1,0.013926978159188738,0.03997363597614278
2020-05-29,Industrials,0.05,0.1,-0.05,1,0.018858547604289202,0.05412837647592953
2020-05-29,Real Estate,0.05,0.02,0.030000000000000002,1,0.016927037301974642,0.048584496904469844
2020-05-29,Utilities,0.05,0.04,0.010000000000000002,1,0.015372004081672871,0.04412119329555739
2020-06-30,Information Technology,0.35000000000000003,0.16,0.19000000000000003,7,0.1286893442020763,0.35696456092724155
2020-06-30,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.048179098539453166,0.13364145153308446
2020-06-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.03331701114870626,0.09241629390410756
2020-06-30,Financials,0.1,0.14,-0.04000000000000001,2,0.04638998676998728,0.1286787290854955
2020-06-30,Health Care,0.1,0.14,-0.04000000000000001,2,0.03210778898599216,0.08906209654570835
2020-06-30,Consumer Staples,0.05,0.1,-0.05,1,0.0122230791960935,0.03390495246879982
2020-06-30,Energy,0.05,0.06,-0.009999999999999995,1,0.022070196971688837,0.061219351302355396
2020-06-30,Industrials,0.05,0.1,-0.05,1,0.02007280005045453,0.05567887769588314
2020-06-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.017460835164103627,0.048433686537324265
