model_name,months,ranking_months,valid_ic_months,mean_ic,median_ic,std_ic,annualized_ic_ir,ic_t_stat,positive_ic_ratio,mean_top_target,mean_bottom_target,mean_top_bottom_spread,positive_spread_ratio,mean_top_quintile_precision,mean_quintile_monotonicity,positive_monotonicity_ratio,mean_rmse,mean_mae,transitions,valid_turnover_transitions,mean_top_quintile_turnover,median_top_quintile_turnover,maximum_top_quintile_turnover,mean_top_quintile_overlap,mean_absolute_percentile_change
elastic_net,77,77,77,0.061205781013704184,0.057190876350540217,0.1634190498402116,1.2974193955518218,3.2865112679514503,0.6623376623376623,0.016597769038568532,-0.00013001101976973514,0.016727780058338262,0.6753246753246753,0.2805194805194805,0.2636363636363636,0.7012987012987013,0.07482681929389536,0.054477737769245124,76,76,0.3210526315789474,0.3,0.7000000000000001,0.6789473684210526,0.13489473684210526
ridge,77,77,77,0.05703496983208868,0.04969987995198079,0.15580635536042492,1.2680800514049881,3.212191363791345,0.6753246753246753,0.015381504524244203,0.00038774765694327227,0.014993756867300933,0.6753246753246753,0.26883116883116887,0.21298701298701297,0.7012987012987013,0.07486580432775822,0.0545361514745534,76,76,0.3789473684210526,0.39999999999999997,0.7000000000000001,0.6210526315789475,0.15165263157894734
equal_weight_composite,77,77,77,0.037348341934176264,0.025498199279711888,0.16176380696711018,0.7997985089656202,2.0259808207108696,0.5454545454545454,0.01160086065940654,0.0006200085920951908,0.010980852067311348,0.5974025974025974,0.24155844155844153,0.12857142857142856,0.6363636363636364,0.3029689356427792,0.23507085976716505,76,76,0.44999999999999996,0.49999999999999994,0.7000000000000001,0.5499999999999999,0.17974736842105266
momentum_3m,77,77,77,-0.004657863145258108,0.005714285714285714,0.1935885008366962,-0.08334850042663619,-0.2111312554430322,0.5194805194805194,0.00961572090085308,0.005070128905684746,0.004545591995168337,0.4935064935064935,0.22467532467532464,-0.011688311688311692,0.42857142857142855,0.8076328310894599,0.6183607105884672,76,76,0.44078947368421045,0.44999999999999996,0.8000000000000002,0.5592105263157895,0.17829473684210526
constant,77,0,0,,,,,,,,,,,,,,0.07494768062433942,0.05448115052778567,76,0,,,,,
