year,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover,window_start,window_end,partial_calendar_year
2020,alpha_risk_turnover,2020-02-03,2020-12-31,232,1000000.0,1262818.6775119938,0.26281867751199384,0.2884788360912742,0.37471317454599473,0.8661086471544872,1.1789548886447534,-0.3417954255229526,0.844010231119673,0.5991379310344828,1.0587342717956605,0.07274072297121573,0.9801360768303174,0.07705782954281712,1.125254268296837,0.17727462831800023,0.08554404919399361,0.1939549444390889,0.09452389165218533,3241.522371501186,6253650.080551786,6.134726539864485,0.5577024127149532,2020-02-03,2020-12-31,True
2020,cvar,2020-02-03,2020-12-31,232,1000000.0,1298680.973936566,0.2986809739365659,0.3282724789934739,0.36039587796845757,0.9699932261307691,1.3259486166337118,-0.32628748886586467,1.0060835618751696,0.6077586206896551,1.018048394129088,0.10745639352830821,0.979911770084407,0.07214646557088443,1.5489170591012713,0.17727462831800023,0.12140634561856567,0.1939549444390889,0.134317534554385,3204.1373971228154,6188948.623432754,5.9915738817120285,0.5446885347010935,2020-02-03,2020-12-31,True
2020,median_mad_de,2020-02-03,2020-12-31,232,1000000.0,1270633.621931669,0.2706336219316692,0.297142275758288,0.3676678624323204,0.8932211229722465,1.2354281534479816,-0.3273252082835365,0.9077891596448527,0.5948275862068966,1.0393177260555346,0.08122499215447776,0.9805980614181573,0.07335280749717864,1.2347997980559478,0.17727462831800023,0.09335899361366895,0.1939549444390889,0.1031873313191991,3932.362672428808,7590024.761964484,7.4382418166786275,0.6762038015162388,2020-02-03,2020-12-31,True
2020,score_weighted,2020-02-03,2020-12-31,232,1000000.0,1322335.2763953987,0.3223352763953986,0.35457190989172815,0.38404415519787083,0.9845605167409922,1.3498564074284662,-0.3434979632110362,1.0322387550050431,0.5991379310344828,1.0887540378324136,0.11917343310556887,0.9834379986747971,0.0761112515626339,1.8431183292168318,0.17727462831800023,0.14506064807739838,0.1939549444390889,0.16061696545263926,3474.790015883989,6735923.59877841,6.463404512548465,0.5875822284134967,2020-02-03,2020-12-31,True
2020,top_n_equal_weight,2020-02-03,2020-12-31,232,1000000.0,1309581.0276172655,0.30958102761726547,0.340386339753181,0.3775848954594937,0.9667246343896538,1.330977108269624,-0.3371349201378667,1.0096442682768805,0.603448275862069,1.073166039268924,0.10978667653067273,0.9859404257095329,0.06800711411072484,1.8702153825966743,0.17727462831800023,0.13230639929926524,0.1939549444390889,0.1464313953140921,3271.16627270328,6328997.590125982,6.128049115818639,0.557095374165331,2020-02-03,2020-12-31,True
2021,alpha_risk_turnover,2021-01-04,2021-12-31,252,1000000.0,1418032.2101600938,0.41803221016009395,0.41803221016009395,0.14162689393061498,2.5384273316236294,3.877817609642653,-0.052625863427013364,7.943474613767838,0.5912698412698413,1.0331533412931486,0.08978094371948925,0.9475151741569245,0.045483951489571135,2.1642005354191993,0.28728787068458406,0.1307443394755099,0.28728787068458406,0.1307443394755099,4794.614990210028,9292534.643960936,6.294414696681753,0.5245345580568127,2021-01-04,2021-12-31,False
2021,cvar,2021-01-04,2021-12-31,252,1000000.0,1398148.8363397324,0.3981488363397323,0.3981488363397323,0.14841960077135619,2.333580515760199,3.574210819196881,-0.064415464241808,6.180951127591488,0.5714285714285714,1.0664011389315196,0.06794034532376678,0.933246695833831,0.054010744078499144,1.5788692359668526,0.28728787068458406,0.11086096565514825,0.28728787068458406,0.11086096565514825,4145.509648102265,8020459.054466708,5.455350778067885,0.4546125648389903,2021-01-04,2021-12-31,False
2021,median_mad_de,2021-01-04,2021-12-31,252,1000000.0,1424640.7764250296,0.4246407764250295,0.4246407764250295,0.14133965291317008,2.576238035353307,3.950646988359557,-0.05769282840083756,7.360373692804854,0.5793650793650794,1.0176248701173243,0.09845002245952443,0.9351705282223913,0.05011450860968811,2.0563187451647233,0.28728787068458406,0.13735290574044545,0.28728787068458406,0.13735290574044545,5748.389475411015,11148208.926029323,7.645689530178439,0.6371407941815367,2021-01-04,2021-12-31,False
2021,score_weighted,2021-01-04,2021-12-31,252,1000000.0,1442825.6210092648,0.4428256210092649,0.4428256210092649,0.1473653472976612,2.5629748315140892,3.9143266921100377,-0.05487925602989163,8.069089361708306,0.5992063492063492,1.069676054861206,0.09842994023149954,0.9428096562340773,0.04994824951220831,2.3348263656969825,0.28728787068458406,0.15553775032468087,0.28728787068458406,0.15553775032468087,4932.049473093877,9603452.060989,6.14964184430773,0.512470153692311,2021-01-04,2021-12-31,False
2021,top_n_equal_weight,2021-01-04,2021-12-31,252,1000000.0,1433378.088221935,0.43337808822193513,0.43337808822193513,0.14252549846779175,2.5989450770991467,3.973502159558727,-0.052575777119526435,8.242923109565988,0.6031746031746031,1.0430399856894192,0.09810617012287592,0.9505511879952199,0.04461547237990713,2.4507810965930625,0.28728787068458406,0.14609021753735107,0.28728787068458406,0.14609021753735107,4550.417612940722,8839901.942971967,5.752979104695599,0.4794149253912998,2021-01-04,2021-12-31,False
