strategy_name,observed_annualized_return,observed_excess_annualized_return,observed_sharpe,observed_positive_month_ratio,observed_outperform_spy_ratio,observed_mean_excess_monthly_return,bootstrap_replications,bootstrap_months,annualized_return_bootstrap_mean,annualized_return_ci_lower,annualized_return_ci_upper,excess_annualized_return_bootstrap_mean,excess_annualized_return_ci_lower,excess_annualized_return_ci_upper,probability_excess_annualized_return_positive,sharpe_bootstrap_mean,sharpe_ci_lower,sharpe_ci_upper,positive_month_ratio_bootstrap_mean,outperform_spy_ratio_bootstrap_mean,mean_excess_monthly_return_bootstrap_mean,mean_excess_monthly_return_ci_lower,mean_excess_monthly_return_ci_upper,probability_mean_excess_monthly_return_positive
score_weighted,0.24309376168287833,0.0872797827502596,1.2356003363045913,0.6753246753246753,0.6883116883116883,0.006431910303238415,10000,77,0.24569271210932483,0.06654306185818425,0.43993665762484163,0.08775305769931492,0.04039780565066251,0.14141421670306822,1.0,1.2553639624090154,0.4280671396329029,2.1482244325757143,0.6749428571428572,0.6880194805194806,0.006409665847723011,0.003239434948150614,0.009613793246531398,1.0
top_n_equal_weight,0.23131390666984109,0.07549992773722236,1.2119594074896882,0.6883116883116883,0.6623376623376623,0.005545640376613956,10000,77,0.2338079741217264,0.0612108481567076,0.4203778453078872,0.07586831971171651,0.03190464037024387,0.12411880209969552,0.9997,1.2305191701184246,0.40576353942827853,2.112678951716878,0.6879727272727273,0.6619870129870131,0.005530215566250697,0.0024939093701242952,0.008518957724034666,0.9998
median_mad_de,0.22155233275400477,0.06573835382138604,1.2101154981062627,0.6493506493506493,0.6233766233766234,0.004752145999826891,10000,77,0.22418052209244274,0.0634994693189765,0.40134917536985093,0.06624086768243286,0.01917914646406893,0.11763846727872777,0.9977,1.2261840831349395,0.4262167436560507,2.0754990086223857,0.6491077922077922,0.6239025974025973,0.004769674870956712,0.0013956403934355399,0.008185997175854215,0.9978
alpha_risk_turnover,0.21261856428388848,0.056804585351269754,1.1604836053092902,0.6623376623376623,0.5584415584415584,0.004160819804565532,10000,77,0.21504905601184854,0.052247751474547674,0.39351663834582473,0.05710940160183866,0.010630029436778737,0.10658039223906217,0.9924,1.1798618648540293,0.3656380462321441,2.056350785745046,0.6619896103896105,0.5585493506493506,0.00415988378813594,0.0008489702526541213,0.007510292434132253,0.9933
cvar,0.2038570074199466,0.04804302848732789,1.0814786686511275,0.6623376623376623,0.5714285714285714,0.003659696528129492,10000,77,0.2066246680580295,0.039455500376826214,0.3909635355208523,0.048685013648019596,-0.004572411240792358,0.10642171048889566,0.9637,1.09669955386832,0.29414532187643594,1.9499394680947857,0.6621688311688311,0.5716012987012987,0.0036655168981091194,-0.00016828117549963097,0.00754260476473021,0.969
