strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover
alpha_risk_turnover,2020-02-03,2026-06-30,1610,1000000.0,3515938.9028036115,2.5159389028036117,0.21749542234341313,0.21439784584146082,1.0259921313260973,1.4618385566338685,-0.341612245905633,0.6366733773457702,0.5490683229813664,1.00337028100453,0.052985767913724606,0.955031436439075,0.06357365983597141,0.8422774960229933,1.533658387732939,0.9822805150706726,0.15663238554301806,0.060863036800395065,0.0,76583811.97101326,39.321948708776844,0.5106746585555434
cvar,2020-02-03,2026-06-30,1610,1000000.0,3345205.151504975,2.3452051515049748,0.20804625111843378,0.21374192053176438,0.9918943034142693,1.4142039553564536,-0.3261296650529416,0.6379249525941193,0.5496894409937888,1.0043220895097114,0.044866254857228526,0.9588709444579415,0.06067543208259849,0.7513016722696133,1.533658387732939,0.8115467637720357,0.15663238554301806,0.05141386557541572,0.0,61310380.87696725,33.02974167071268,0.4289576840352296
median_mad_de,2020-02-03,2026-06-30,1610,1000000.0,3695910.2192660794,2.6959102192660795,0.22704571417776553,0.2130679219832574,1.0676164401557742,1.5300675916887523,-0.3271562363106809,0.6939978181010545,0.5565217391304348,1.0012888870189802,0.06083647506545829,0.9589990505051327,0.06038599961031295,1.0110121052261596,1.533658387732939,1.1622518315331405,0.15663238554301806,0.07041332863474747,0.0,86318966.40316558,44.77995198452395,0.5815578179808305
score_weighted,2020-02-03,2026-06-30,1610,1000000.0,4121685.9462883947,3.1216859462883946,0.24816670241947314,0.22443867230701217,1.1008187233567162,1.575945092922444,-0.34332440690641797,0.7228344313054256,0.5571428571428572,1.0623595105368318,0.07026434374316254,0.9659411562648951,0.059454035110971824,1.3563831753961906,1.533658387732939,1.5880275585554555,0.15663238554301806,0.09153431687645508,0.0,82782485.98542961,38.87601509842203,0.5048833129665198
top_n_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,3872287.8013224364,2.8722878013224364,0.2360320034639911,0.21840781464307696,1.0802862696846935,1.547534194426066,-0.3369829874761956,0.7004270608190996,0.5577639751552795,1.0366125144162126,0.06342592833040968,0.9685568690411467,0.05484943226730183,1.2674538402698126,1.533658387732939,1.3386294135894974,0.15663238554301806,0.07939961792097305,0.0,74473091.74221557,36.220701286887504,0.47039871801152605
