strategy_name,gross_final_portfolio_value,gross_total_return,gross_cagr,gross_annualized_volatility,gross_sharpe_ratio,gross_sortino_ratio,gross_maximum_drawdown,gross_beta_vs_spy,gross_annualized_alpha_vs_spy,net_final_portfolio_value,net_total_return,net_cagr,net_annualized_volatility,net_sharpe_ratio,net_sortino_ratio,net_maximum_drawdown,net_beta_vs_spy,net_annualized_alpha_vs_spy,net_excess_cagr,rebalances,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,maximum_absolute_cash,commission_cost,spread_cost,slippage_cost,market_impact_cost,effective_cost_bps,maximum_order_adv_fraction,total_return_cost_drag,cagr_cost_drag,transaction_cost_fraction_initial_capital
score_weighted,4121685.9462883947,3.1216859462883946,0.24816670241947314,0.22443867230701217,1.1008187233567162,1.575945092922444,-0.34332440690641797,1.0623595105368318,0.07026434374316254,4040172.810593051,3.0401728105930506,0.24427041052235543,0.22443769293454915,1.086881074531349,1.5551819576923949,-0.3434979632110363,1.0622843768589336,0.06723092754170845,0.08772851787318614,77,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,1.0109431514138123e-08,4088.799095743098,16355.196382972392,20443.99547871549,1124.9124647064018,5.137560251600227,0.00043374864986546707,0.08151313569534402,0.0038962918971177096,0.042012903422137385
top_n_equal_weight,3872287.8013224364,2.8722878013224364,0.2360320034639911,0.21840781464307696,1.0802862696846935,1.547534194426066,-0.3369829874761956,1.0366125144162126,0.06342592833040968,3800724.2968242173,2.8007242968242174,0.23242838479010763,0.21840634767433093,1.0669135128331848,1.5276110081585101,-0.33713492013786694,1.0365516237429124,0.06059505622940884,0.07588649214093834,77,37921.48231667547,73629944.631301,0.470314419458003,0.2417651989986968,9.729774319566786e-09,3681.4972315650502,14725.988926260201,18407.48615782525,1106.5100010249694,5.15027989041222,0.0004493309929680292,0.07156350449821902,0.0036036186738834797,0.03792148231667547
median_mad_de,3695910.2192660794,2.6959102192660795,0.22704571417776553,0.2130679219832574,1.0676164401557742,1.5300675916887523,-0.3271562363106809,1.0012888870189802,0.06083647506545829,3611485.121311185,2.611485121311185,0.2226156650723088,0.21306984335178072,1.050621462915879,1.5046625193752572,-0.3273252082835366,1.0012349170634995,0.05730489595355016,0.0660737724231395,77,43920.972431088434,85124168.66447785,0.581441329938686,0.2973575715309161,9.67941105045611e-09,4256.208433223893,17024.83373289557,21281.042166119467,1358.8880988495011,5.159635990596941,0.000520552214706132,0.08442509795489439,0.004430049105456746,0.04392097243108843
alpha_risk_turnover,3515938.9028036115,2.5159389028036117,0.21749542234341313,0.21439784584146082,1.0259921313260973,1.4618385566338685,-0.341612245905633,1.00337028100453,0.052985767913724606,3445326.3420354966,2.4453263420354965,0.21363538681156768,0.2143949660819117,1.0111812372990157,1.4399037850845982,-0.3417954255229525,1.0032904653394021,0.04989938143597485,0.057093494162398395,77,39028.737777649,75656641.48262064,0.5105777139829167,0.2619074396770168,0.00784188114198514,3782.8320741310326,15131.32829652413,18914.16037065516,1200.4170363386852,5.158666445247168,0.0005071792162864605,0.07061256076811517,0.0038600355318454405,0.039028737777649
cvar,3345205.151504975,2.3452051515049748,0.20804625111843378,0.21374192053176438,0.9918943034142693,1.4142039553564536,-0.3261296650529416,1.0043220895097114,0.044866254857228526,3288685.2266263985,2.2886852266263986,0.20482849607817566,0.21374073499288776,0.9794120931369865,1.39571436330118,-0.3262874888658648,1.0042817011542167,0.04228258746101789,0.04828660342900637,77,31302.259949373612,60689100.08107729,0.42888057937821206,0.2210377906608488,1.0358689905842766e-08,3034.4549980563434,12137.819992225373,15172.274990281716,957.7099088343252,5.157805917281318,0.0004830189994290765,0.056519924878576155,0.003217755040258119,0.03130225994937361
