strategy_name,scenario_type,excluded_group,is_baseline,minimum_eligible_stocks,mean_eligible_stocks,maximum_eligible_stocks,eligible_sectors,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,beta_vs_spy,annualized_alpha_vs_spy,excess_cagr,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,mean_positions,maximum_weight,maximum_sector_weight,mean_effective_positions,construction_one_way_turnover,effective_cost_bps,cagr_difference_vs_full,sharpe_difference_vs_full,drawdown_difference_vs_full
full_universe,baseline,,True,50,50.0,50,11,4040172.810593051,3.0401728105930506,0.24427041052235543,0.22443769293454915,1.086881074531349,1.5551819576923949,-0.3434979632110363,1.0622843768589336,0.06723092754170845,0.08772851787318614,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,25.0,0.050000000000000024,0.2500000000000001,24.17602535713524,0.23322462313972261,5.137560251600228,0.0,0.0,0.0
leave_out_sector_communication_services,leave_one_sector_out,Communication Services,False,46,46.0,46,10,3992275.0966747683,2.9922750966747684,0.24194988600238054,0.22028358210747392,1.0946664112134048,1.5684787521758348,-0.35428398968496255,1.0381634263942567,0.0684432948739949,0.08540799335321125,38338.12444955552,74706056.16075908,0.4723559566641355,0.24278609458722922,25.0,0.050000000000000024,0.2500000000000001,24.010321148676642,0.21684357198503795,5.1318629867244185,-0.002320524519974887,0.007785336682055721,-0.010786026473926236
leave_out_sector_consumer_discretionary,leave_one_sector_out,Consumer Discretionary,False,44,44.0,44,10,3756619.6018828023,2.7566196018828024,0.23017886268558896,0.2138794125793081,1.0762328252734374,1.5485830147331752,-0.33696829940922457,1.0116000802396645,0.06190899235229665,0.07363697003641967,34900.00807579801,68067188.40999237,0.46503835720586684,0.23912528643672906,25.0,0.050000000000000024,0.2500000000000001,23.99695953441156,0.21404555523259106,5.1272880356954245,-0.014091547836766471,-0.010648249257911635,0.006529663801811747
leave_out_sector_consumer_staples,leave_one_sector_out,Consumer Staples,False,45,45.0,45,10,3998371.727268838,2.9983717272688377,0.24224655258375605,0.22837099997731042,1.0649366086351855,1.5231396529057244,-0.34248115690534575,1.0809888500884652,0.06338308123092481,0.08570465993458676,38402.42046593698,74786078.43897307,0.4668859894513299,0.24004976266551165,25.0,0.050000000000000024,0.2500000000000001,24.04383412411306,0.21311415217586782,5.134969136973015,-0.0020238579385993827,-0.021944465896163612,0.0010168063056905652
leave_out_sector_energy,leave_one_sector_out,Energy,False,47,47.0,47,10,3952648.8340110895,2.9526488340110895,0.24001227449797247,0.22454384086280046,1.0710953733787194,1.5397442256859175,-0.3318821237291165,1.0642838493928506,0.06346911262655537,0.08347038184880318,39528.89885160695,77071623.17919424,0.4903264516476563,0.25177585655521023,25.0,0.050000000000000024,0.2500000000000001,24.090336812066695,0.22607815575302145,5.128852516794783,-0.004258136024382964,-0.015785701152629672,0.011615839481919799
leave_out_sector_financials,leave_one_sector_out,Financials,False,43,43.0,43,10,3946521.991812771,2.946521991812771,0.23971122826515612,0.21742252814849047,1.097813310947807,1.5766042124658273,-0.3288408851213399,1.0239707404495542,0.06835649057181346,0.08316933561598683,38565.78802035436,75148633.30050205,0.4583786446554096,0.23579384278405122,25.0,0.050000000000000024,0.25000000000000017,23.94852311804184,0.2087239216519466,5.131934717447045,-0.004559182257199312,0.010932236416457908,0.014657078089696407
leave_out_sector_health_care,leave_one_sector_out,Health Care,False,43,43.0,43,10,3868863.3297287365,2.8688633297287365,0.23586084737439772,0.23253519579147336,1.0278258077802052,1.464869432624601,-0.3537332763794556,1.0992301469943522,0.056153762046491904,0.07931895472522843,35287.495536382594,68841926.90689576,0.44743059474734537,0.23031689996136054,25.0,0.05000000000000004,0.2500000000000002,23.93982944115577,0.20340828179735385,5.125872723479493,-0.00840956314795771,-0.05905526675114392,-0.010235313168419302
leave_out_sector_industrials,leave_one_sector_out,Industrials,False,45,45.0,45,10,3829841.707749073,2.8298417077490727,0.23390145647251637,0.22362449043798752,1.0526144757018074,1.5011954081698393,-0.350555767383662,1.0589128237095922,0.05924506490046319,0.07735956382334708,37704.06429813913,73538870.11582333,0.4638447452109483,0.23852819543207773,25.0,0.050000000000000024,0.2500000000000001,24.026716014165064,0.2115794383932538,5.127093228214606,-0.010368954049839063,-0.03426659882954164,-0.007057804172625692
leave_out_sector_materials,leave_one_sector_out,Materials,False,48,48.0,48,10,3959352.9948833333,2.9593529948833335,0.2403412370007112,0.22492773900671442,1.070900878067678,1.5321483519524894,-0.34365013436316694,1.0653259337601557,0.06366321078778076,0.0837993443515419,39659.757435385975,77317190.99609838,0.4843611209498679,0.24879169223204772,25.0,0.050000000000000024,0.2500000000000001,24.13070286734032,0.22263560612842337,5.129487624218953,-0.003929173521644236,-0.015980196463670993,-0.00015217115213062016
leave_out_sector_real_estate,leave_one_sector_out,Real Estate,False,49,49.0,49,10,4020657.128541035,3.0206571285410355,0.24332774050739037,0.2234074920275713,1.0874605456729192,1.5532053533027799,-0.3426862869557151,1.0568165252658885,0.06715023200143345,0.08678584785822108,41376.64260019317,80594549.3951942,0.502389273649001,0.25781049647554016,25.0,0.050000000000000024,0.2500000000000001,24.130525117449093,0.2317776751148348,5.133925669998277,-0.0009426700149650635,0.0005794711415700871,0.000811676255321192
