signal,as_of_date,quintile,observations,mean_target_21d_excess,median_target_21d_excess,mean_target_21d
momentum_12_1_sector_neutral,2015-01-30,1,10,0.0010941028904734695,0.009768021981294561,0.06157296271707598
momentum_12_1_sector_neutral,2015-01-30,2,10,0.008979712414766217,0.008349599110844097,0.06945857224136873
momentum_12_1_sector_neutral,2015-01-30,3,10,-0.021753772789401514,-0.009818979777830084,0.03872508703720099
momentum_12_1_sector_neutral,2015-01-30,4,10,-0.028542495570280667,-0.01234665913712385,0.031936364256321834
momentum_12_1_sector_neutral,2015-01-30,5,10,0.026574266056346673,0.024124610160892734,0.08705312588294918
momentum_12_1_sector_neutral,2015-02-27,1,10,-0.011843035840581806,-0.007146516686081683,-0.021561349984769808
momentum_12_1_sector_neutral,2015-02-27,2,10,-0.015938256339151656,-0.00030616654055942716,-0.025656570483339657
momentum_12_1_sector_neutral,2015-02-27,3,10,0.003832390533841079,0.005362165740036617,-0.005885923610346922
momentum_12_1_sector_neutral,2015-02-27,4,10,0.01090036389902672,0.0003762319710848838,0.001182049754838721
momentum_12_1_sector_neutral,2015-02-27,5,10,0.014977664877558949,0.016557077684232313,0.0052593507333709485
momentum_12_1_sector_neutral,2015-03-31,1,10,0.048267482155471275,0.027252498635952083,0.045776575172698786
momentum_12_1_sector_neutral,2015-03-31,2,10,0.002107096005120157,-0.01539250209698928,-0.0003838109776523324
momentum_12_1_sector_neutral,2015-03-31,3,10,0.03542378204744333,0.027441378488840817,0.03293287506467084
momentum_12_1_sector_neutral,2015-03-31,4,10,0.007720927003198386,0.0006569893433938101,0.005230020020425896
momentum_12_1_sector_neutral,2015-03-31,5,10,0.0021219931447828966,-0.03370743752552774,-0.0003689138379895929
momentum_12_1_sector_neutral,2015-04-30,1,10,-0.0033440796388819693,-0.010604516536529163,0.017792711046602717
momentum_12_1_sector_neutral,2015-04-30,2,10,-0.010835325731389877,-0.010065270913223068,0.010301464954094808
momentum_12_1_sector_neutral,2015-04-30,3,10,-0.015527296498260535,-0.007489490759719275,0.005609494187224151
momentum_12_1_sector_neutral,2015-04-30,4,10,0.013978589713995616,0.009517402289295762,0.0351153803994803
momentum_12_1_sector_neutral,2015-04-30,5,10,0.03055945176172715,0.018853502598808358,0.05169624244721184
momentum_12_1_sector_neutral,2015-05-29,1,10,0.002400196464442628,0.010024070564514043,-0.023638298967882877
momentum_12_1_sector_neutral,2015-05-29,2,10,-0.006513175943049343,-0.008223433950225512,-0.03255167137537485
momentum_12_1_sector_neutral,2015-05-29,3,10,-0.01184110957199278,-0.01840243901429206,-0.037879605004318286
momentum_12_1_sector_neutral,2015-05-29,4,10,0.03684110344047833,0.03379708181925101,0.010802608008152826
momentum_12_1_sector_neutral,2015-05-29,5,10,0.004443790465128716,0.0004928790284859375,-0.021594704967196787
momentum_12_1_sector_neutral,2015-06-30,1,10,0.0053287939012668815,-0.005757114659830975,0.03926099795750852
momentum_12_1_sector_neutral,2015-06-30,2,10,0.0012365200875581906,0.0023144458122618117,0.03516872414379983
