factor_1,factor_2,dates_evaluated,mean_spearman,median_spearman,mean_abs_spearman,max_abs_spearman,same_sign_ratio
operating_margin,net_margin,151,0.8989785098072939,0.9218544434312457,0.8989785098072939,0.9757012895927286,1.0
debt_to_assets,net_debt_to_assets,151,0.8941355078244464,0.9148885727833096,0.8941355078244464,0.9488320355951056,1.0
roe,roa,151,0.8088499178792762,0.8143864924251185,0.8088499178792762,0.9086388342777842,1.0
gross_margin,operating_margin,151,0.7628194643474091,0.7670149981092514,0.7628194643474091,0.8701298701298701,1.0
roa,gross_profitability,151,0.7171274697444138,0.7233766233766233,0.7171274697444138,0.8415584415584415,1.0
roa,interest_coverage,151,0.7150755740385183,0.7008894197452668,0.7150755740385183,0.8571166748490185,1.0
book_to_market,roe,151,-0.6887481546822796,-0.7158013975274056,0.6887481546822796,0.8288463321546917,1.0
roe,gross_profitability,151,0.6884521542934996,0.6875407859858544,0.6884521542934996,0.8753246753246753,1.0
gross_margin,net_margin,151,0.6538750263731309,0.6779734885211557,0.6538750263731309,0.8290513833992095,1.0
net_income_growth_yoy,net_income_growth_acceleration,127,0.6487754583627589,0.7188364738437212,0.6487754583627589,0.8818373913461077,1.0
sales_yield,operating_margin,151,-0.6471658142562116,-0.6445106596852561,0.6471658142562116,0.7759142182711496,1.0
cash_conversion,accruals,151,-0.64690146268434,-0.6578818803604386,0.64690146268434,0.8877700575398979,1.0
operating_cash_flow_growth_yoy,operating_cash_flow_growth_acceleration,127,0.6279823320269775,0.6343674828841054,0.6279823320269775,0.9282162639192412,1.0
book_to_market,gross_profitability,151,-0.5922426633695179,-0.6,0.5922426633695179,0.7304347826086957,1.0
earnings_yield,fcf_yield,151,0.5846372623264101,0.6034022890097105,0.5846372623264101,0.8319108582266477,1.0
sales_yield,net_margin,151,-0.5702192182914537,-0.5858827347894998,0.5702192182914537,0.7588309808039935,1.0
roa,operating_margin,151,0.5493519217120535,0.5333265860365297,0.5493519217120535,0.7376042556870083,1.0
gross_profitability,interest_coverage,151,0.5383911876776781,0.5533834586466165,0.5383911876776781,0.7747252747252747,1.0
book_to_market,roa,151,-0.5316507830273459,-0.550320269243296,0.5316507830273459,0.6589675388122896,1.0
sales_yield,gross_margin,151,-0.5177891894777537,-0.5382608695652173,0.5177891894777537,0.7312252964426877,1.0
earnings_yield,book_to_market,151,0.5124279021534947,0.5643252632721746,0.5124279021534947,0.6806406846305076,1.0
gross_profitability,gross_margin,151,0.5096433601607346,0.5187747035573123,0.5096433601607346,0.6511857707509882,1.0
sales_yield,book_to_market,151,0.5076790719497996,0.5351533001057243,0.5076790719497996,0.6507774410330742,1.0
earnings_yield,sales_yield,151,0.49532136874952765,0.521568173933156,0.49532136874952765,0.705938475771944,1.0
roa,net_margin,151,0.48877795508011557,0.475646324661642,0.48877795508011557,0.7398866780867044,1.0
revenue_growth_yoy,operating_cash_flow_growth_yoy,139,0.45602893105254433,0.4477316965171573,0.45602893105254433,0.7775751707195754,1.0
revenue_growth_yoy,asset_growth_yoy,139,0.44255287068721316,0.43986646054798667,0.44255287068721316,0.7508722471623341,1.0
revenue_growth_yoy,revenue_growth_acceleration,127,0.44145387073185477,0.4436103475012335,0.4422196378297064,0.8631181803376581,0.984251968503937
net_margin,interest_coverage,151,0.4389637674187216,0.3702062643239114,0.4389637674187216,0.7661069059428669,1.0
capex_to_assets,accruals,151,-0.4294093235905407,-0.4404685324170198,0.4294093235905407,0.707332447984332,1.0
net_debt_to_assets,interest_coverage,151,-0.426116144799783,-0.424901185770751,0.426116144799783,0.7393162393162394,1.0
roa,gross_margin,151,0.42165366314569436,0.4195700646990788,0.42165366314569436,0.673091199199229,1.0
revenue_growth_yoy,net_income_growth_yoy,139,0.41510418111066333,0.4197665937272064,0.4162517525945375,0.7254241614811594,0.9784172661870504
sales_yield,fcf_yield,151,0.405785303657278,0.4517134068218489,0.405785303657278,0.6931420793398384,1.0
net_margin,current_ratio,151,0.4016366599288554,0.4225933571026459,0.4016366599288554,0.6742353161944079,1.0
roa,current_ratio,151,0.3993230022877811,0.42263501597893555,0.39948562669142457,0.6011327170605456,0.9933774834437086
debt_to_assets,interest_coverage,151,-0.39688091490833727,-0.42911877394636017,0.39688091490833727,0.6672771672771672,1.0
current_ratio,interest_coverage,151,0.3720014236115506,0.36800534213702973,0.3720014236115506,0.5431627196333079,1.0
operating_margin,current_ratio,151,0.37090884688342496,0.4053150649961937,0.37090884688342496,0.6035859423271949,1.0
operating_margin,interest_coverage,151,0.3698685291993666,0.31596638655462184,0.3698685291993666,0.6973180076628352,1.0
roe,interest_coverage,151,0.3628046671097635,0.351717534428242,0.3628046671097635,0.6724468226531813,1.0
revenue_growth_acceleration,operating_cash_flow_growth_acceleration,127,0.35734129441146534,0.3655351907163789,0.3580080837243737,0.7972688250512088,0.984251968503937
revenue_growth_acceleration,net_income_growth_acceleration,127,0.35491894364874643,0.39074301081240426,0.3578936332901627,0.6563584439165657,0.968503937007874
roe,operating_margin,151,0.345575614702801,0.36084053846995734,0.345575614702801,0.5168791197928403,1.0
gross_profitability,operating_margin,151,0.33470297513626346,0.3,0.33470297513626346,0.6883384932920537,1.0
net_margin,accruals,151,0.3275511786818004,0.3704582141220046,0.33529241928409836,0.5990369919870047,0.9271523178807947
gross_margin,current_ratio,151,0.3244098180448162,0.3414875320460112,0.3312957954403252,0.812987012987013,0.9139072847682119
gross_margin,interest_coverage,151,0.32028341671791943,0.29022556390977444,0.32028341671791943,0.8901098901098901,1.0
book_to_market,fcf_yield,151,0.2991631388491124,0.29292980451503453,0.2991631388491124,0.6324586416270503,1.0
roe,debt_to_assets,151,0.29842493055327746,0.2996524674070199,0.2988780930425555,0.5951863696706993,0.9933774834437086
roe,net_margin,151,0.2947732309406812,0.2774423601288959,0.2947732309406812,0.6410346771919933,1.0
sales_yield,current_ratio,151,-0.2930095118769258,-0.2837230035961047,0.2930095118769258,0.6455714017639332,1.0
net_income_growth_yoy,operating_cash_flow_growth_yoy,139,0.28966516538141557,0.3336993564523024,0.3204180061444199,0.6752878992919954,0.8848920863309353
roa,net_income_growth_yoy,139,0.2893418842191561,0.26446576181242987,0.29300655081465077,0.5972722470345291,0.9568345323741008
accruals,operating_cash_flow_growth_yoy,139,-0.2857839133050526,-0.2977832432016979,0.2900427185948664,0.6845505966964058,0.9424460431654677
cash_conversion,operating_cash_flow_growth_yoy,139,0.2830850976091213,0.274546876246879,0.2897594230508083,0.6146352514725872,0.9424460431654677
earnings_yield,net_margin,151,0.27427225891370816,0.2501445588065225,0.27428451290525446,0.6329859537834164,0.9933774834437086
roa,cash_conversion,151,-0.27093346961082526,-0.2578438823146238,0.27207768844349245,0.5983805668016194,0.9801324503311258
roe,gross_margin,151,0.2684192298676289,0.2721804511278195,0.2711826670314415,0.5385964912280702,0.9602649006622517
fcf_yield,capex_to_assets,151,-0.2666012796809222,-0.28604256758905755,0.26890581226758165,0.5130647487475865,0.9735099337748344
net_margin,cash_conversion,151,-0.2662269884364222,-0.2999155563895665,0.2740095910532185,0.6231749980921184,0.9006622516556292
net_debt_to_assets,revenue_growth_yoy,139,-0.2643353650596073,-0.24855277932095815,0.26498170418667166,0.6610837438423646,0.9856115107913669
net_margin,net_income_growth_yoy,139,0.26377176039779926,0.2530105112766609,0.26377176039779926,0.5276048576385346,1.0
