as_of_date,positions,portfolio_value,predicted_volatility,predicted_variance,portfolio_beta_vs_spy,maximum_weight,minimum_weight,concentration_hhi,effective_positions,maximum_sector_weight,maximum_active_sector_weight,maximum_position_adv_fraction,weighted_position_adv_fraction,maximum_liquidation_days,weighted_liquidation_days,risk_contribution_sum,method
2020-01-31,25,1000000.0,0.13519323747055118,0.018277211457768845,1.0955139388923965,0.04999900000000002,0.0,0.04916254107757856,20.34068984396064,0.2000159999999999,0.090001,0.0002030454231681009,7.14735126289417e-05,0.002030454231681009,0.0007147351262894167,0.13519323747055123,alpha_risk_turnover
2020-02-28,25,1000000.0,0.1523733774061166,0.023217646142146837,1.091964595340728,0.04999900083012811,0.0,0.04999800006758149,20.00080000496652,0.24999499971064115,0.1,0.000173353016781508,7.17835784243613e-05,0.0017335301678150798,0.000717835784243613,0.15237337740611653,alpha_risk_turnover
2020-03-31,25,1000000.0,0.3098359962151073,0.09599834455060799,1.0926331339631177,0.04999900009077863,0.0,0.048805135741043885,20.489646936050324,0.16838635355146997,0.06999699945456507,0.00014442528260237453,5.090704598257478e-05,0.0014442528260237453,0.0005090704598257479,0.30983599621510727,alpha_risk_turnover
2020-04-30,25,1000000.0,0.31289994652331804,0.09790637653429528,1.0195962973093387,0.04999899999779749,0.0,0.04883670286248986,20.476402815638743,0.2316256470355793,0.11162564703557931,0.00015122749554918077,4.950309050558282e-05,0.0015122749554918077,0.0004950309050558282,0.312899946523318,alpha_risk_turnover
2020-05-29,25,1000000.0,0.3132840995697768,0.09814692704324583,1.0063916397530746,0.04999900138740707,0.0,0.048861191478239745,20.466140299614846,0.24999500593661425,0.10999500593661424,0.00013793506290209242,4.7784698949956596e-05,0.001379350629020924,0.000477846989499566,0.31328409956977676,alpha_risk_turnover
2020-06-30,25,1000000.0,0.3402544965290529,0.11577312240823924,1.0651352866475696,0.049999001128281984,0.0,0.049998001096155986,20.000799593503817,0.24999900041659978,0.0900009997205996,0.0001885962348343554,5.549504946087671e-05,0.001885962348343554,0.0005549504946087672,0.3402544965290528,alpha_risk_turnover
2020-07-31,25,1000000.0,0.3250959035991277,0.10568734653693335,1.0125043516549885,0.04999900022404294,0.0,0.04885151304408515,20.470195039764036,0.16784888794431874,0.0900009999726604,0.00022336613095671576,6.320829871736837e-05,0.002233661309567157,0.0006320829871736838,0.3250959035991277,alpha_risk_turnover
2020-08-31,25,1000000.0,0.30787826408458957,0.09478902549574028,0.9734873162635727,0.04999900073810057,0.0,0.047955198725593826,20.85279649704167,0.19999600109554905,0.12314424022230362,0.00024234970596228052,7.086377232686911e-05,0.002423497059622805,0.0007086377232686907,0.30787826408458957,alpha_risk_turnover
2020-09-30,25,1000000.0,0.3126109853137199,0.0977256281388148,0.9642547530459761,0.0499990001576592,0.0,0.04782105195681127,20.911292392796632,0.21578018821053227,0.07314524027064556,0.00025931836822984974,6.618749546190927e-05,0.0025931836822984974,0.0006618749546190927,0.31261098531371995,alpha_risk_turnover
2020-10-30,25,1000000.0,0.3068936646887485,0.09418372142609002,0.9270418227443928,0.0499990000491106,0.0,0.04780137200623783,20.919901626871823,0.24999500005402747,0.10999500005402746,0.00020964850742868078,6.477332559131296e-05,0.0020964850742868075,0.0006477332559131295,0.3068936646887486,alpha_risk_turnover
2020-11-30,25,1000000.0,0.3256370954365972,0.1060395179243835,0.9768144712750328,0.04999900013482051,0.0,0.04912143004968204,20.357713506886654,0.2433237471535065,0.09000099992919468,0.00021560005481653877,6.705381656051064e-05,0.0021560005481653876,0.0006705381656051065,0.32563709543659713,alpha_risk_turnover
2020-12-31,25,1000000.0,0.34931504337588626,0.12202099952869731,1.0636867375381236,0.04999900036311454,0.0,0.049420166867243834,20.234654461735737,0.20001599423436703,0.050000999636885465,0.0002320449887641351,7.82240485971833e-05,0.0023204498876413506,0.000782240485971833,0.3493150433758863,alpha_risk_turnover
2021-01-29,25,1000000.0,0.3387585925320814,0.11475738401431676,1.023284066112816,0.049998999921707254,0.0,0.049609699163556856,20.15734860038412,0.14999699942014771,0.08573576372258664,0.0002213326695914312,6.805837388488557e-05,0.002213326695914312,0.0006805837388488558,0.33875859253208146,alpha_risk_turnover
2021-02-26,25,1000000.0,0.33306562383764476,0.11093270978235947,1.0233750447228769,0.049999000001805925,0.0,0.04886758854846253,20.463461155000292,0.1576343425019028,0.06999699994771173,0.00017676641649354505,5.746695812980321e-05,0.0017676641649354505,0.0005746695812980322,0.3330656238376447,alpha_risk_turnover
2021-03-31,25,1000000.0,0.22871899451940636,0.05231237845396824,1.088038426405095,0.04999900025689899,0.0,0.049352634148560434,20.26234297828597,0.2076333395214822,0.050000999743101016,0.00016979407592385544,6.06484089864118e-05,0.0016979407592385542,0.0006064840898641181,0.22871899451940636,alpha_risk_turnover
2021-04-30,25,1000000.0,0.1907250557758196,0.036376046900689504,1.0625391626750436,0.049999000137607975,0.0,0.04999799909813705,20.00080039277533,0.19999599736567142,0.0599959953351083,0.00016958015131344968,5.5036237185370566e-05,0.001695801513134497,0.0005503623718537054,0.1907250557758196,alpha_risk_turnover
2021-05-28,25,1000000.0,0.17946280263654132,0.03220689753016218,1.035799999157433,0.04999900011713562,0.0,0.04846545576610329,20.63325278165236,0.19999599954388586,0.058693023439986274,0.00017573030460421522,5.2791281113124725e-05,0.001757303046042152,0.0005279128111312473,0.17946280263654127,alpha_risk_turnover
