capital,strategy_name,gross_cagr,gross_sharpe_ratio,gross_sortino_ratio,gross_maximum_drawdown,net_final_portfolio_value,net_total_return,net_cagr,net_annualized_volatility,net_sharpe_ratio,net_sortino_ratio,net_maximum_drawdown,net_beta_vs_spy,net_annualized_alpha_vs_spy,net_excess_cagr,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,maximum_absolute_cash,market_impact_cost,effective_cost_bps,maximum_order_adv_fraction,mean_order_adv_fraction,transaction_cost_fraction_initial_capital,cagr_cost_drag,sharpe_cost_drag
100000.0,score_weighted,0.24816670241947314,1.1008187233567162,1.575945092922444,-0.34332440690641797,404165.6497757338,3.041656497757338,0.2443419201610848,0.2244377648124535,1.0871370641791294,1.5555627513888797,-0.34349580283507464,1.0622860648849937,0.0672881786133814,0.08780002751191551,4125.305025886415,8179440.201896533,0.5048101414468853,0.25901934533448556,9.928712074724899e-09,35.5849249381483,5.043505330511368,4.339079369391815e-05,3.7408620134863877e-06,0.04125305025886415,0.0038247822583883373,0.013681659177586791
100000.0,top_n_equal_weight,0.2360320034639911,1.0802862696846935,1.547534194426066,-0.3369829874761956,380213.91441114445,2.8021391441114445,0.2325001826309876,0.21840643389830605,1.0671801136510204,1.5280074809873436,-0.3371330308381024,1.0365531429087067,0.0606531228505408,0.0759582899818183,3717.3344796166602,7364663.218394024,0.4703160707742918,0.2417637041577435,9.827722635691316e-09,35.00287041964852,5.047528134527897,4.4947932608182414e-05,3.4468442752929315e-06,0.03717334479616661,0.0035318208330035183,0.013106156033673155
100000.0,median_mad_de,0.22704571417776553,1.0676164401557742,1.5300675916887523,-0.3271562363106809,361326.0142920029,2.613260142920029,0.22270970070081986,0.21306982021907683,1.0509827790983317,1.5052017706113463,-0.3273230852707868,1.0012361599740733,0.05738165047137621,0.06616780805165057,4300.464589514029,8514947.273635298,0.5814437752009922,0.2973556974737462,9.880871232326172e-09,42.990952696380866,5.050488806700534,5.208080627571634e-05,4.387171641381165e-06,0.0430046458951403,0.004336013476945677,0.01663366105744246
100000.0,alpha_risk_turnover,0.21749542234341313,1.0259921313260973,1.4618385566338685,-0.341612245905633,344680.58228470536,2.4468058228470535,0.21371694418485498,0.2143950853328562,1.0114944471873186,1.4403671646133294,-0.3417926993714204,1.0032924456375791,0.04996632326746686,0.057175051535685695,3821.7872684773174,7567624.080102351,0.5105797451643648,0.2619057741501689,0.0007844977513542517,37.975228426142195,5.050181177109459,5.073722633508673e-05,4.031874481878167e-06,0.038217872684773176,0.0037784781585581406,0.014497684138778721
100000.0,cvar,0.20804625111843378,0.9918943034142693,1.4142039553564536,-0.3261296650529416,328986.8577813027,2.289868577813027,0.2048963422492469,0.2137408405583011,0.9796753383760783,1.396103981184867,-0.32628550797138645,1.0042831218610653,0.042338720783642536,0.04835444960007762,3065.4107907618854,6070231.178367962,0.42888220397211935,0.22103637122483588,1.0032778163804323e-08,30.295201576480213,5.049907825276607,4.831760733357618e-05,3.456199824583278e-06,0.03065410577629562,0.003149908869186868,0.012218965038190976
1000000.0,score_weighted,0.24816670241947314,1.1008187233567162,1.575945092922444,-0.34332440690641797,4040172.810593051,3.0401728105930506,0.24427041052235543,0.22443769293454915,1.086881074531349,1.5551819576923949,-0.3434979632110363,1.0622843768589336,0.06723092754170845,0.08772851787318614,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,1.0109431514138123e-08,1124.9124647064018,5.137560251600227,0.00043374864986546707,3.740075944593579e-05,0.04201290342213738,0.0038962918971177096,0.013937648825367077
1000000.0,top_n_equal_weight,0.2360320034639911,1.0802862696846935,1.547534194426066,-0.3369829874761956,3800724.2968242173,2.8007242968242174,0.23242838479010763,0.21840634767433093,1.0669135128331848,1.5276110081585101,-0.33713492013786694,1.0365516237429124,0.06059505622940884,0.07588649214093834,37921.48231667547,73629944.631301,0.470314419458003,0.2417651989986968,9.729774319566786e-09,1106.5100010249694,5.15027989041222,0.0004493309929680292,3.4461104302813254e-05,0.03792148231667547,0.0036036186738834797,0.013372756851508738
1000000.0,median_mad_de,0.22704571417776553,1.0676164401557742,1.5300675916887523,-0.3271562363106809,3611485.121311185,2.611485121311185,0.2226156650723088,0.21306984335178072,1.050621462915879,1.5046625193752572,-0.3273252082835366,1.0012349170634995,0.05730489595355016,0.0660737724231395,43920.972431088434,85124168.66447785,0.581441329938686,0.2973575715309161,9.67941105045611e-09,1358.8880988495011,5.159635990596941,0.000520552214706132,4.3859479600720196e-05,0.04392097243108843,0.004430049105456746,0.01699497723989518
1000000.0,alpha_risk_turnover,0.21749542234341313,1.0259921313260973,1.4618385566338685,-0.341612245905633,3445326.3420354966,2.4453263420354965,0.21363538681156768,0.2143949660819117,1.0111812372990157,1.4399037850845982,-0.3417954255229525,1.0032904653394021,0.04989938143597485,0.057093494162398395,39028.737777649,75656641.48262064,0.5105777139829167,0.2619074396770168,0.00784188114198514,1200.4170363386852,5.158666445247168,0.0005071792162864605,4.0309104476034076e-05,0.03902873777764901,0.0038600355318454405,0.014810894027081689
1000000.0,cvar,0.20804625111843378,0.9918943034142693,1.4142039553564536,-0.3261296650529416,3288685.2266263985,2.2886852266263986,0.20482849607817566,0.21374073499288776,0.9794120931369865,1.39571436330118,-0.3262874888658648,1.0042817011542167,0.04228258746101789,0.04828660342900637,31302.259949373612,60689100.08107729,0.42888057937821206,0.2210377906608488,1.0358689905842766e-08,957.7099088343252,5.157805917281318,0.0004830189994290765,3.277580215169183e-05,0.03130225988939776,0.003217755040258119,0.012482210277282801
