regime,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover,window_start,window_end,short_sample_warning
bear_market_2022,alpha_risk_turnover,2022-01-03,2022-12-30,251,1000000.0,945883.0698404305,-0.05411693015956953,-0.0543265700934491,0.2471264763204662,-0.10300293465749871,-0.14797836317922172,-0.20972156102658157,-0.2590414158063766,0.4581673306772908,0.9940285628073601,0.14554347636177412,0.9751359933883285,0.05478416082114643,2.6754213889954626,-0.1817539295653512,0.12763699940578166,-0.18240758767354603,0.12808101758009693,5888.569052704408,11445446.98824048,6.9250947612820095,0.5770912301068342,2022-01-03,2022-12-30,False
bear_market_2022,cvar,2022-01-03,2022-12-30,251,1000000.0,926356.5818926599,-0.0736434181073401,-0.07392569624987044,0.24939421252038194,-0.18370758950802285,-0.26105283611985075,-0.22819415460527503,-0.32395964032358937,0.46613545816733065,1.0063682707061279,0.1273053630604033,0.9782642093204263,0.05173800491915499,2.4394032686316356,-0.1817539295653512,0.1081105114580111,-0.18240758767354603,0.10848189142367559,4418.001502835424,8581820.630474333,5.252284968564041,0.43769041404700343,2022-01-03,2022-12-30,False
bear_market_2022,median_mad_de,2022-01-03,2022-12-30,251,1000000.0,942383.9889951162,-0.05761601100488378,-0.05783878698077882,0.24142416846859835,-0.1265023589935979,-0.17932379564690945,-0.20813969444478952,-0.27788446185175386,0.47410358565737054,0.9710422774612189,0.1365032753323234,0.9750861650935502,0.05401242974146899,2.619484844127728,-0.1817539295653512,0.12413791856046741,-0.18240758767354603,0.12456880069276721,6256.660337476547,12156048.760756988,7.370394816077442,0.6141995680064535,2022-01-03,2022-12-30,False
bear_market_2022,score_weighted,2022-01-03,2022-12-30,251,1000000.0,880864.8660037057,-0.11913513399629438,-0.1195801953675133,0.2658115157873121,-0.34669554967946176,-0.49190038806198766,-0.23146670566916627,-0.5166194205849562,0.44223107569721115,1.0747488975535795,0.09272851243365268,0.9802092947355017,0.055653965925653595,1.4351142281813256,-0.1817539295653512,0.0626187955690568,-0.18240758767354603,0.06282739230603274,5669.580885765636,11066976.08180255,6.45785922449649,0.5381549353747074,2022-01-03,2022-12-30,False
bear_market_2022,top_n_equal_weight,2022-01-03,2022-12-30,251,1000000.0,888724.5354518453,-0.11127546454815473,-0.11169305968177712,0.2577696079305196,-0.3310298091635076,-0.4690311600643903,-0.22702982056315413,-0.49197528062489415,0.4541832669322709,1.0439370370200451,0.0942543331631481,0.9818116813748125,0.050085209340417006,1.730970978298068,-0.1817539295653512,0.07047846501719646,-0.18240758767354603,0.07071452799176892,5227.867082420501,10181985.769364338,6.032801233623401,0.5027334361352834,2022-01-03,2022-12-30,False
covid_crash,alpha_risk_turnover,2020-02-19,2020-03-23,24,1000000.0,666376.7481810634,-0.3336232518189366,-0.9859052211492199,0.8347257949198523,-4.653388197159328,-5.351087222068387,-0.3417954255229525,-2.884489222290699,0.2916666666666667,1.0969711232881063,0.4562231738714081,0.9892551610382538,0.14220155729508635,0.5100161677662699,-0.33400343518755593,0.00038018336861933566,-0.9859894273786837,8.42062294638124e-05,262.80143343862767,514159.5726661166,0.5443341719988058,0.5443341719988058,2020-02-19,2020-03-23,True
covid_crash,cvar,2020-02-19,2020-03-23,24,1000000.0,678680.1763057932,-0.32131982369420675,-0.9829201433295078,0.7866796513173692,-4.746809757292265,-5.469270322806603,-0.32628748886586445,-3.012435894327479,0.2916666666666667,1.036810906081173,0.36826404379316,0.9921072057840228,0.10246182977869929,2.172610141657132,-0.33400343518755593,0.012683611493349178,-0.9859894273786837,0.0030692840491758355,219.09118931645415,430137.0789024847,0.45980973484703164,0.45980973484703164,2020-02-19,2020-03-23,True
covid_crash,median_mad_de,2020-02-19,2020-03-23,24,1000000.0,680465.2692064038,-0.3195347307935963,-0.9824425023065623,0.815969550699152,-4.515825826428329,-5.278130246778193,-0.32732520828353673,-3.001426341278145,0.2916666666666667,1.0742861976214346,0.565989610343483,0.991066980899499,0.12234871048995895,2.22357786633551,-0.33400343518755593,0.014468704393959642,-0.9859894273786837,0.0035469250721213985,236.80229436059946,464900.36081308784,0.4930312198100699,0.4930312198100699,2020-02-19,2020-03-23,True
covid_crash,score_weighted,2020-02-19,2020-03-23,24,1000000.0,666145.4039455352,-0.33385459605446477,-0.9859565155966566,0.8421609044133984,-4.609983822490593,-5.333554329712124,-0.3434979632110361,-2.870341664852641,0.3333333333333333,1.1079304583058993,0.5015423969931888,0.9903173532574523,0.14236900067790764,0.5231483652484317,-0.33400343518755593,0.00014883913309116092,-0.9859894273786837,3.291178202702305e-05,251.08086578898542,493018.4938019766,0.5189662467669738,0.5189662467669738,2020-02-19,2020-03-23,True
covid_crash,top_n_equal_weight,2020-02-19,2020-03-23,24,1000000.0,672003.6008572142,-0.3279963991427858,-0.9846042162663317,0.8306324282686868,-4.5772702105945875,-5.32822433482094,-0.33713492013786694,-2.920504989111453,0.3333333333333333,1.094699851033206,0.5295102317142334,0.992071881659778,0.12640564942895163,1.2246223652006578,-0.33400343518755593,0.006007036044770153,-0.9859894273786837,0.0013852111123520139,216.8860062503282,425881.3399411651,0.44996999402819504,0.44996999402819504,2020-02-19,2020-03-23,True
