column,feature_group,family,source_column,dtype,non_missing_count,missing_count,overall_coverage,latest_coverage,first_valid_date,last_valid_date
fund__revenue_growth_yoy_missing,fundamental_missing,Growth,revenue_growth_yoy_missing,int8,7550,0,1.0,1.0,2014-01-31,2026-07-27
fund__roa_missing,fundamental_missing,Quality,roa_missing,int8,7550,0,1.0,1.0,2014-01-31,2026-07-27
fund__roe_missing,fundamental_missing,Quality,roe_missing,int8,7550,0,1.0,1.0,2014-01-31,2026-07-27
fund__sales_yield_missing,fundamental_missing,Value,sales_yield_missing,int8,7550,0,1.0,1.0,2014-01-31,2026-07-27
fund__roa_sector_zscore,fundamental_sector,Quality,roa_sector_zscore,float64,6530,1020,0.8649006622516556,0.9,2014-01-31,2026-07-27
fund__net_margin_sector_zscore,fundamental_sector,Quality,net_margin_sector_zscore,float64,6321,1229,0.8372185430463576,0.88,2014-01-31,2026-07-27
fund__book_to_market_sector_zscore,fundamental_sector,Value,book_to_market_sector_zscore,float64,6298,1252,0.8341721854304636,0.86,2014-01-31,2026-07-27
fund__roe_sector_zscore,fundamental_sector,Quality,roe_sector_zscore,float64,6271,1279,0.8305960264900663,0.84,2014-01-31,2026-07-27
fund__earnings_yield_sector_zscore,fundamental_sector,Value,earnings_yield_sector_zscore,float64,6225,1325,0.8245033112582781,0.86,2014-01-31,2026-07-27
fund__asset_growth_yoy_sector_zscore,fundamental_sector,Investment,asset_growth_yoy_sector_zscore,float64,6075,1475,0.804635761589404,0.9,2015-01-30,2026-07-27
fund__sales_yield_sector_zscore,fundamental_sector,Value,sales_yield_sector_zscore,float64,6058,1492,0.8023841059602649,0.84,2014-01-31,2026-07-27
fund__accruals_sector_zscore,fundamental_sector,Accruals,accruals_sector_zscore,float64,6040,1510,0.8,0.9,2014-01-31,2026-07-27
fund__cash_conversion_sector_zscore,fundamental_sector,Quality,cash_conversion_sector_zscore,float64,6040,1510,0.8,0.9,2014-01-31,2026-07-27
fund__net_income_growth_yoy_sector_zscore,fundamental_sector,Growth,net_income_growth_yoy_sector_zscore,float64,5984,1566,0.7925827814569536,0.9,2015-01-30,2026-07-27
fund__revenue_growth_yoy_sector_zscore,fundamental_sector,Growth,revenue_growth_yoy_sector_zscore,float64,5835,1715,0.7728476821192053,0.88,2015-01-30,2026-07-27
fund__current_ratio_sector_zscore,fundamental_sector,Solvency,current_ratio_sector_zscore,float64,5558,1992,0.736158940397351,0.76,2014-01-31,2026-07-27
fund__net_income_growth_acceleration_sector_zscore,fundamental_sector,Growth,net_income_growth_acceleration_sector_zscore,float64,5438,2112,0.7202649006622517,0.9,2016-01-29,2026-07-27
fund__operating_cash_flow_growth_yoy_sector_zscore,fundamental_sector,Growth,operating_cash_flow_growth_yoy_sector_zscore,float64,5364,2186,0.7104635761589404,0.88,2015-01-30,2026-07-27
fund__capex_to_assets_sector_zscore,fundamental_sector,Investment,capex_to_assets_sector_zscore,float64,5356,2194,0.7094039735099338,0.76,2014-01-31,2026-07-27
fund__revenue_growth_acceleration_sector_zscore,fundamental_sector,Growth,revenue_growth_acceleration_sector_zscore,float64,5307,2243,0.7029139072847682,0.88,2016-01-29,2026-07-27
fund__operating_margin_sector_zscore,fundamental_sector,Quality,operating_margin_sector_zscore,float64,4882,2668,0.6466225165562914,0.7,2014-01-31,2026-07-27
fund__operating_cash_flow_growth_acceleration_sector_zscore,fundamental_sector,Growth,operating_cash_flow_growth_acceleration_sector_zscore,float64,4699,2851,0.6223841059602649,0.84,2016-01-29,2026-07-27
fund__fcf_yield_sector_zscore,fundamental_sector,Value,fcf_yield_sector_zscore,float64,4338,3212,0.574569536423841,0.68,2014-01-31,2026-07-27
fund__debt_to_assets_sector_zscore,fundamental_sector,Leverage,debt_to_assets_sector_zscore,float64,3992,3558,0.5287417218543047,0.6,2014-01-31,2026-07-27
fund__net_debt_to_assets_sector_zscore,fundamental_sector,Leverage,net_debt_to_assets_sector_zscore,float64,3992,3558,0.5287417218543047,0.6,2014-01-31,2026-07-27
fund__interest_coverage_sector_zscore,fundamental_sector,Solvency,interest_coverage_sector_zscore,float64,3987,3563,0.5280794701986755,0.56,2014-01-31,2026-07-27
fund__gross_margin_sector_zscore,fundamental_sector,Quality,gross_margin_sector_zscore,float64,2794,4756,0.3700662251655629,0.4,2014-01-31,2026-07-27
fund__gross_profitability_sector_zscore,fundamental_sector,Quality,gross_profitability_sector_zscore,float64,2794,4756,0.3700662251655629,0.4,2014-01-31,2026-07-27
tech__amihud_illiquidity_20d_sector_neutral,technical,Technical,amihud_illiquidity_20d_sector_neutral,float64,7550,0,1.0,1.0,2014-01-31,2026-07-27
tech__average_dollar_volume_20d_sector_neutral,technical,Technical,average_dollar_volume_20d_sector_neutral,float64,7550,0,1.0,1.0,2014-01-31,2026-07-27
tech__return_1w_sector_neutral,technical,Technical,return_1w_sector_neutral,float64,7550,0,1.0,1.0,2014-01-31,2026-07-27
tech__volatility_20d_sector_neutral,technical,Technical,volatility_20d_sector_neutral,float64,7550,0,1.0,1.0,2014-01-31,2026-07-27
tech__return_1m_sector_neutral,technical,Technical,return_1m_sector_neutral,float64,7500,50,0.9933774834437086,1.0,2014-02-28,2026-07-27
tech__reversal_1m_sector_neutral,technical,Technical,reversal_1m_sector_neutral,float64,7500,50,0.9933774834437086,1.0,2014-02-28,2026-07-27
tech__beta_60d_market_sector_neutral,technical,Technical,beta_60d_market_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__distance_sma_50d_sector_neutral,technical,Technical,distance_sma_50d_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__dollar_volume_change_20d_60d_sector_neutral,technical,Technical,dollar_volume_change_20d_60d_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__downside_volatility_60d_sector_neutral,technical,Technical,downside_volatility_60d_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__positive_day_ratio_60d_sector_neutral,technical,Technical,positive_day_ratio_60d_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__volatility_60d_sector_neutral,technical,Technical,volatility_60d_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__zero_volume_ratio_60d_sector_neutral,technical,Technical,zero_volume_ratio_60d_sector_neutral,float64,7450,100,0.9867549668874173,1.0,2014-03-31,2026-07-27
tech__return_3m_sector_neutral,technical,Technical,return_3m_sector_neutral,float64,7400,150,0.9801324503311258,1.0,2014-04-30,2026-07-27
tech__max_drawdown_126d_sector_neutral,technical,Technical,max_drawdown_126d_sector_neutral,float64,7250,300,0.9602649006622517,1.0,2014-07-31,2026-07-27
tech__momentum_6_1_sector_neutral,technical,Technical,momentum_6_1_sector_neutral,float64,7250,300,0.9602649006622517,1.0,2014-07-31,2026-07-27
tech__distance_sma_200d_sector_neutral,technical,Technical,distance_sma_200d_sector_neutral,float64,7100,450,0.9403973509933775,1.0,2014-10-31,2026-07-27
tech__sma_50_200_spread_sector_neutral,technical,Technical,sma_50_200_spread_sector_neutral,float64,7100,450,0.9403973509933775,1.0,2014-10-31,2026-07-27
tech__momentum_12_1_sector_neutral,technical,Technical,momentum_12_1_sector_neutral,float64,6950,600,0.9205298013245033,1.0,2015-01-30,2026-07-27
