as_of_date,sector,companies,mean_percentile_score,top_group_companies,top_group_share
2020-09-30,Health Care,7,0.466472303206997,0,0.0
2020-09-30,Industrials,5,0.363265306122449,0,0.0
2020-09-30,Information Technology,8,0.7423469387755102,4,0.4
2020-09-30,Materials,2,0.3877551020408163,0,0.0
2020-09-30,Real Estate,1,0.8367346938775511,1,0.1
2020-09-30,Utilities,2,0.41836734693877553,0,0.0
2020-10-30,Communication Services,4,0.44387755102040816,0,0.0
2020-10-30,Consumer Discretionary,6,0.5034013605442178,2,0.2
2020-10-30,Consumer Staples,5,0.5183673469387755,2,0.2
2020-10-30,Energy,3,0.29251700680272114,0,0.0
2020-10-30,Financials,7,0.3323615160349855,1,0.1
2020-10-30,Health Care,7,0.5510204081632654,0,0.0
2020-10-30,Industrials,5,0.4408163265306122,0,0.0
2020-10-30,Information Technology,8,0.6964285714285714,4,0.4
2020-10-30,Materials,2,0.4591836734693877,0,0.0
2020-10-30,Real Estate,1,0.8571428571428571,1,0.1
2020-10-30,Utilities,2,0.5,0,0.0
2020-11-30,Communication Services,4,0.5153061224489796,0,0.0
2020-11-30,Consumer Discretionary,6,0.5170068027210885,2,0.2
2020-11-30,Consumer Staples,5,0.40816326530612246,0,0.0
2020-11-30,Energy,3,0.4489795918367347,0,0.0
2020-11-30,Financials,7,0.3760932944606414,1,0.1
2020-11-30,Health Care,7,0.5102040816326531,2,0.2
2020-11-30,Industrials,5,0.3755102040816326,0,0.0
2020-11-30,Information Technology,8,0.7270408163265306,4,0.4
2020-11-30,Materials,2,0.45918367346938777,0,0.0
2020-11-30,Real Estate,1,0.8775510204081632,1,0.1
2020-11-30,Utilities,2,0.37755102040816324,0,0.0
2020-12-31,Communication Services,4,0.596938775510204,1,0.1
2020-12-31,Consumer Discretionary,6,0.5170068027210885,1,0.1
2020-12-31,Consumer Staples,5,0.3142857142857142,0,0.0
2020-12-31,Energy,3,0.6054421768707483,1,0.1
2020-12-31,Financials,7,0.43731778425655976,1,0.1
2020-12-31,Health Care,7,0.43440233236151604,1,0.1
2020-12-31,Industrials,5,0.4612244897959184,1,0.1
2020-12-31,Information Technology,8,0.6147959183673469,3,0.3
2020-12-31,Materials,2,0.3775510204081633,0,0.0
2020-12-31,Real Estate,1,0.7346938775510204,0,0.0
2020-12-31,Utilities,2,0.6530612244897959,1,0.1
2021-01-29,Communication Services,4,0.5459183673469387,1,0.1
2021-01-29,Consumer Discretionary,6,0.5850340136054423,1,0.1
2021-01-29,Consumer Staples,5,0.43265306122448977,0,0.0
2021-01-29,Energy,3,0.5510204081632653,1,0.1
2021-01-29,Financials,7,0.46355685131195334,1,0.1
2021-01-29,Health Care,7,0.45772594752186585,2,0.2
2021-01-29,Industrials,5,0.4326530612244898,1,0.1
2021-01-29,Information Technology,8,0.5331632653061225,2,0.2
2021-01-29,Materials,2,0.41836734693877553,0,0.0
2021-01-29,Real Estate,1,0.6122448979591837,0,0.0
2021-01-29,Utilities,2,0.5816326530612245,1,0.1
2021-02-26,Communication Services,4,0.596938775510204,0,0.0
2021-02-26,Consumer Discretionary,6,0.43877551020408173,1,0.1
2021-02-26,Consumer Staples,5,0.40816326530612246,0,0.0
2021-02-26,Energy,3,0.5510204081632653,1,0.1
2021-02-26,Financials,7,0.5481049562682215,1,0.1
2021-02-26,Health Care,7,0.4460641399416909,2,0.2
2021-02-26,Industrials,5,0.4,1,0.1
2021-02-26,Information Technology,8,0.6224489795918366,3,0.3
2021-02-26,Materials,2,0.4897959183673469,1,0.1
2021-02-26,Real Estate,1,0.4897959183673469,0,0.0
2021-02-26,Utilities,2,0.4387755102040816,0,0.0
2021-03-31,Communication Services,4,0.5408163265306123,1,0.1
2021-03-31,Consumer Discretionary,6,0.5136054421768707,1,0.1
2021-03-31,Consumer Staples,5,0.37142857142857144,0,0.0
2021-03-31,Energy,3,0.54421768707483,1,0.1
2021-03-31,Financials,7,0.5481049562682215,2,0.2
2021-03-31,Health Care,7,0.3965014577259475,1,0.1
2021-03-31,Industrials,5,0.42040816326530617,0,0.0
2021-03-31,Information Technology,8,0.6096938775510204,4,0.4
2021-03-31,Materials,2,0.3979591836734694,0,0.0
2021-03-31,Real Estate,1,0.7755102040816326,0,0.0
2021-03-31,Utilities,2,0.5510204081632653,0,0.0
2021-04-30,Communication Services,4,0.6071428571428571,1,0.1
2021-04-30,Consumer Discretionary,6,0.5204081632653061,2,0.2
2021-04-30,Consumer Staples,5,0.2408163265306123,0,0.0
2021-04-30,Energy,3,0.5578231292517007,1,0.1
2021-04-30,Financials,7,0.5276967930029154,2,0.2
2021-04-30,Health Care,7,0.48396501457725943,0,0.0
2021-04-30,Industrials,5,0.43673469387755104,0,0.0
2021-04-30,Information Technology,8,0.6403061224489797,4,0.4
2021-04-30,Materials,2,0.3979591836734694,0,0.0
2021-04-30,Real Estate,1,0.4489795918367347,0,0.0
2021-04-30,Utilities,2,0.4693877551020408,0,0.0
2021-05-28,Communication Services,4,0.6989795918367347,1,0.1
2021-05-28,Consumer Discretionary,6,0.5476190476190477,2,0.2
2021-05-28,Consumer Staples,5,0.43265306122448977,0,0.0
2021-05-28,Energy,3,0.49659863945578225,1,0.1
2021-05-28,Financials,7,0.44023323615160354,1,0.1
2021-05-28,Health Care,7,0.4227405247813411,0,0.0
2021-05-28,Industrials,5,0.40816326530612246,0,0.0
2021-05-28,Information Technology,8,0.6045918367346939,4,0.4
2021-05-28,Materials,2,0.3673469387755102,0,0.0
