signal,months,mean_ic,median_ic,std_ic,ic_ir,annualized_ic_ir,ic_t_stat,positive_month_ratio,abs_mean_ic,preferred_direction
amihud_illiquidity_20d_sector_neutral,72,0.03146191810057356,0.01027611044417767,0.16664487085307617,0.18879619840392342,0.6540092158228991,1.601988865843861,0.5694444444444444,0.03146191810057356,higher_is_better
reversal_1m_sector_neutral,71,0.03030823597044451,0.020312124849939977,0.15622961427984833,0.1939980208627699,0.672028857404249,1.6346563794894913,0.5633802816901409,0.03030823597044451,higher_is_better
return_1m_sector_neutral,71,-0.03030823597044451,-0.020312124849939977,0.15622961427984833,-0.1939980208627699,-0.672028857404249,-1.6346563794894913,0.43661971830985913,0.03030823597044451,lower_is_better
volatility_60d_sector_neutral,70,0.022079231692677066,0.019255702280912362,0.17890206441111842,0.12341518676910743,0.42752274781939265,1.032565534369493,0.5285714285714286,0.022079231692677066,higher_is_better
distance_sma_50d_sector_neutral,70,-0.021385011147316068,-0.019255702280912362,0.15352735328520395,-0.1392912122153872,-0.48251891320981855,-1.165393893080894,0.45714285714285713,0.021385011147316068,lower_is_better
beta_60d_market_sector_neutral,70,0.021055736580346422,0.02799519807923169,0.17057622668886852,0.12343886946656489,0.42760478708990585,1.0327636780323246,0.5428571428571428,0.021055736580346422,higher_is_better
return_3m_sector_neutral,69,0.018594568262087448,0.04345738295318128,0.15949213248025693,0.11658611602292807,0.40386615281766275,0.9684370134409895,0.6086956521739131,0.018594568262087448,higher_is_better
distance_sma_200d_sector_neutral,63,0.016828826768802763,0.03692677070828331,0.19899643214697355,0.08456848490817882,0.29295382516017504,0.6712415394616805,0.5714285714285714,0.016828826768802763,higher_is_better
max_drawdown_126d_sector_neutral,66,-0.016723780421259413,-0.020936374549819926,0.19326580506877586,-0.08653253696538848,-0.2997575010637697,-0.7029936535573971,0.45454545454545453,0.016723780421259413,lower_is_better
sma_50_200_spread_sector_neutral,63,0.014086396463347249,-0.015126050420168066,0.2135297903677039,0.0659692328601555,0.2285241261002633,0.5236145529890451,0.47619047619047616,0.014086396463347249,higher_is_better
volatility_20d_sector_neutral,72,0.01297318927571028,0.0006722689075630252,0.16234936036528283,0.07990908770149055,0.2768131997709179,0.6780510935058541,0.5138888888888888,0.01297318927571028,higher_is_better
momentum_6_1_sector_neutral,66,0.011355815053294046,-0.015174069627851141,0.2070810640689509,0.05483753478064488,0.1899627928038047,0.4455022385735193,0.45454545454545453,0.011355815053294046,higher_is_better
average_dollar_volume_20d_sector_neutral,72,-0.010516206482593037,-0.01752701080432173,0.1604763085132,-0.06553120881222181,-0.227006766288347,-0.5560507455656841,0.4722222222222222,0.010516206482593037,lower_is_better
return_1w_sector_neutral,72,-0.010237428304655192,-0.022232893157262904,0.14006659609700745,-0.07308972010403497,-0.25319021746235393,-0.6201868406470782,0.4444444444444444,0.010237428304655192,lower_is_better
downside_volatility_60d_sector_neutral,70,0.009441948207854569,0.00312124849939976,0.1738349071531784,0.054315605320481415,0.18815477611786446,0.45443695788648353,0.5142857142857142,0.009441948207854569,higher_is_better
dollar_volume_change_20d_60d_sector_neutral,70,-0.0019084205110615692,-0.007250900360144058,0.13364696965820216,-0.014279564407201252,-0.04946586212644945,-0.1194714073582404,0.4714285714285714,0.0019084205110615692,lower_is_better
momentum_12_1_sector_neutral,60,-0.0013429371748699464,-0.015174069627851141,0.20117657191666635,-0.006675415343225121,-0.02312431707218149,-0.05170754490665672,0.45,0.0013429371748699464,lower_is_better
positive_day_ratio_60d_sector_neutral,70,-5.935837586531291e-05,0.005931528307854628,0.17535148647069726,-0.00033851082223492986,-0.0011726358860456299,-0.0028321847351314815,0.5285714285714286,5.935837586531291e-05,lower_is_better
zero_volume_ratio_60d_sector_neutral,0,,,,,,,,,lower_is_better
