as_of_date,method,positions,weight_sum,maximum_weight,minimum_positive_weight,maximum_sector_weight,concentration_hhi,effective_positions,one_way_turnover,two_way_turnover
2020-01-31,score_weighted,25,1.0,0.05000000000000002,0.02624201195629767,0.24186765615337044,0.04140260721893375,24.15306830103907,,
2020-02-28,score_weighted,25,0.9999999999999999,0.05000000000000002,0.02851351351351351,0.25000000000000006,0.0411445215485756,24.30457233095762,0.2449550385264671,0.4899100770529342
2020-03-31,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.2077886977886978,0.041375825087987254,24.16870232493158,0.3321007371007371,0.6642014742014742
2020-04-30,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.24480343980343983,0.041375825087987254,24.16870232493158,0.2513022113022113,0.5026044226044226
2020-05-29,score_weighted,25,1.0,0.05000000000000002,0.028018018018018013,0.2500000000000001,0.04123782566350135,24.249581152991706,0.20219901719901723,0.40439803439803446
2020-06-30,score_weighted,25,1.0,0.05000000000000002,0.026583242655059836,0.25000000000000006,0.041476420590105395,24.110084374989672,0.34517552372829857,0.6903510474565971
2020-07-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2404791154791155,0.04137582508798726,24.168702324931576,0.2728343399290081,0.5456686798580161
2020-08-31,score_weighted,25,1.0,0.050000000000000024,0.027441441441441426,0.2500000000000001,0.041351271000730466,24.183053526512765,0.19464209664209672,0.38928419328419345
2020-09-30,score_weighted,25,1.0,0.05,0.026679306608884068,0.25,0.041359387049859794,24.178308029431737,0.2990317023415615,0.598063404683123
2020-10-30,score_weighted,25,1.0,0.05000000000000002,0.028314785373608906,0.25000000000000006,0.04122559976510693,24.256772629088424,0.24277772993183103,0.48555545986366205
2020-11-30,score_weighted,25,0.9999999999999999,0.05000000000000001,0.028648648648648647,0.25,0.04112699050401754,24.31493254781951,0.1964546899841018,0.3929093799682036
2020-12-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2185995085995086,0.04137582508798726,24.168702324931576,0.28431203931203936,0.5686240786240787
2021-01-29,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.16644963144963146,0.04137582508798726,24.168702324931576,0.17726044226044227,0.35452088452088454
2021-02-26,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.21535626535626537,0.04137582508798726,24.168702324931576,0.2774938574938576,0.5549877149877152
2021-03-31,score_weighted,25,0.9999999999999999,0.04998755568716764,0.02728725906619007,0.22399607480633357,0.04137469755571143,24.16936096399231,0.2056405354064165,0.411281070812833
2021-04-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2229115479115479,0.04137582508798726,24.168702324931576,0.22185680186978993,0.44371360373957985
2021-05-28,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.19131449631449632,0.041375825087987254,24.16870232493158,0.3088452088452089,0.6176904176904178
2021-06-30,score_weighted,25,1.0,0.05,0.028378378378378376,0.25,0.04118718042366691,24.27939931099002,0.3613104013104014,0.7226208026208027
2021-07-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.23831695331695332,0.041375825087987254,24.16870232493158,0.10945945945945948,0.21891891891891896
2021-08-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.24154791154791155,0.04137582508798726,24.168702324931576,0.2718304668304669,0.5436609336609338
2021-09-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2023832923832924,0.041375825087987254,24.16870232493158,0.18915233415233418,0.37830466830466836
2021-10-29,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.2077886977886978,0.041375825087987254,24.16870232493158,0.28830466830466833,0.5766093366093367
2021-11-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.233980343980344,0.041375825087987254,24.16870232493158,0.227002457002457,0.454004914004914
2021-12-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.20669533169533172,0.04137582508798726,24.168702324931576,0.1805036855036855,0.361007371007371
2022-01-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.22641277641277643,0.04137582508798726,24.168702324931576,0.22400491400491399,0.44800982800982797
2022-02-28,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.19481572481572482,0.041375825087987254,24.16870232493158,0.22294840294840299,0.44589680589680597
2022-03-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.24695331695331696,0.041375825087987254,24.16870232493158,0.33938574938574945,0.6787714987714989
2022-04-29,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.21535626535626537,0.04137582508798726,24.168702324931576,0.187014742014742,0.374029484029484
2022-05-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2142751842751843,0.04137582508798726,24.168702324931576,0.22616707616707615,0.4523341523341523
2022-06-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.16753071253071256,0.04137582508798727,24.168702324931573,0.22076167076167078,0.44152334152334155
2022-07-29,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.18482800982800984,0.041375825087987254,24.16870232493158,0.2915479115479116,0.5830958230958232
2022-08-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.17750614250614252,0.04137524071983532,24.169043674484275,0.34316953316953325,0.6863390663390665
2022-09-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.16211302211302211,0.041375825087987254,24.16870232493158,0.2696683046683046,0.5393366093366092
2022-10-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.16753071253071256,0.04137524071983533,24.169043674484268,0.20374692874692876,0.4074938574938575
2022-11-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.1772727272727273,0.04137582508798725,24.168702324931584,0.2767199017199018,0.5534398034398036
2022-12-30,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.15886977886977888,0.041375825087987254,24.16870232493158,0.22619164619164622,0.45238329238329245
2023-01-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.1478132678132678,0.041375825087987254,24.16870232493158,0.2750737100737101,0.5501474201474202
2023-02-28,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.1750859950859951,0.041375825087987254,24.16870232493158,0.29696560196560196,0.5939312039312039
2023-03-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.20130221130221132,0.041375825087987254,24.16870232493158,0.32183046683046684,0.6436609336609337
2023-04-28,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.20562653562653566,0.041375825087987254,24.16870232493158,0.18267813267813268,0.36535626535626536
2023-05-31,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.1772604422604423,0.04137582508798726,24.168702324931576,0.2991277641277642,0.5982555282555284
2023-06-30,score_weighted,25,1.0,0.04998696113978159,0.027287514644797124,0.19697817969459874,0.041374579124645136,24.16943014664628,0.19348550587890986,0.3869710117578197
2023-07-31,score_weighted,25,0.9999999999999998,0.04998824107234189,0.027287038985631572,0.22507782296551126,0.04137481472578427,24.169292518349636,0.19238011417076314,0.3847602283415263
2023-08-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.23939803439803442,0.04137582508798726,24.168702324931576,0.27209925329433593,0.5441985065886719
2023-09-29,score_weighted,25,1.0000000000000002,0.04999221845588253,0.027286675474977568,0.22508174822992288,0.041374997644209405,24.169185666164115,0.25130529367653803,0.5026105873530761
2023-10-31,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2077764127764128,0.04137582508798726,24.168702324931576,0.33371635347584544,0.6674327069516909
2023-11-30,score_weighted,25,1.0000000000000002,0.05000000000000002,0.026280761492029098,0.2443584584429655,0.04142675035126168,24.138992113088698,0.31318528255147976,0.6263705651029595
2023-12-29,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.2077886977886978,0.04137582508798725,24.168702324931584,0.17063614345304487,0.34127228690608974
2024-01-31,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.23614250614250615,0.041375825087987254,24.16870232493158,0.18592137592137592,0.37184275184275184
2024-02-29,score_weighted,25,1.0,0.05000000000000002,0.026280761492029098,0.247376567094877,0.04142675035126167,24.1389921130887,0.16305149741769465,0.3261029948353893
2024-03-28,score_weighted,25,1.0,0.05000000000000001,0.02728501228501229,0.20130221130221132,0.04137582508798726,24.168702324931576,0.18336050131824785,0.3667210026364957
2024-04-30,score_weighted,25,1.0000000000000002,0.05000000000000001,0.02728501228501229,0.18915233415233418,0.04137582508798726,24.168702324931576,0.29130221130221134,0.5826044226044227
