window_months,window_number,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover,window_start,window_end
12,1,alpha_risk_turnover,2020-02-03,2021-01-29,251,1000000.0,1276961.101425107,0.276961101425107,0.27820551386694703,0.3633714981824722,0.8594662281460889,1.1699344215127891,-0.3417954255229526,0.8139532980621026,0.5936254980079682,1.0579096606507532,0.08955818919960998,0.9796882489248179,0.07542640102911612,1.349014551253963,0.16527756343539535,0.11168353798971165,0.16598789958443505,0.11221761428251198,3595.900115774778,6927040.945958095,6.6659124199772775,0.5554927016647732,2020-02-03,2021-01-29
12,1,cvar,2020-02-03,2021-01-29,251,1000000.0,1312796.0809090796,0.31279608090907973,0.3142203175817577,0.3497954371439348,0.9581114970204087,1.3092046740531031,-0.32628748886586467,0.9630167514971201,0.601593625498008,1.0179602271667951,0.12080720991741488,0.9792799103399528,0.07109490399265646,1.7524295626598554,0.16527756343539535,0.14751851747368439,0.16598789958443505,0.14823241799732267,3567.7405408725062,6884722.581361303,6.525432264219294,0.5437860220182745,2020-02-03,2021-01-29
12,1,median_mad_de,2020-02-03,2021-01-29,251,1000000.0,1275085.55211128,0.27508555211127983,0.27632066273754097,0.35630787260219854,0.8646400627318812,1.1940910345495264,-0.3273252082835365,0.8441777649406879,0.5896414342629482,1.037661334813656,0.08959408998053293,0.97998717359332,0.07205019907232801,1.3535541074500008,0.16527756343539535,0.10980798867588448,0.16598789958443505,0.11033276315310592,4344.4376765897,8380797.754770483,8.058914590387877,0.6715762158656564,2020-02-03,2021-01-29
12,1,score_weighted,2020-02-03,2021-01-29,251,1000000.0,1336404.2984125954,0.33640429841259545,0.33794915101906176,0.3726691280743075,0.9697983957951074,1.3294169334270296,-0.3434979632110362,0.9838461569317504,0.5936254980079682,1.088186815100643,0.1322915982185228,0.9825851981066119,0.075337330741687,2.002456188212948,0.16527756343539535,0.1711267349772001,0.16598789958443505,0.1719612514346267,3867.659751114469,7490778.549244644,7.0318166909907145,0.5859847242492262,2020-02-03,2021-01-29
12,1,top_n_equal_weight,2020-02-03,2021-01-29,251,1000000.0,1319725.2181593955,0.3197252181593955,0.3211846813400536,0.3662418741254972,0.9456283267661404,1.301274802693373,-0.3371349201378667,0.9526888558702538,0.5976095617529881,1.0723588236968378,0.12053901662990066,0.9852859893831262,0.06716477651451482,2.021513049625933,0.16527756343539535,0.15444765472400013,0.16598789958443505,0.15519678175561857,3627.569116695581,7011484.276538938,6.647115721339827,0.5539263101116524,2020-02-03,2021-01-29
12,2,alpha_risk_turnover,2020-03-02,2021-02-26,251,1000000.0,1393621.9862496534,0.3936219862496535,0.39546604044205047,0.3561052406890525,1.11632874429038,1.5375057015388525,-0.2851532917190547,1.3868542006230131,0.601593625498008,1.0535310647923615,0.055373651445874805,0.9800896770113456,0.07289658503516953,0.998112814836689,0.3078477378076854,0.08577424844196813,0.3092469075705184,0.08621913287153204,3377.4894571432887,6491893.215290874,6.104126789281829,0.5086772324401524,2020-03-02,2021-02-26
12,2,cvar,2020-03-02,2021-02-26,251,1000000.0,1432015.140863193,0.4320151408631929,0.4340652594806933,0.3436086269863472,1.2233362268552999,1.6934772122038237,-0.2721287395861499,1.5950732000626413,0.6095617529880478,1.014622361464045,0.09082845448679253,0.9782215017628895,0.07148499849589073,1.3370271073825926,0.3078477378076854,0.12416740305550755,0.3092469075705184,0.12481835191017487,3362.7343316087317,6473736.619908433,5.97013169030874,0.49751097419239504,2020-03-02,2021-02-26
12,2,median_mad_de,2020-03-02,2021-02-26,251,1000000.0,1385722.4117569383,0.3857224117569382,0.3875245889442971,0.3479832515301231,1.117126958081755,1.5647758955733806,-0.26708352987197614,1.4509490313013804,0.5976095617529881,1.030341015550851,0.05411607360613921,0.9808881338916862,0.06844999287910127,0.93455043693039,0.3078477378076854,0.07787467394925285,0.3092469075705184,0.07827768137377866,4212.891585613555,8109270.540797703,7.625594588398054,0.6354662156998379,2020-03-02,2021-02-26
12,2,score_weighted,2020-03-02,2021-02-26,251,1000000.0,1478847.5261299303,0.4788475261299303,0.4811545765729113,0.365482579687504,1.2601100968627483,1.7499369680278654,-0.2822465215611675,1.704731643499235,0.601593625498008,1.0840826961200254,0.10846912501513913,0.9826357599250904,0.07331146119843086,1.8520540469376894,0.3078477378076854,0.17099978832224494,0.3092469075705184,0.17190766900239285,3616.0954886015597,6994379.723618086,6.4053227978880365,0.533776899824003,2020-03-02,2021-02-26
12,2,top_n_equal_weight,2020-03-02,2021-02-26,251,1000000.0,1468056.289486977,0.4680562894869771,0.4703036033184911,0.35889205193305107,1.2558355320524814,1.7528754234027648,-0.27484939447450074,1.7111320336640716,0.6055776892430279,1.0675058611356503,0.10401391068350838,0.9853789076412238,0.06510824460813855,1.9342848398773942,0.3078477378076854,0.1602085516792917,0.3092469075705184,0.16105669574797266,3366.507329116808,6493202.823871202,6.009030765423404,0.5007525637852835,2020-03-02,2021-02-26
12,3,alpha_risk_turnover,2020-04-01,2021-03-31,252,1000000.0,1655101.5242933307,0.6551015242933307,0.6551015242933307,0.22052938037080308,2.396929918943162,3.616451243707831,-0.08850582658526507,7.401789798123817,0.6111111111111112,1.0163187229645902,0.05265878689939055,0.9621215320168928,0.06021736899352989,1.0013842758770268,0.5623114084741883,0.09279011581914243,0.5623114084741883,0.09279011581914243,3564.8305847418696,6838828.724164128,6.215017234135752,0.517918102844646,2020-04-01,2021-03-31
12,3,cvar,2020-04-01,2021-03-31,252,1000000.0,1643300.6456583524,0.6433006456583523,0.6433006456583523,0.22212385120045974,2.349125127971992,3.5068189251597737,-0.09152435542749404,7.028737243257371,0.6190476190476191,1.011024214049385,0.04834141756423631,0.9502389485373478,0.06923472508361855,0.7727910660484737,0.5623114084741883,0.08098923718416406,0.5623114084741883,0.08098923718416406,3605.0369989126725,6926150.072102955,6.169334670354848,0.5141112225295706,2020-04-01,2021-03-31
12,3,median_mad_de,2020-04-01,2021-03-31,252,1000000.0,1588632.1537910204,0.5886321537910204,0.5886321537910204,0.21677682423405875,2.2451411411893476,3.4053112772912857,-0.08202121397702378,7.176584267039881,0.6111111111111112,0.9983373447838118,0.019180432544758652,0.9614593615690344,0.05960316528466507,0.30873902559370625,0.5623114084741883,0.02632074531683215,0.5623114084741883,0.02632074531683215,4489.636520798818,8627386.238900214,7.8874917138412854,0.6572909761534405,2020-04-01,2021-03-31
12,3,score_weighted,2020-04-01,2021-03-31,252,1000000.0,1736836.9707158725,0.7368369707158724,0.7368369707158724,0.23306965096611781,2.487485624746172,3.7446277119706575,-0.09213867945005494,7.997042882683002,0.6111111111111112,1.0792276126052278,0.07436294691314302,0.9667046055763638,0.06189240857950414,1.8009424019696114,0.5623114084741883,0.17452556224168414,0.5623114084741883,0.17452556224168414,3826.1068898674325,7387386.0772580085,6.517230880343007,0.5431025733619173,2020-04-01,2021-03-31
12,3,top_n_equal_weight,2020-04-01,2021-03-31,252,1000000.0,1714290.4703381252,0.7142904703381252,0.7142904703381252,0.22732230068532888,2.486953415859917,3.755733314304946,-0.0882432665814824,8.094560616458605,0.6150793650793651,1.0583487273995222,0.06972294319235928,0.9719707912525549,0.05481451982308299,1.7704657293682433,0.5623114084741883,0.15197906186393695,0.5623114084741883,0.15197906186393695,3606.4252983402753,6943740.023317965,6.190240538207737,0.5158533781839781,2020-04-01,2021-03-31
12,4,alpha_risk_turnover,2020-05-01,2021-04-30,252,1000000.0,1491557.164257211,0.49155716425721097,0.49155716425721097,0.18709329960155338,2.2324481760878574,3.143684942414878,-0.08850582658526518,5.55395258394262,0.6190476190476191,1.0083003882441095,0.020365269652683878,0.950057431608494,0.05840549508881808,0.4046871918415548,0.459625633216346,0.03193153104086499,0.459625633216346,0.03193153104086499,3677.9420202182073,7058512.948763543,6.121556336184238,0.5101296946820199,2020-05-01,2021-04-30
12,4,cvar,2020-05-01,2021-04-30,252,1000000.0,1486959.5556293272,0.48695955562932713,0.48695955562932713,0.19110377956965724,2.1733826350088052,3.059715454013209,-0.09152435542749393,5.320546136105804,0.6150793650793651,1.013763634174048,0.015878072010960885,0.9351592868010692,0.06773767964769083,0.3144704166705591,0.459625633216346,0.02733392241298116,0.459625633216346,0.02733392241298116,3571.725125507424,6854858.862761865,5.768666600980071,0.4807222167483393,2020-05-01,2021-04-30
12,4,median_mad_de,2020-05-01,2021-04-30,252,1000000.0,1450248.9379566784,0.45024893795667853,0.45024893795667853,0.18134459657395538,2.1422083718227816,3.03858559420733,-0.08202121397702344,5.489420555062822,0.6111111111111112,0.9795885131893896,0.002480718420897969,0.9522636871089164,0.05547709717907462,-0.10026167509505578,0.459625633216346,-0.009376695259667445,0.459625633216346,-0.009376695259667445,4500.057764755554,8648445.774652919,7.492883841011368,0.6244069867509473,2020-05-01,2021-04-30
12,4,score_weighted,2020-05-01,2021-04-30,252,1000000.0,1556935.6325143457,0.5569356325143457,0.5569356325143457,0.1983953033872909,2.332899257658443,3.2975951330619475,-0.0921386794500546,6.044536733525061,0.6190476190476191,1.0765019264819153,0.03865128654194458,0.9565365818513344,0.059405590027422524,1.1580747923762338,0.459625633216346,0.09730999929799977,0.459625633216346,0.09730999929799977,3853.883228461301,7442022.654273834,6.234974058663579,0.5195811715552983,2020-05-01,2021-04-30
12,4,top_n_equal_weight,2020-05-01,2021-04-30,252,1000000.0,1539049.7404020287,0.5390497404020287,0.5390497404020287,0.19288461059938167,2.333939838128054,3.302561248075757,-0.08824326658148218,6.108678444085932,0.6190476190476191,1.0547089239324596,0.034583425154683406,0.9639471006083516,0.05222369549036306,1.075008894993576,0.459625633216346,0.07942410718568271,0.459625633216346,0.07942410718568271,3623.9723251196947,6978266.884325077,5.886774323088026,0.49056452692400215,2020-05-01,2021-04-30
12,5,alpha_risk_turnover,2020-06-01,2021-05-28,252,1000000.0,1454846.9708036473,0.45484697080364733,0.45484697080364733,0.17970385469021122,2.177824886849388,3.0535347722820547,-0.08850582658526507,5.1391754458725405,0.6150793650793651,1.005970266168471,0.03641902724885199,0.9495975597771741,0.056341166707491064,0.6837906641787089,0.40239232241382394,0.05245464838982339,0.40239232241382394,0.05245464838982339,3641.385069489974,6987729.850100759,5.859202461142928,0.48826687176191075,2020-06-01,2021-05-28
12,5,cvar,2020-06-01,2021-05-28,252,1000000.0,1439648.0398236604,0.4396480398236604,0.4396480398236604,0.18566146826406638,2.057140727545593,2.8876836518919466,-0.09152435542749393,4.803617985290832,0.6071428571428571,1.0217811948167606,0.021408572283048734,0.9335723131669903,0.06664154894531368,0.4365715557153331,0.40239232241382394,0.037255717409836464,0.40239232241382394,0.037255717409836464,3558.728971985047,6833131.36171189,5.564853444950265,0.4637377870791888,2020-06-01,2021-05-28
12,5,median_mad_de,2020-06-01,2021-05-28,252,1000000.0,1424198.0173472501,0.42419801734725016,0.42419801734725016,0.17313179453211688,2.1306232040503406,2.9901451034212836,-0.08202121397702311,5.171808569744923,0.6150793650793651,0.9692375061034464,0.026894831274937445,0.9496536011284166,0.05449294371308314,0.2943620676811316,0.40239232241382394,0.021805694933426212,0.40239232241382394,0.021805694933426212,4591.904567943096,8835471.874954462,7.383230118241485,0.6152691765201238,2020-06-01,2021-05-28
12,5,score_weighted,2020-06-01,2021-05-28,252,1000000.0,1505506.9028394509,0.5055069028394508,0.5055069028394508,0.18947364056740298,2.25606883591138,3.158362132784202,-0.09213867945005494,5.486370174357316,0.6190476190476191,1.0655924096841585,0.05148412027262881,0.9540127020314818,0.05787738638937401,1.2894088203143876,0.40239232241382394,0.10311458042562682,0.40239232241382394,0.10311458042562682,3953.2974967385244,7639095.328912835,6.168449084679874,0.5140374237233228,2020-06-01,2021-05-28
12,5,top_n_equal_weight,2020-06-01,2021-05-28,252,1000000.0,1496165.7180070502,0.4961657180070502,0.4961657180070502,0.18413456436591719,2.2821980710485765,3.1994819534422585,-0.0882432665814824,5.622703433682374,0.6190476190476191,1.0444504894645685,0.05170976423959576,0.9621978399701505,0.05071301674316375,1.3289208320418369,0.40239232241382394,0.09377339559322628,0.40239232241382394,0.09377339559322628,3704.400886160366,7138293.096454304,5.800602834763508,0.48338356956362555,2020-06-01,2021-05-28
