strategy_name,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,beta_vs_spy,annualized_alpha_vs_spy,excess_cagr,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,mean_positions,maximum_weight,maximum_sector_weight,mean_effective_positions,construction_one_way_turnover,mean_predicted_alpha_proxy,mean_predicted_volatility,optimizer_mean_one_way_turnover,optimizer_maximum_weight,optimizer_maximum_sector_weight,effective_cost_bps,experiment,is_controlled_baseline,configured_sector_cap,configured_turnover_penalty,baseline_cagr,baseline_sharpe,baseline_turnover,cagr_difference_vs_controlled,sharpe_difference_vs_controlled,turnover_difference_vs_controlled
score_weighted_sector_controlled,4040172.810593051,3.0401728105930506,0.24427041052235543,0.22443769293454915,1.086881074531349,1.5551819576923949,-0.3434979632110363,1.0622843768589336,0.06723092754170845,0.08772851787318614,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,25.0,0.050000000000000024,0.2500000000000001,24.17602535713524,0.23322462313972261,,,,,,5.137560251600228,sector_control,True,0.25,,0.24427041052235543,1.086881074531349,0.259020939917959,0.0,0.0,0.0
score_weighted_no_sector_control,4044294.6042750236,3.0442946042750236,0.24446901496699192,0.22462525579097928,1.0868768803006241,1.5550872909392466,-0.3420404447866764,1.0631583893379621,0.06728845594731042,0.08792712231782263,42149.33963937591,82039852.05616765,0.5050924315588217,0.2591628505014501,25.0,0.05000000000000001,0.2915601965601966,24.1687156242648,0.23337773179878446,,,,,,5.137666461236284,sector_control,False,1.0,,0.24427041052235543,1.086881074531349,0.259020939917959,0.0001986044446364854,-4.194230724952064e-06,0.00014191058349111163
alpha_risk_turnover_penalized,3445326.3420354966,2.4453263420354965,0.21363538681156768,0.2143949660819117,1.0111812372990157,1.4399037850845982,-0.3417954255229525,1.0032904653394021,0.04989938143597485,0.057093494162398395,39028.737777649,75656641.48262064,0.5105777139829167,0.2619074396770168,21.4025974025974,0.04999900203808406,0.24999900099597241,20.424987213629198,0.2270736739326124,0.02852733168402174,0.19023554087634498,0.2270736739326124,0.04999900203808406,0.24999900099597241,5.158666445247167,turnover_penalty,True,0.25,0.01,0.21363538681156768,1.0111812372990157,0.2619074396770168,0.0,0.0,0.0
alpha_risk_turnover_no_penalty,3346910.3466440653,2.3469103466440653,0.2081426154272954,0.21395665547523096,0.991551926704865,1.4121074737269141,-0.34557095967218776,1.0021808921201636,0.045440920766604546,0.05160072277812611,46739.98602349362,90623016.26068501,0.6075437222511014,0.3104154347460737,21.454545454545453,0.04999900198459974,0.24999900035216027,20.42691945382772,0.2782958934429009,0.028597112548297783,0.1892980889266304,0.2782958934429009,0.04999900198459974,0.24999900035216027,5.157628597247522,turnover_penalty,False,0.25,0.0,0.21363538681156768,1.0111812372990157,0.2619074396770168,-0.005492771384272288,-0.01962931059415063,0.0485079950690569
