signal,sector,months,mean_ic,median_ic,preferred_direction,directional_mean_ic,directional_month_ratio
amihud_illiquidity_20d_sector_neutral,Communication Services,72,0.008333333333333316,0.09999999999999999,higher_is_better,0.008333333333333316,0.5
amihud_illiquidity_20d_sector_neutral,Consumer Discretionary,72,0.006349206349206333,-0.028571428571428574,higher_is_better,0.006349206349206333,0.4583333333333333
amihud_illiquidity_20d_sector_neutral,Consumer Staples,72,0.06805555555555555,0.049999999999999996,higher_is_better,0.06805555555555555,0.5
amihud_illiquidity_20d_sector_neutral,Energy,72,-0.013888888888888888,-0.5,higher_is_better,-0.013888888888888888,0.4861111111111111
amihud_illiquidity_20d_sector_neutral,Financials,72,0.031746031746031744,0.14285714285714288,higher_is_better,0.031746031746031744,0.5555555555555556
amihud_illiquidity_20d_sector_neutral,Health Care,72,0.09077380952380955,0.1785714285714286,higher_is_better,0.09077380952380955,0.5833333333333334
amihud_illiquidity_20d_sector_neutral,Industrials,72,0.00555555555555556,-0.049999999999999996,higher_is_better,0.00555555555555556,0.4722222222222222
amihud_illiquidity_20d_sector_neutral,Information Technology,72,0.008597883597883601,-0.011904761904761908,higher_is_better,0.008597883597883601,0.4861111111111111
average_dollar_volume_20d_sector_neutral,Communication Services,72,0.06388888888888888,0.19999999999999998,lower_is_better,-0.06388888888888888,0.375
average_dollar_volume_20d_sector_neutral,Consumer Discretionary,72,-0.0015873015873015817,0.028571428571428574,lower_is_better,0.0015873015873015817,0.4583333333333333
average_dollar_volume_20d_sector_neutral,Consumer Staples,72,-0.07083333333333333,-0.09999999999999999,lower_is_better,0.07083333333333333,0.5138888888888888
average_dollar_volume_20d_sector_neutral,Energy,72,0.013888888888888888,0.5,lower_is_better,-0.013888888888888888,0.4722222222222222
average_dollar_volume_20d_sector_neutral,Financials,72,-0.04117063492063492,-0.14285714285714288,lower_is_better,0.04117063492063492,0.5555555555555556
average_dollar_volume_20d_sector_neutral,Health Care,72,-0.05753968253968254,-0.07142857142857144,lower_is_better,0.05753968253968254,0.5555555555555556
average_dollar_volume_20d_sector_neutral,Industrials,72,-0.034722222222222224,-0.09999999999999999,lower_is_better,0.034722222222222224,0.5694444444444444
average_dollar_volume_20d_sector_neutral,Information Technology,72,0.009259259259259267,0.08333333333333334,lower_is_better,-0.009259259259259267,0.4583333333333333
beta_60d_market_sector_neutral,Communication Services,70,0.15428571428571433,0.19999999999999998,higher_is_better,0.15428571428571433,0.5428571428571428
beta_60d_market_sector_neutral,Consumer Discretionary,70,0.017142857142857144,-0.028571428571428574,higher_is_better,0.017142857142857144,0.4714285714285714
beta_60d_market_sector_neutral,Consumer Staples,70,0.0457142857142857,0.09999999999999999,higher_is_better,0.0457142857142857,0.5285714285714286
beta_60d_market_sector_neutral,Energy,70,-0.15714285714285714,-0.5,higher_is_better,-0.15714285714285714,0.38571428571428573
beta_60d_market_sector_neutral,Financials,70,0.04336734693877553,0.03571428571428572,higher_is_better,0.04336734693877553,0.5
beta_60d_market_sector_neutral,Health Care,70,0.022959183673469392,0.053571428571428575,higher_is_better,0.022959183673469392,0.5285714285714286
beta_60d_market_sector_neutral,Industrials,70,-0.04285714285714284,-0.049999999999999996,higher_is_better,-0.04285714285714284,0.42857142857142855
beta_60d_market_sector_neutral,Information Technology,70,0.09931972789115646,0.14285714285714288,higher_is_better,0.09931972789115646,0.6285714285714286
distance_sma_200d_sector_neutral,Communication Services,63,-0.02539682539682542,-0.19999999999999998,higher_is_better,-0.02539682539682542,0.4444444444444444
distance_sma_200d_sector_neutral,Consumer Discretionary,63,-0.03038548752834466,-0.028571428571428574,higher_is_better,-0.03038548752834466,0.47619047619047616
distance_sma_200d_sector_neutral,Consumer Staples,63,-0.03174603174603176,-0.09999999999999999,higher_is_better,-0.03174603174603176,0.3968253968253968
distance_sma_200d_sector_neutral,Energy,63,0.06349206349206349,0.5,higher_is_better,0.06349206349206349,0.5555555555555556
distance_sma_200d_sector_neutral,Financials,63,0.06972789115646259,0.14285714285714288,higher_is_better,0.06972789115646259,0.5873015873015873
distance_sma_200d_sector_neutral,Health Care,63,0.03571428571428572,0.0,higher_is_better,0.03571428571428572,0.49206349206349204
distance_sma_200d_sector_neutral,Industrials,63,-0.05873015873015871,-0.09999999999999999,higher_is_better,-0.05873015873015871,0.4603174603174603
distance_sma_200d_sector_neutral,Information Technology,63,0.1198034769463341,0.1666666666666667,higher_is_better,0.1198034769463341,0.6666666666666666
distance_sma_50d_sector_neutral,Communication Services,70,-0.06571428571428571,-0.19999999999999998,lower_is_better,0.06571428571428571,0.6
distance_sma_50d_sector_neutral,Consumer Discretionary,70,0.012244897959183671,-0.028571428571428574,lower_is_better,-0.012244897959183671,0.5285714285714286
distance_sma_50d_sector_neutral,Consumer Staples,70,0.008571428571428563,0.0,lower_is_better,-0.008571428571428563,0.4857142857142857
distance_sma_50d_sector_neutral,Energy,70,-0.1,-0.5,lower_is_better,0.1,0.6
distance_sma_50d_sector_neutral,Financials,70,-0.0015306122448979706,0.03571428571428572,lower_is_better,0.0015306122448979706,0.4857142857142857
distance_sma_50d_sector_neutral,Health Care,70,-0.027040816326530624,0.0,lower_is_better,0.027040816326530624,0.4857142857142857
distance_sma_50d_sector_neutral,Industrials,70,-0.02571428571428571,-0.09999999999999999,lower_is_better,0.02571428571428571,0.5285714285714286
distance_sma_50d_sector_neutral,Information Technology,70,-0.02312925170068027,0.011904761904761908,lower_is_better,0.02312925170068027,0.4857142857142857
dollar_volume_change_20d_60d_sector_neutral,Communication Services,70,-0.04,-0.19999999999999998,lower_is_better,0.04,0.5428571428571428
dollar_volume_change_20d_60d_sector_neutral,Consumer Discretionary,70,-0.004081632653061229,-0.028571428571428574,lower_is_better,0.004081632653061229,0.5285714285714286
dollar_volume_change_20d_60d_sector_neutral,Consumer Staples,70,-0.041428571428571426,-0.09999999999999999,lower_is_better,0.041428571428571426,0.5428571428571428
dollar_volume_change_20d_60d_sector_neutral,Energy,70,-0.014285714285714285,-0.5,lower_is_better,0.014285714285714285,0.5285714285714286
dollar_volume_change_20d_60d_sector_neutral,Financials,70,-0.02704081632653062,-0.03571428571428572,lower_is_better,0.02704081632653062,0.5142857142857142
dollar_volume_change_20d_60d_sector_neutral,Health Care,70,0.01581632653061224,0.0892857142857143,lower_is_better,-0.01581632653061224,0.42857142857142855
dollar_volume_change_20d_60d_sector_neutral,Industrials,70,0.005714285714285703,0.0,lower_is_better,-0.005714285714285703,0.4857142857142857
dollar_volume_change_20d_60d_sector_neutral,Information Technology,70,-0.015306122448979588,-0.04761904761904763,lower_is_better,0.015306122448979588,0.5285714285714286
downside_volatility_60d_sector_neutral,Communication Services,70,0.09142857142857144,0.19999999999999998,higher_is_better,0.09142857142857144,0.5857142857142857
downside_volatility_60d_sector_neutral,Consumer Discretionary,70,-0.01469387755102041,-0.08571428571428573,higher_is_better,-0.01469387755102041,0.44285714285714284
downside_volatility_60d_sector_neutral,Consumer Staples,70,0.022857142857142854,0.0,higher_is_better,0.022857142857142854,0.4857142857142857
downside_volatility_60d_sector_neutral,Energy,70,-0.09285714285714286,-0.5,higher_is_better,-0.09285714285714286,0.44285714285714284
downside_volatility_60d_sector_neutral,Financials,70,0.030612244897959176,0.14285714285714288,higher_is_better,0.030612244897959176,0.5571428571428572
downside_volatility_60d_sector_neutral,Health Care,70,0.050000000000000024,0.14285714285714288,higher_is_better,0.050000000000000024,0.5857142857142857
downside_volatility_60d_sector_neutral,Industrials,70,-0.030000000000000013,-0.09999999999999999,higher_is_better,-0.030000000000000013,0.4
downside_volatility_60d_sector_neutral,Information Technology,70,0.01598639455782313,0.09523809523809526,higher_is_better,0.01598639455782313,0.5571428571428572
max_drawdown_126d_sector_neutral,Communication Services,66,-0.054545454545454536,-0.19999999999999998,lower_is_better,0.054545454545454536,0.5151515151515151
max_drawdown_126d_sector_neutral,Consumer Discretionary,66,-0.0329004329004329,-0.028571428571428577,lower_is_better,0.0329004329004329,0.5
