signal_a,signal_b,months,mean_spearman,median_spearman,minimum_spearman,maximum_spearman
composite,elastic_net,74,0.507007559780669,0.5089555822328932,-0.008403361344537815,0.758079231692677
composite,lightgbm_ranker,77,0.376752217341916,0.40026547508263954,-0.2250116316099098,0.6873949579831932
elastic_net,lightgbm_ranker,74,0.4191575658249332,0.4398159417463323,-0.06537370895362665,0.7844879935060445
