signal,as_of_date,bottom_quintile_return,top_quintile_return,top_bottom_spread,quintile_monotonicity
momentum_12_1_sector_neutral,2015-01-30,0.0010941028904734695,0.026574266056346673,0.025480163165873204,0.09999999999999999
momentum_12_1_sector_neutral,2015-02-27,-0.011843035840581806,0.014977664877558949,0.026820700718140755,0.8999999999999998
momentum_12_1_sector_neutral,2015-03-31,0.048267482155471275,0.0021219931447828966,-0.04614548901068838,-0.39999999999999997
momentum_12_1_sector_neutral,2015-04-30,-0.0033440796388819693,0.03055945176172715,0.03390353140060912,0.6
momentum_12_1_sector_neutral,2015-05-29,0.002400196464442628,0.004443790465128716,0.0020435940006860885,0.49999999999999994
momentum_12_1_sector_neutral,2015-06-30,0.0053287939012668815,0.01112053729552911,0.005791743394262228,0.3
momentum_12_1_sector_neutral,2015-07-31,-0.006089201767859764,0.01161406190823754,0.017703263676097303,0.6
momentum_12_1_sector_neutral,2015-08-31,-0.019869329205498987,0.00687024268744788,0.026739571892946866,0.3
momentum_12_1_sector_neutral,2015-09-30,-0.0004663141789377101,-0.015006672010163258,-0.014540357831225547,-0.49999999999999994
momentum_12_1_sector_neutral,2015-10-30,-0.012034915105611466,0.04099942014713309,0.053034335252744556,0.39999999999999997
momentum_12_1_sector_neutral,2015-11-30,-0.004672917225118134,0.021632123144612103,0.026305040369730238,0.49999999999999994
momentum_12_1_sector_neutral,2015-12-31,0.015074867848406826,-0.018821888124945486,-0.033896755973352316,-0.09999999999999999
momentum_12_1_sector_neutral,2016-01-29,0.023288215298609603,-0.0019561256347871204,-0.025244340933396725,-0.19999999999999998
momentum_12_1_sector_neutral,2016-02-29,0.01217476475685022,0.010162598183674343,-0.0020121665731758775,-0.39999999999999997
momentum_12_1_sector_neutral,2016-03-31,-0.0138871183139889,-0.012304292321277055,0.0015828259927118445,0.0
momentum_12_1_sector_neutral,2016-04-29,0.004466783121427398,0.044892106533211,0.0404253234117836,0.3
momentum_12_1_sector_neutral,2016-05-31,-0.037737478958054405,0.000856923500618012,0.03859440245867242,0.6
momentum_12_1_sector_neutral,2016-06-30,0.006711155858643014,0.025890075530425792,0.019178919671782778,0.09999999999999999
momentum_12_1_sector_neutral,2016-07-29,0.011403697810827385,-0.002410209711801059,-0.013813907522628444,-0.49999999999999994
momentum_12_1_sector_neutral,2016-08-31,-0.005004867262497115,0.030356051021019338,0.03536091828351645,0.7999999999999999
momentum_12_1_sector_neutral,2016-09-30,0.015168057682211345,0.0028397991866821793,-0.012328258495529166,-0.6
momentum_12_1_sector_neutral,2016-10-31,0.003930842253609479,-0.005413896048603451,-0.00934473830221293,-0.49999999999999994
momentum_12_1_sector_neutral,2016-11-30,0.013763429344723698,-0.0031874652407468673,-0.016950894585470565,-0.8999999999999998
momentum_12_1_sector_neutral,2016-12-30,0.03633093194024922,0.019836431141126966,-0.016494500799122257,-0.7
momentum_12_1_sector_neutral,2017-01-31,0.03171336033580241,-0.015457043047962504,-0.047170403383764915,-0.8999999999999998
momentum_12_1_sector_neutral,2017-02-28,0.0031076531649960604,-0.004192239909037531,-0.007299893074033592,-0.7
momentum_12_1_sector_neutral,2017-03-31,-0.02084237559823828,-0.01970699035403134,0.001135385244206942,0.09999999999999999
momentum_12_1_sector_neutral,2017-04-28,-0.024891088969791864,0.029560932616801493,0.05445202158659336,0.8999999999999998
momentum_12_1_sector_neutral,2017-05-31,0.020686510522520518,0.014761393247890265,-0.005925117274630253,-0.3
momentum_12_1_sector_neutral,2017-06-30,-0.007188421219232521,0.021917198159371508,0.02910561937860403,0.6
momentum_12_1_sector_neutral,2017-07-31,-0.016251936542978396,0.008351411904364359,0.024603348447342757,0.49999999999999994
momentum_12_1_sector_neutral,2017-08-31,0.009990822698860502,-0.009098305067076661,-0.019089127765937165,-0.49999999999999994
momentum_12_1_sector_neutral,2017-09-29,-0.030080259351001403,0.021855000718804262,0.051935260069805665,0.8999999999999998
momentum_12_1_sector_neutral,2017-10-31,0.041591876207559976,-0.012235306739285013,-0.05382718294684499,-0.7
momentum_12_1_sector_neutral,2017-11-30,0.02212680918562835,0.005150947511122795,-0.016975861674505557,-0.3
momentum_12_1_sector_neutral,2017-12-29,-0.0002655937480443793,0.08997380303544418,0.09023939678348857,0.3
momentum_12_1_sector_neutral,2018-01-31,-0.012633616452157237,0.014863872275215451,0.02749748872737269,0.9999999999999999
momentum_12_1_sector_neutral,2018-02-28,-0.015872014116168898,-0.009494294023730188,0.006377720092438709,0.3
momentum_12_1_sector_neutral,2018-03-29,-0.0021806236379827704,0.01930129886852373,0.0214819225065065,0.6
momentum_12_1_sector_neutral,2018-04-30,0.01409887437923496,0.02334044290027649,0.009241568521041531,0.09999999999999999
momentum_12_1_sector_neutral,2018-05-31,0.0108632786626231,-0.011119462921290568,-0.021982741583913668,-0.7
momentum_12_1_sector_neutral,2018-06-29,0.001669851593096927,-0.030382105227324728,-0.032051956820421654,-0.49999999999999994
momentum_12_1_sector_neutral,2018-07-31,-0.00998761135852394,0.04877495901946958,0.05876257037799352,0.9999999999999999
momentum_12_1_sector_neutral,2018-08-31,0.0009471554879433519,0.0015015100966833338,0.0005543546087399819,0.09999999999999999
momentum_12_1_sector_neutral,2018-09-28,0.07293019356490439,-0.056509883856617996,-0.1294400774215224,-0.8999999999999998
momentum_12_1_sector_neutral,2018-10-31,-0.010623190176725883,-0.037696588276992606,-0.027073398100266724,-0.8999999999999998
momentum_12_1_sector_neutral,2018-11-30,0.018486237761770774,-0.007876119998507758,-0.02636235776027853,-0.6
momentum_12_1_sector_neutral,2018-12-31,-0.01280326444207649,0.014921797879412313,0.027725062321488803,0.7
momentum_12_1_sector_neutral,2019-01-31,-0.01691187306395996,0.021316031555076907,0.03822790461903687,0.49999999999999994
momentum_12_1_sector_neutral,2019-02-28,-0.007393922071294401,-0.002560602972818349,0.004833319098476052,0.49999999999999994
momentum_12_1_sector_neutral,2019-03-29,0.038072305096941775,-0.021845762860334593,-0.05991806795727637,-0.8999999999999998
momentum_12_1_sector_neutral,2019-04-30,-0.03446339509463235,0.0035431138984235886,0.03800650899305594,0.7999999999999999
momentum_12_1_sector_neutral,2019-05-31,0.02453883602910286,-0.00990426432607604,-0.034443100355178904,-0.7
momentum_12_1_sector_neutral,2019-06-28,0.007599847503498391,0.003030712985498396,-0.004569134517999995,-0.39999999999999997
momentum_12_1_sector_neutral,2019-07-31,-0.02926570004268474,0.020995543565938413,0.05026124360862315,0.7
momentum_12_1_sector_neutral,2019-08-30,0.02386662003725489,-0.02943066333738521,-0.0532972833746401,-0.7
momentum_12_1_sector_neutral,2019-09-30,0.07798427071542914,-0.02446031617705713,-0.10244458689248627,-0.8999999999999998
momentum_12_1_sector_neutral,2019-10-31,0.030098254199862052,-0.017209984065173867,-0.04730823826503592,-0.7
momentum_12_1_sector_neutral,2019-11-29,0.03760230570154779,-0.006915647218784715,-0.044517952920332504,-0.6
momentum_12_1_sector_neutral,2019-12-31,0.035468469712015935,0.014990781580829482,-0.02047768813118645,-0.39999999999999997
momentum_6_1_sector_neutral,2014-07-31,-0.011242628986921854,0.040042784934696,0.05128541392161785,0.9999999999999999
momentum_6_1_sector_neutral,2014-08-29,-0.024470510695020063,0.0016774902682468174,0.02614800096326688,0.7999999999999999
momentum_6_1_sector_neutral,2014-09-30,-0.025322047401856264,-0.006883023468288396,0.018439023933567868,0.19999999999999998
momentum_6_1_sector_neutral,2014-10-31,-0.01934118936277217,-0.021353245202495996,-0.002012055839723824,-0.09999999999999999
momentum_6_1_sector_neutral,2014-11-28,-0.022206065678057517,0.0034057793776283373,0.025611845055685853,0.6
momentum_6_1_sector_neutral,2014-12-31,0.02346282570515381,0.006283264451377546,-0.017179561253776263,-0.3
momentum_6_1_sector_neutral,2015-01-30,-0.0036514821208857517,0.029025529171172005,0.03267701129205776,0.0
