model_name,months,valid_ic_months,mean_ic,median_ic,std_ic,annualized_ic_ir,positive_ic_ratio,mean_top_bottom_spread,mean_top_quintile_precision,mean_top_quintile_turnover
core_percentile_ensemble,77,77,0.04637952226585562,0.060510013245538286,0.1694196479951235,0.9483160890234665,0.5844155844155844,0.013565525539957128,0.2545454545454546,0.40921052631578947
equal_percentile_ensemble,77,77,0.04382020432480267,0.05532609797122956,0.19855223133468747,0.7645224612023588,0.5844155844155844,0.011779954351697328,0.2545454545454546,0.3657894736842106
validation_weighted_ensemble,77,77,0.04051408565359972,0.018871548619447776,0.20885685844641072,0.6719669662391017,0.5454545454545454,0.012308385588007568,0.25974025974025977,0.36973684210526314
