as_of_date,positions,portfolio_value,predicted_volatility,predicted_variance,portfolio_beta_vs_spy,maximum_weight,minimum_weight,concentration_hhi,effective_positions,maximum_sector_weight,maximum_active_sector_weight,maximum_position_adv_fraction,weighted_position_adv_fraction,maximum_liquidation_days,weighted_liquidation_days,risk_contribution_sum,method
2020-01-31,25,1000000.0,0.1351932374705512,0.01827721145776885,1.0955139388923965,0.049999000000000016,0.0,0.04916254107757854,20.34068984396065,0.20001599999999997,0.09000100000000001,0.0002030454231681009,7.147351262894168e-05,0.002030454231681009,0.0007147351262894165,0.1351932374705512,alpha_risk_turnover
2020-02-28,25,1000000.0,0.15237337754452812,0.023217646184327305,1.0919645962669977,0.049998999959756874,0.0,0.04999800015739163,20.00079996903959,0.24999499919107931,0.1,0.00017335301686328806,7.178357850229038e-05,0.0017335301686328807,0.0007178357850229039,0.15237337754452812,alpha_risk_turnover
2020-03-31,25,1000000.0,0.30983599455827626,0.0959983435239162,1.0926331281277815,0.04999900203808406,0.0,0.04880513616670726,20.48964675734593,0.16838635062713195,0.06999700245338523,0.00014442528266428063,5.0907046045129785e-05,0.0014442528266428061,0.0005090704604512978,0.30983599455827626,alpha_risk_turnover
2020-04-30,25,1000000.0,0.31289994567944696,0.09790637600620085,1.0195962945758854,0.049999000687280415,0.0,0.04883670307564527,20.476402726266286,0.2316256440978311,0.1116256440978311,0.00015122749581526117,4.950309083230282e-05,0.0015122749581526118,0.000495030908323028,0.3128999456794469,alpha_risk_turnover
2020-05-29,25,1000000.0,0.3132841017365017,0.09814692840084674,1.0063916474268106,0.04999900002490459,0.0,0.048861190595474516,20.466140669372457,0.24999499916614557,0.10999499916614555,0.0001379350606258154,4.778469766365538e-05,0.001379350606258154,0.0004778469766365538,0.3132841017365017,alpha_risk_turnover
2020-06-30,25,1000000.0,0.34025449735580765,0.1157731229708533,1.0651352893080033,0.04999900036431702,0.0,0.0499980004358663,20.00079985764081,0.24999899972297207,0.09000099998065215,0.00018859623429887023,5.549504883343522e-05,0.001885962342988702,0.0005549504883343519,0.3402544973558076,alpha_risk_turnover
2020-07-31,25,1000000.0,0.32509590257358756,0.10568734587013552,1.0125043483864968,0.04999900052153836,0.0,0.04885151307418499,20.470195027151334,0.16784888597852696,0.09000099994988486,0.000223366131028249,6.320829881271833e-05,0.00223366131028249,0.0006320829881271834,0.32509590257358745,alpha_risk_turnover
2020-08-31,25,1000000.0,0.30787826441533495,0.09478902569939889,0.9734873174841814,0.049999000206873034,0.0,0.04795519847684658,20.852796605206702,0.19999600024554823,0.1231442389602086,0.00024234970569434025,7.086377188866521e-05,0.0024234970569434024,0.0007086377188866518,0.3078782644153349,alpha_risk_turnover
2020-09-30,25,1000000.0,0.31261098543760774,0.0977256282162722,0.9642547534874409,0.049999000012491114,0.0,0.047821051891903395,20.911292421179688,0.21578018854463635,0.07314523968658569,0.00025931836811757416,6.61874953526912e-05,0.0025931836811757415,0.000661874953526912,0.31261098543760774,alpha_risk_turnover
2020-10-30,25,1000000.0,0.30689366478523905,0.09418372148531469,0.927041823160683,0.049999000040182755,0.0,0.047801371936704515,20.919901657302542,0.24999499912094358,0.10999499912094357,0.0002096485074729231,6.47733255213082e-05,0.002096485074729231,0.0006477332552130822,0.30689366478523916,alpha_risk_turnover
