as_of_date,solver_status,objective_value,scenario_count,confidence_level,horizon_days,predicted_alpha_proxy,var_loss,cvar_loss,mean_scenario_return,worst_scenario_return,one_way_turnover,portfolio_beta_vs_spy,maximum_position_adv_fraction,positions,maximum_weight,maximum_sector_weight,solver
2020-01-31,optimal,-0.0007190623307061256,252,0.95,21,0.0020650156724217835,0.04354905016616069,0.05446826233637362,0.024258937845082765,-0.07182802291550305,,1.0703103058623877,0.0002030454196599294,22,0.049998999506587746,0.18844111785330697,CLARABEL
2020-02-28,optimal,-0.0032063312241434653,252,0.95,21,0.0020919277095209077,0.04732493554598943,0.0620183644169255,0.021017164832876873,-0.09794826002759648,0.21157091455323626,1.0399292866781658,0.00017335301479392632,23,0.04999899971576008,0.15650114971943002,CLARABEL
2020-03-31,optimal,-0.014242905725409094,252,0.95,21,0.00227307231854255,0.15756242577170612,0.2537278028016693,0.00856082390489364,-0.33841998973046916,0.36805199856602455,1.095829684251409,0.00014442526370630666,21,0.04999900038715101,0.24999499960615426,CLARABEL
2020-04-30,optimal,-0.011727808588687811,252,0.95,21,0.002312249621022869,0.14621759906596268,0.22826398841412152,0.014117284174045477,-0.3104842882165763,0.24999499995640298,1.0327284687500433,0.00012531581209109806,23,0.04999899954355621,0.24351070680338927,CLARABEL
2020-05-29,optimal,-0.009496957376600864,252,0.95,21,0.0023536727443040613,0.1413608358365827,0.21470619831206328,0.019503929808364715,-0.29473084910067654,0.09999857001188506,1.0188035642678444,0.00013793505983552616,22,0.049999000075893994,0.2499955532290087,CLARABEL
2020-06-30,optimal,-0.013081229944921963,252,0.95,21,0.0022788848578447567,0.16479652325234148,0.24476233732960914,0.0258230908881146,-0.32317024445328185,0.29999400440903357,1.0840419466608435,0.00015516705030689624,23,0.049998999843091176,0.24999900000525468,CLARABEL
2020-07-31,optimal,-0.01150740749497668,252,0.95,21,0.0022354525137348357,0.15614637873965528,0.23252488317717523,0.028338639641806978,-0.3083732087889418,0.20001219208496943,1.048007190742005,0.00017933850188544019,23,0.04999900022107204,0.20308957542453135,CLARABEL
2020-08-31,optimal,-0.010000829929128293,252,0.95,21,0.0020908089807343475,0.14018026815837165,0.20981152901135586,0.03706706938256794,-0.27923602778664613,0.14999708849211527,1.0040500289539513,0.00020514950755813946,23,0.0499989995264032,0.20308967862104518,CLARABEL
2020-09-30,optimal,-0.01058408705302313,252,0.95,21,0.002227854809748195,0.12068811766233406,0.19476489640352218,0.03909561522142765,-0.26362358158335747,0.2969205798889846,0.9677441540829231,0.00018564773279604137,23,0.04999900000188718,0.2499989998165763,CLARABEL
2020-10-30,optimal,-0.008195376423066749,252,0.95,21,0.002363919831046166,0.10621877082582504,0.17909113236141178,0.04153703455706455,-0.24805533780626957,0.15001316152471236,0.9362797687510138,0.0002096484998125563,24,0.04999899956873228,0.24999499393249047,CLARABEL
2020-11-30,optimal,-0.009265067066995068,252,0.95,21,0.0023214022078204,0.11492616313107273,0.1895256631414424,0.041034788544674586,-0.2604534166314547,0.19999599215236694,0.9838894923900497,0.00021560004353704808,24,0.049998999753670205,0.24999899482597074,CLARABEL
2020-12-31,optimal,-0.011711186595642954,252,0.95,21,0.002108850568267596,0.14758396010821015,0.22413792316724657,0.03785288507415517,-0.3057000852216238,0.2499950069886956,1.0578329140382607,0.00023204498593370614,23,0.04999899994131981,0.24999499482345533,CLARABEL
2021-01-29,optimal,-0.011466717224001196,252,0.95,21,0.002100343954736274,0.15390024192479565,0.22906708472233756,0.037088747914482405,-0.30646093082617737,0.19999600050827057,1.0242696401688387,0.00022133266687878727,23,0.0499989997448727,0.19999599728520442,CLARABEL
2021-02-26,optimal,-0.011733645374350418,252,0.95,21,0.002108833547566702,0.14561302358223563,0.21467284297480824,0.03746347386353375,-0.2869151716053233,0.3000140278381419,1.0189956420375013,0.00014203364210074235,23,0.04999899995490276,0.2499949934764676,CLARABEL
2021-03-31,optimal,-0.0030217875400983044,252,0.95,21,0.0024574386139507996,0.02658972419287983,0.06826406936793038,0.05082949461151313,-0.17505278698390941,0.20001601824851792,1.091293399450365,0.00016979398082988252,25,0.04999899941274454,0.2499949941744339,CLARABEL
2021-04-30,optimal,-0.00046745076408738983,252,0.95,21,0.0024616923550227817,0.019875114039521462,0.027708987960474833,0.049160971847283665,-0.05228529795133326,0.15001701415634236,1.1011099969063562,0.0001695801352519175,24,0.049998999738422305,0.24999499565925737,CLARABEL
2021-05-28,optimal,-0.0016404575417570395,252,0.95,21,0.002342976730042099,0.023108550349868896,0.03484637936438676,0.042845549716631716,-0.05625951277205428,0.21759037163781964,1.0873705844820098,0.0001947226815812074,22,0.04999900052755168,0.19999600042497923,CLARABEL
2021-06-30,optimal,-0.002197966792428417,252,0.95,21,0.0022954338619335796,0.012941683168891025,0.02207321624634553,0.043371300314979044,-0.04115614135681157,0.337593204189258,1.0406724085090808,0.0001959262934099816,24,0.04999899990231082,0.2499989992481375,CLARABEL
2021-07-30,optimal,0.000668465829320746,252,0.95,21,0.002423444823591964,0.014758840550855952,0.024816402470719347,0.041875472350221536,-0.04670000285399549,0.0499990199520616,1.0400087588369706,0.0001717726145191812,24,0.049998999343451866,0.24999899383219007,CLARABEL
2021-08-31,optimal,-0.0013889550059992123,252,0.95,21,0.002346413276233729,0.012673940265210498,0.02433804127718853,0.03589494861681217,-0.04547796333581023,0.24999501066479496,1.0492001263273387,0.00019651993010079877,24,0.04999899978744285,0.2499989987044823,CLARABEL
2021-09-30,optimal,9.574007488907191e-05,252,0.95,21,0.0024829792042596823,0.012126579052186642,0.027567116257336263,0.036389544857825355,-0.05254952213426477,0.09850582918548537,1.0615286010958531,0.00019857347765323786,23,0.04999900016394872,0.24999499711033232,CLARABEL
2021-10-29,optimal,-0.001833567426857692,252,0.95,21,0.002338444691864702,0.013776385238410592,0.023183032702020514,0.031340883442905754,-0.04401906165182115,0.2999940175273368,1.049672516729295,0.00020053424991251398,25,0.049998999594979145,0.24999499212385642,CLARABEL
