strategy_name,trades,traded_notional,commission_cost,spread_cost,slippage_cost,market_impact_cost,total_execution_cost,maximum_order_adv_fraction,effective_cost_bps
alpha_risk_turnover,2004,75656641.48262064,3782.8320741310326,15131.32829652413,18914.16037065516,1200.4170363386852,39028.73777764901,0.0005071792162864605,5.158666445247168
cvar,2117,60689099.961126864,3034.4549980563434,12137.819992225373,15172.274990281716,957.7099088343252,31302.25988939776,0.0004830189994290765,5.157805917281318
median_mad_de,2055,85124168.66447785,4256.208433223893,17024.83373289557,21281.042166119467,1358.8880988495011,43920.972431088434,0.000520552214706132,5.159635990596941
score_weighted,2314,81775981.91486196,4088.799095743098,16355.196382972392,20443.99547871549,1124.9124647064018,42012.90342213738,0.00043374864986546707,5.137560251600227
top_n_equal_weight,2314,73629944.631301,3681.4972315650502,14725.988926260201,18407.48615782525,1106.5100010249694,37921.48231667547,0.0004493309929680292,5.15027989041222
