period,period_start,period_end,signal,months,mean_ic,median_ic,std_ic,preferred_direction,directional_mean_ic,directional_month_ratio
2014,2014-01-01,2014-12-31,amihud_illiquidity_20d_sector_neutral,12,0.08069627851140455,0.0269867947178871,0.21753880039044116,higher_is_better,0.08069627851140455,0.6666666666666666
2014,2014-01-01,2014-12-31,average_dollar_volume_20d_sector_neutral,12,-0.06274509803921569,-0.08945978391356535,0.22049837538978018,lower_is_better,0.06274509803921569,0.5833333333333334
2014,2014-01-01,2014-12-31,beta_60d_market_sector_neutral,10,-0.011908763505402181,0.02689075630252095,0.11613372328234403,higher_is_better,-0.011908763505402181,0.6
2014,2014-01-01,2014-12-31,distance_sma_200d_sector_neutral,3,0.11151660664265704,0.0956062424969988,0.0715905890317739,higher_is_better,0.11151660664265704,1.0
2014,2014-01-01,2014-12-31,distance_sma_50d_sector_neutral,10,-0.006732292917166864,0.02352941176470585,0.09921251431698519,lower_is_better,0.006732292917166864,0.4
2014,2014-01-01,2014-12-31,dollar_volume_change_20d_60d_sector_neutral,10,0.04665546218487396,0.0092677070828331,0.11445806832993796,lower_is_better,-0.04665546218487396,0.4
2014,2014-01-01,2014-12-31,downside_volatility_60d_sector_neutral,10,-0.01805522208883554,-0.024873949579831946,0.14766767733469857,higher_is_better,-0.01805522208883554,0.5
2014,2014-01-01,2014-12-31,max_drawdown_126d_sector_neutral,6,0.06930772308923568,0.10386554621848736,0.20115468750126017,lower_is_better,-0.06930772308923568,0.3333333333333333
2014,2014-01-01,2014-12-31,momentum_6_1_sector_neutral,6,0.1621928771508603,0.16360144057623038,0.16490802883314573,higher_is_better,0.1621928771508603,0.6666666666666666
2014,2014-01-01,2014-12-31,positive_day_ratio_60d_sector_neutral,10,-0.010431507934749217,0.02046746240924225,0.13199112610389022,lower_is_better,0.010431507934749217,0.4
2014,2014-01-01,2014-12-31,return_1m_sector_neutral,11,-0.059810105860526014,-0.0723649459783913,0.10640446275891856,lower_is_better,0.059810105860526014,0.6363636363636364
2014,2014-01-01,2014-12-31,return_1w_sector_neutral,12,0.00537014805922369,0.0181992797118847,0.11521507427978488,lower_is_better,-0.00537014805922369,0.4166666666666667
2014,2014-01-01,2014-12-31,return_3m_sector_neutral,9,0.0433400026677337,0.0651620648259303,0.13572492738377026,higher_is_better,0.0433400026677337,0.7777777777777778
2014,2014-01-01,2014-12-31,reversal_1m_sector_neutral,11,0.059810105860526014,0.0723649459783913,0.10640446275891856,higher_is_better,0.059810105860526014,0.6363636363636364
2014,2014-01-01,2014-12-31,sma_50_200_spread_sector_neutral,3,0.05783113245298117,0.0145498199279711,0.13597650288609503,higher_is_better,0.05783113245298117,0.6666666666666666
2014,2014-01-01,2014-12-31,volatility_20d_sector_neutral,12,0.03518207282913164,0.09286914765906355,0.16625036173069693,higher_is_better,0.03518207282913164,0.6666666666666666
2014,2014-01-01,2014-12-31,volatility_60d_sector_neutral,10,0.001930372148859548,0.011764705882352955,0.16111662987714026,higher_is_better,0.001930372148859548,0.5
2015,2015-01-01,2015-12-31,amihud_illiquidity_20d_sector_neutral,12,0.07124449779911964,0.07851140456182465,0.23137028467711673,higher_is_better,0.07124449779911964,0.75
2015,2015-01-01,2015-12-31,average_dollar_volume_20d_sector_neutral,12,-0.03165266106442574,-0.03394957983193275,0.1985813902290576,lower_is_better,0.03165266106442574,0.5833333333333334
2015,2015-01-01,2015-12-31,beta_60d_market_sector_neutral,12,0.020904361744697893,0.0179111644657863,0.19788781780718023,higher_is_better,0.020904361744697893,0.5
2015,2015-01-01,2015-12-31,distance_sma_200d_sector_neutral,12,0.0692677070828331,0.11298919567827126,0.23453825589252403,higher_is_better,0.0692677070828331,0.75
