month,strategy_name,monthly_return
2021-06-30,elastic_net_score_weighted,0.029380084493759506
2021-06-30,elastic_net_top20_equal_weight,0.025650232058219258
2021-06-30,momentum_3m_top20_equal_weight,0.006778006226131117
2021-06-30,ridge_top20_equal_weight,0.025650232058219036
2021-06-30,spy_buy_and_hold,0.02242768550890073
2021-06-30,universe_equal_weight,0.01828647473099143
2021-07-31,elastic_net_score_weighted,0.012097971170642818
2021-07-31,elastic_net_top20_equal_weight,0.01062454290948378
2021-07-31,momentum_3m_top20_equal_weight,0.02303163899802585
2021-07-31,ridge_top20_equal_weight,0.01062454290948378
2021-07-31,spy_buy_and_hold,0.024412269942394094
2021-07-31,universe_equal_weight,0.023713360720281518
2021-08-31,elastic_net_score_weighted,0.03355283140398879
2021-08-31,elastic_net_top20_equal_weight,0.03418483756836599
2021-08-31,momentum_3m_top20_equal_weight,0.03328297315840567
2021-08-31,ridge_top20_equal_weight,0.0341848375683651
2021-08-31,spy_buy_and_hold,0.029759790150247323
2021-08-31,universe_equal_weight,0.02346804295674887
2021-09-30,elastic_net_score_weighted,-0.014459452753750046
2021-09-30,elastic_net_top20_equal_weight,-0.012260746603187545
2021-09-30,momentum_3m_top20_equal_weight,-0.040181056917268476
2021-09-30,ridge_top20_equal_weight,-0.012260746603187322
2021-09-30,spy_buy_and_hold,-0.046605411473920055
2021-09-30,universe_equal_weight,-0.030869336247443258
2021-10-31,elastic_net_score_weighted,0.12559916063196463
2021-10-31,elastic_net_top20_equal_weight,0.13471834825912166
2021-10-31,momentum_3m_top20_equal_weight,0.116677704808825
2021-10-31,ridge_top20_equal_weight,0.1347183482591201
2021-10-31,spy_buy_and_hold,0.07016361622909328
2021-10-31,universe_equal_weight,0.0947346812165557
2021-11-30,elastic_net_score_weighted,-0.00776658661296481
2021-11-30,elastic_net_top20_equal_weight,-0.010868831316714012
2021-11-30,momentum_3m_top20_equal_weight,-0.010838960302109957
2021-11-30,ridge_top20_equal_weight,-0.0039048306109997766
2021-11-30,spy_buy_and_hold,-0.008034986713717718
2021-11-30,universe_equal_weight,-0.008098132486129672
2021-12-31,elastic_net_score_weighted,0.04273201722110742
2021-12-31,elastic_net_top20_equal_weight,0.04787054683285641
2021-12-31,momentum_3m_top20_equal_weight,0.03228804561605325
2021-12-31,ridge_top20_equal_weight,0.04770746371896095
2021-12-31,spy_buy_and_hold,0.04624800702567211
2021-12-31,universe_equal_weight,0.056671110880989195
2022-01-31,elastic_net_score_weighted,-0.042238507683347915
2022-01-31,elastic_net_top20_equal_weight,-0.03786296647911913
2022-01-31,momentum_3m_top20_equal_weight,-0.058961924089916184
2022-01-31,ridge_top20_equal_weight,-0.037862966479118576
2022-01-31,spy_buy_and_hold,-0.052741514502950615
2022-01-31,universe_equal_weight,-0.037593863987221865
2022-02-28,elastic_net_score_weighted,-0.017399225132082585
2022-02-28,elastic_net_top20_equal_weight,-0.0049486458876484285
2022-02-28,momentum_3m_top20_equal_weight,-0.027657241777873542
2022-02-28,ridge_top20_equal_weight,-0.023254172860020073
2022-02-28,spy_buy_and_hold,-0.029516913645394438
2022-02-28,universe_equal_weight,-0.029147788899942517
2022-03-31,elastic_net_score_weighted,0.059600748452745655
2022-03-31,elastic_net_top20_equal_weight,0.053293972527196365
2022-03-31,momentum_3m_top20_equal_weight,0.013061483666515494
2022-03-31,ridge_top20_equal_weight,0.05211653244158909
2022-03-31,spy_buy_and_hold,0.03759038646900881
2022-03-31,universe_equal_weight,0.04003464300879678
2022-04-30,elastic_net_score_weighted,-0.10499891933995709
2022-04-30,elastic_net_top20_equal_weight,-0.09319947874194856
2022-04-30,momentum_3m_top20_equal_weight,-0.07754427936166763
2022-04-30,ridge_top20_equal_weight,-0.08338648488484335
2022-04-30,spy_buy_and_hold,-0.08776903262193159
2022-04-30,universe_equal_weight,-0.07267597838525097
2022-05-31,elastic_net_score_weighted,0.005294335440412468
2022-05-31,elastic_net_top20_equal_weight,0.008748625771792584
2022-05-31,momentum_3m_top20_equal_weight,-0.014745914956996953
2022-05-31,ridge_top20_equal_weight,-0.0027949423461687273
2022-05-31,spy_buy_and_hold,0.0022572915232785817
2022-05-31,universe_equal_weight,0.0032889305330077168
2022-06-30,elastic_net_score_weighted,-0.08904784379005815
2022-06-30,elastic_net_top20_equal_weight,-0.08675543591482582
