strategy_name,experiment,top_n,configured_security_cap,sector_cap,is_baseline,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,beta_vs_spy,annualized_alpha_vs_spy,excess_cagr,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,mean_positions,maximum_weight,maximum_sector_weight,mean_effective_positions,construction_one_way_turnover,effective_cost_bps,baseline_cagr,baseline_sharpe,cagr_difference_vs_baseline,sharpe_difference_vs_baseline
score_cap_400bps,security_cap,25,0.04,0.25,False,3800724.296824213,2.800724296824213,0.2324283847901074,0.2184063476743309,1.0669135128331853,1.5276110081585095,-0.3371349201378667,1.0365516237429129,0.06059505622940881,0.07588649214093812,37921.48231667542,73629944.6313009,0.47031441945800306,0.24176519899869686,25.0,0.040000000000000466,0.24000000000000032,24.999999999999993,0.2047368421052635,5.15027989041222,0.24427041052235543,1.086881074531349,-0.011842025732248018,-0.019967561698163827
score_cap_500bps,security_cap,25,0.05,0.25,True,4040172.810593051,3.0401728105930506,0.24427041052235543,0.22443769293454915,1.086881074531349,1.5551819576923949,-0.3434979632110363,1.0622843768589336,0.06723092754170845,0.08772851787318614,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,25.0,0.050000000000000024,0.2500000000000001,24.17602535713524,0.23322462313972261,5.137560251600228,0.24427041052235543,1.086881074531349,0.0,0.0
score_cap_750bps,security_cap,25,0.075,0.25,False,4069730.5266116504,3.06973052661165,0.2456908552078252,0.22496002776290208,1.0899670425745434,1.5589392366094457,-0.34446116469581844,1.0643668467235747,0.06814645348912564,0.0891489625586559,42506.29776435016,82738573.6172904,0.5077545443295596,0.26049458118935753,25.0,0.0542674253200569,0.25000000000000006,24.0910123036518,0.23583916284316767,5.137422112322631,0.24427041052235543,1.086881074531349,0.0014204446854697572,0.003085968043194276
score_cap_1000bps,security_cap,25,0.1,0.25,False,4069730.5266116504,3.06973052661165,0.2456908552078252,0.22496002776290208,1.0899670425745434,1.5589392366094457,-0.34446116469581844,1.0643668467235747,0.06814645348912564,0.0891489625586559,42506.29776435016,82738573.6172904,0.5077545443295596,0.26049458118935753,25.0,0.0542674253200569,0.25000000000000006,24.0910123036518,0.23583916284316767,5.137422112322631,0.24427041052235543,1.086881074531349,0.0014204446854697572,0.003085968043194276
top_n_10,top_n,10,0.1,0.25,False,4262639.274097821,3.262639274097821,0.2547534161513616,0.25880556080224987,1.007146679993556,1.4451777016807452,-0.37810858012457993,1.1688115376454422,0.06622870145034343,0.09821152350219231,71669.6709127449,136124083.52605686,0.8207601104367357,0.4170828263423898,10.0,0.1,0.2,9.999999999999996,0.38421052631578945,5.265025045992386,0.23242838479010763,1.0669135128331848,0.022325031361253966,-0.0597668328396288
top_n_20,top_n,20,0.05,0.25,False,3980466.406937105,2.980466406937105,0.24137417782244874,0.22805228740981698,1.0630771926274163,1.5158348067308438,-0.3439595295835671,1.0714468572828773,0.06420689538944559,0.08483228517327945,48044.89535290943,92851004.97787309,0.5807015265361751,0.29698788287143224,20.0,0.05,0.25,19.999999999999993,0.26118421052631585,5.1744076829711,0.23242838479010763,1.0669135128331848,0.00894579303234111,-0.0038363202057685175
top_n_25,top_n,25,0.05,0.25,True,3800724.2968242173,2.8007242968242174,0.23242838479010763,0.21840634767433093,1.0669135128331848,1.5276110081585101,-0.33713492013786694,1.0365516237429124,0.06059505622940884,0.07588649214093834,37921.48231667547,73629944.631301,0.470314419458003,0.2417651989986968,25.0,0.04,0.24,25.0,0.20473684210526316,5.15027989041222,0.23242838479010763,1.0669135128331848,0.0,0.0
top_n_30,top_n,30,0.05,0.25,False,3441931.353057939,2.441931353057939,0.213448124036707,0.21192486855604986,1.019591024903728,1.4584089060801657,-0.33912178324889564,1.0109648267396218,0.04790731333563701,0.0569062313875377,30467.660978835956,59461294.43795793,0.4021236852789004,0.2076518078535868,30.0,0.03333333333333333,0.23333333333333334,30.0,0.1706140350877193,5.123948488983198,0.23242838479010763,1.0669135128331848,-0.018980260753400646,-0.0473224879294567
top_n_40,top_n,40,0.05,0.25,False,3168511.8088131333,2.1685118088131334,0.1978287902849183,0.20227236345825753,0.994195771149683,1.4216510474473634,-0.33312368185535246,0.9659601317249958,0.04041527319606544,0.041286897635749,18815.73967417974,36936119.94537383,0.26029062076313775,0.13669855037925088,40.0,0.025,0.2,39.99999999999999,0.09901315789473683,5.094130001203975,0.23242838479010763,1.0669135128331848,-0.034599594505189346,-0.07271774168350176
