model_name,months,valid_ic_months,mean_ic,median_ic,std_ic,annualized_ic_ir,positive_ic_ratio,mean_top_bottom_spread,mean_top_quintile_precision,mean_top_quintile_turnover,valid_years,positive_mean_ic_years,worst_year_mean_ic,best_year_mean_ic,valid_sectors,positive_mean_ic_sectors,worst_sector_mean_ic,best_sector_mean_ic
technical_equal_weight_composite,77,77,0.0373483419341762,0.0254981992797118,0.1617638069671101,0.7997985089656202,0.5454545454545454,0.0109808520673113,0.2415584415584415,0.4499999999999999,7,7,0.0089155662264906,0.0961264505802321,8,5,-0.024860853432282004,0.11131725417439706
elastic_net,77,74,0.0370708283313325,0.0424489795918367,0.1871638369505872,0.6861214131390487,0.5675675675675675,0.0105474344532927,0.2648648648648649,0.2690140845070422,7,5,-0.0790396158463385,0.09338135254101639,8,8,0.006756756756756757,0.1027027027027027
ridge,77,77,0.0197620866528429,0.0043697478991596,0.1697202901677736,0.4033570542740228,0.5064935064935064,0.0094742455603726,0.251948051948052,0.2907894736842105,7,4,-0.05352220888355336,0.08507402961184468,8,6,-0.04684601113172542,0.06753246753246753
lightgbm_regressor,77,77,0.0153139257635061,0.0307803121248499,0.1955154979239669,0.2713288487856409,0.5324675324675324,0.0054360780649666,0.2376623376623376,0.4171052631578948,7,5,-0.12724508401788523,0.09114491615221025,8,4,-0.06304393366246379,0.10651417021590559
momentum_3m,77,77,-0.0046578631452581,0.0057142857142857,0.1935885008366962,-0.0833485004266361,0.5194805194805194,0.0045455919951683,0.2246753246753246,0.4407894736842105,7,2,-0.0703481392557023,0.07385354141656661,8,3,-0.14285714285714285,0.07977736549165125
constant,77,0,,,,,,,,,0,0,,,0,0,,
