strategy_name,year,trading_days,total_return,annualized_volatility,sharpe_ratio,maximum_drawdown,transaction_cost,two_way_turnover
elastic_net_score_weighted,2020,232,0.35353165019762867,0.38171749326293686,1.0534776728275839,-0.3353694926147367,8549.23618901406,8.23065919670218
elastic_net_top20_equal_weight,2020,232,0.33543390126370776,0.38532516620298835,1.0091849808654134,-0.3389967870080305,9428.537026857064,9.174225711227022
momentum_3m_top20_equal_weight,2020,232,0.3358448829507614,0.35864831139191466,1.058108673095982,-0.3450209416144785,7227.127891137889,6.946380947672981
ridge_top20_equal_weight,2020,232,0.32755022321643046,0.3846616762228248,0.9934992010907289,-0.3397678029620602,9487.451968188812,9.278521829662122
spy_buy_and_hold,2020,232,0.17668657905310337,0.3468941784795555,0.6840388300216375,-0.3371726930123551,999.0009990008548,0.9990009990009991
universe_equal_weight,2020,232,0.26417675316565536,0.3587722883285946,0.890278926922462,-0.3290566489698472,1592.7615216572235,1.5851469134009697
elastic_net_score_weighted,2021,252,0.43723676792279287,0.13932004787296207,2.674840571180298,-0.05218722405790188,11206.372912306577,7.026774300785234
elastic_net_top20_equal_weight,2021,252,0.46872542381512683,0.14083049395869046,2.801748221716454,-0.05337262534367537,11491.998482495264,7.200750308722732
momentum_3m_top20_equal_weight,2021,252,0.3626137856171472,0.1383921133701723,2.3060499418659144,-0.059462470749291896,11292.043163493956,7.234652528978389
ridge_top20_equal_weight,2021,252,0.4788358275784024,0.14063145401680854,2.8543707901617807,-0.05337262534367515,11417.966458381141,7.193707334316085
spy_buy_and_hold,2021,252,0.28728787068458583,0.12988742881091325,2.009995799206919,-0.05114137597421442,0.0,0.0
universe_equal_weight,2021,252,0.3559532210639844,0.1232527576524897,2.5335141028201305,-0.04084119708389311,840.3841295432895,0.580392407723008
elastic_net_score_weighted,2022,251,-0.11253716702375982,0.26238953863255765,-0.3260134143682606,-0.21692791613586937,13118.389725853685,7.414722399911321
elastic_net_top20_equal_weight,2022,251,-0.08155316197200169,0.2634192939335366,-0.19298449736250223,-0.20417482192751812,14882.607514104282,8.134654974973483
momentum_3m_top20_equal_weight,2022,251,-0.16373982702556544,0.21405271696476477,-0.7316956150867556,-0.2714595628065436,14060.433096972629,8.913728399072276
ridge_top20_equal_weight,2022,251,-0.09179362585322504,0.2557217700586248,-0.25066460170302374,-0.20531114161412145,15770.049131283131,8.719459024820903
spy_buy_and_hold,2022,251,-0.18175392956535175,0.2424295749598261,-0.709589446585239,-0.24496385408343258,0.0,0.0
universe_equal_weight,2022,251,-0.09848412816548857,0.2239098918835535,-0.35326989862448044,-0.20331410214277057,1062.5306245161416,0.6796939549259289
elastic_net_score_weighted,2023,250,0.3982193145114592,0.1473821512282658,2.3673339403542886,-0.09217570970382338,11718.724966975176,5.669778250205764
elastic_net_top20_equal_weight,2023,250,0.3884045449084115,0.14941485509995447,2.289548566583947,-0.09285053209711691,13174.074819465823,6.143718528402566
momentum_3m_top20_equal_weight,2023,250,0.19722443735908857,0.1348432873753968,1.41324996147216,-0.09476586259221664,13720.446015576796,8.224209986310466
ridge_top20_equal_weight,2023,250,0.4249088708510056,0.1468254841918123,2.50572536981432,-0.08996338223125677,14222.463470429837,6.654273091262894
spy_buy_and_hold,2023,250,0.2617581776714881,0.13075535232645605,1.858301497008302,-0.09974314636021364,0.0,0.0
universe_equal_weight,2023,250,0.24144842640744724,0.1248271725645363,1.8093532352634196,-0.10285721786956259,997.7579151347634,0.5882531814947285
elastic_net_score_weighted,2024,252,0.3526358131441496,0.1385373299904322,2.2505838473973134,-0.08410262295222426,12175.996311260285,4.286343347691409
elastic_net_top20_equal_weight,2024,252,0.378433181055422,0.138029022243311,2.395394303985521,-0.0856851191638538,14939.598577752226,5.025610106256389
momentum_3m_top20_equal_weight,2024,252,0.2287654450169312,0.1346543883040209,1.5975953599131483,-0.09625849568777867,16998.134213677382,8.055814598021538
ridge_top20_equal_weight,2024,252,0.3030761153267203,0.1332087359993862,2.054718803293308,-0.07320857734035213,19569.334218267337,6.660614752000697
spy_buy_and_hold,2024,252,0.2488646804381074,0.12568991257273712,1.8316187835181845,-0.08405624467197759,0.0,0.0
universe_equal_weight,2024,252,0.24429297760573454,0.10552872927735472,2.124683613681187,-0.05630483723210433,1262.9851628279444,0.5802880672985722
elastic_net_score_weighted,2025,250,0.2178174091766909,0.20294995758520468,1.0794607080399745,-0.20694637944457817,15447.63895335605,4.400222699388972
elastic_net_top20_equal_weight,2025,250,0.2608414114467599,0.20499137689682864,1.2415707136424154,-0.19964957538610206,18751.87578543681,4.957949959343867
