as_of_date,solver_status,objective_value,predicted_alpha_proxy,predicted_variance,predicted_volatility,one_way_turnover,positions,maximum_weight,maximum_sector_weight
2020-01-31,optimal,0.020422391899792645,0.029560997628677067,0.018277211457768842,0.13519323747055118,,21,0.04999900000000002,0.2000159999999999
2020-02-28,optimal,0.01548233291272643,0.029591305996402174,0.02321764614214684,0.1523733774061166,0.25001500230087953,21,0.04999900083012811,0.24999499971064115
2020-03-31,optimal,-0.022703243837691022,0.027805115357719044,0.09599834455060798,0.30983599621510727,0.25091869270590056,21,0.04999900009077863,0.16838635355146997
2020-04-30,optimal,-0.02366614649072071,0.02810328824596866,0.09790637653429529,0.31289994652331804,0.2816246472670517,21,0.04999899999779749,0.2316256470355793
2020-05-29,optimal,-0.02261981632200381,0.027953817452649285,0.09814692704324582,0.31328409956977676,0.15001699934059165,21,0.04999900138740707,0.24999500593661425
2020-06-30,optimal,-0.033510932436997015,0.027550783777326487,0.11577312240823924,0.3402544965290529,0.3175154922477198,22,0.049999001128281984,0.24999900041659978
2020-07-31,optimal,-0.02760978457556928,0.02741232762411297,0.10568734653693335,0.3250959035991277,0.2178438883241584,21,0.04999900022404294,0.16784888794431874
2020-08-31,optimal,-0.022149280747577257,0.02737018555936202,0.09478902549574027,0.30787826408458957,0.21249535216975443,22,0.04999900073810057,0.19999600109554905
2020-09-30,optimal,-0.024335729767250156,0.026553166150787948,0.0977256281388148,0.3126109853137199,0.20260818492948685,22,0.0499990001576592,0.21578018821053224
2020-10-30,optimal,-0.021973791866148767,0.026944438330378843,0.09418372142609002,0.3068936646887485,0.1826369483114742,22,0.0499990000491106,0.24999500005402747
2020-11-30,optimal,-0.02852363106913052,0.02677098203868937,0.10603951792438347,0.32563709543659713,0.22748541385814233,21,0.04999900013482051,0.2433237471535065
2020-12-31,optimal,-0.03595242782025757,0.027558022339729347,0.12202099952869733,0.3493150433758863,0.24999499851240387,21,0.04999900036311454,0.20001599423436703
