model_name,as_of_date,observations,ic,q1_mean_excess_return,q2_mean_excess_return,q3_mean_excess_return,q4_mean_excess_return,q5_mean_excess_return,top_bottom_spread,top_quintile_precision,top_quintile_turnover
core_percentile_ensemble,2020-01-31,50,0.02718344057807908,-0.019223887865307245,0.007307697353477682,0.018239361422021927,0.005528489369056799,0.0069991755931967155,0.026223063458503962,0.2,
core_percentile_ensemble,2020-02-28,50,-0.11661303706862935,0.0206013626231362,-0.03200306293044971,0.04272268507720994,0.021502040689348557,-0.05774596298563319,-0.07834732560876939,0.1,0.5
core_percentile_ensemble,2020-03-31,50,0.16740724035891305,-0.019765017109026884,-0.0015825610670098466,0.020892325301006997,0.0022713909198755823,0.04150313007636593,0.06126814718539281,0.2,0.4
core_percentile_ensemble,2020-04-30,50,0.2294058407388977,0.005195651967476933,0.0023172957153263394,-0.005260051975662228,0.029371363593502297,0.043577677770887814,0.03838202580341088,0.5,0.5
core_percentile_ensemble,2020-05-29,50,0.20360720228233378,0.007122157322686384,-0.0004799940804844693,0.03257890996502866,0.02423929423416248,0.04304550306369505,0.035923345741008667,0.5,0.6
core_percentile_ensemble,2020-06-30,50,-0.0791047303603946,0.017020753191308424,0.004392454514081256,0.03332472045451347,0.023264761053500116,-0.013606602981016746,-0.03062735617232517,0.3,0.4
core_percentile_ensemble,2020-07-31,50,-0.12542332986431046,0.005841395273694594,0.015643627754997346,-0.011206626552429788,-0.016795440289794017,0.0595663620684345,0.053724966794739905,0.2,0.5
core_percentile_ensemble,2020-08-31,50,0.1869055730599891,-0.03535046685249427,-0.028879093002747113,0.0021437369036021226,-0.007572121347749883,-0.023265714559184934,0.012084752293309332,0.1,0.5
core_percentile_ensemble,2020-09-30,50,0.07094140454332863,-0.016586758793308287,0.007507885589173158,0.012844492557976272,0.016303613650349224,-0.006420647930916901,0.010166110862391387,0.1,0.7
core_percentile_ensemble,2020-10-30,50,-0.10813798089908212,0.06888625483280894,-0.027992571973871793,0.05927130946678126,0.01434532629649552,0.017853393937143292,-0.05103286089566565,0.1,0.30000000000000004
core_percentile_ensemble,2020-11-30,50,0.026040794807805034,-0.0005313131749524191,0.006418289507494135,-0.00659782362862027,0.008935791493083189,0.024112670190770857,0.024643983365723276,0.3,0.5
core_percentile_ensemble,2020-12-31,50,0.19951969835679564,-0.012124438548917416,-0.032093777222568384,0.024144692562969285,0.00043685047895074546,0.017472822663333533,0.02959726121225095,0.3,0.30000000000000004
core_percentile_ensemble,2021-01-29,50,0.12290771402079528,0.0012755031012983032,0.04031523010456073,0.014003982288907913,0.005350884711229753,0.04640256051219679,0.04512705741089849,0.4,0.4
