strategy_name,start_date,end_date,trading_days,rebalances,initial_capital,final_portfolio_value,preliminary_total_return,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,mean_holdings,minimum_holdings,maximum_holdings,maximum_absolute_cash,maximum_absolute_cash_weight
alpha_risk_turnover,2020-02-03,2026-06-30,1610,77,1000000.0,3445326.3420354966,2.4453263420354965,39028.737777649,75656641.48262064,0.5105777139829167,0.2619074396770168,21.401242236024846,21,23,0.00784188114198514,3.3760791387612483e-09
cvar,2020-02-03,2026-06-30,1610,77,1000000.0,3288685.2266263985,2.2886852266263986,31302.259949373612,60689100.08107729,0.42888057937821206,0.2210377906608488,23.396273291925464,21,25,1.0358689905842766e-08,9.971349040087217e-15
median_mad_de,2020-02-03,2026-06-30,1610,77,1000000.0,3611485.121311185,2.611485121311185,43920.972431088434,85124168.66447785,0.581441329938686,0.2973575715309161,21.288198757763976,21,22,9.67941105045611e-09,1.2991404306198735e-14
score_weighted,2020-02-03,2026-06-30,1610,77,1000000.0,4040172.810593051,3.0401728105930506,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,25.0,25,25,1.0109431514138123e-08,6.0592082960476274e-15
top_n_equal_weight,2020-02-03,2026-06-30,1610,77,1000000.0,3800724.2968242173,2.8007242968242174,37921.48231667547,73629944.631301,0.470314419458003,0.2417651989986968,25.0,25,25,9.729774319566786e-09,1.2044931844724405e-14
