model_name,transitions,valid_turnover_transitions,mean_top_quintile_turnover,median_top_quintile_turnover,maximum_top_quintile_turnover,mean_top_quintile_overlap,mean_absolute_percentile_change
constant,76,0,,,,,
elastic_net,76,76,0.3210526315789474,0.3,0.7000000000000001,0.6789473684210526,0.13489473684210526
equal_weight_composite,76,76,0.44999999999999996,0.49999999999999994,0.7000000000000001,0.5499999999999999,0.17974736842105266
momentum_3m,76,76,0.44078947368421045,0.44999999999999996,0.8000000000000002,0.5592105263157895,0.17829473684210526
ridge,76,76,0.3789473684210526,0.39999999999999997,0.7000000000000001,0.6210526315789475,0.15165263157894734
