model_name,quintile,months,mean_target,median_month_target,std_month_target,positive_month_ratio
elastic_net,1,77,-0.00013001101976973514,0.0017964307143210512,0.01927286564491601,0.5194805194805194
elastic_net,2,77,-0.0007419557198140268,-0.0020489312673503957,0.01981612517987288,0.4805194805194805
elastic_net,3,77,-0.001023160447262967,0.0005112607852632456,0.018132423965840836,0.5064935064935064
elastic_net,4,77,0.007802156112506039,0.00823166065614308,0.019268656266177738,0.6493506493506493
elastic_net,5,77,0.016597769038568532,0.01635762356700583,0.04244129004310046,0.6753246753246753
equal_weight_composite,1,77,0.0006200085920951908,0.0011000098408526005,0.022005386037361938,0.5064935064935064
equal_weight_composite,2,77,2.380190610682284e-05,-0.0030161362333972043,0.02102040946248648,0.45454545454545453
equal_weight_composite,3,77,0.0023808789937134786,0.004243165404308735,0.02168741429818153,0.6103896103896104
equal_weight_composite,4,77,0.007879247812905804,0.006739061437149208,0.01978549182390449,0.6233766233766234
equal_weight_composite,5,77,0.01160086065940654,0.0059448544343911666,0.03815998515503737,0.6233766233766234
momentum_3m,1,77,0.005070128905684746,0.006444949924740717,0.034161598078269524,0.5844155844155844
momentum_3m,2,77,0.006565282984884371,0.007706291820710254,0.017961140958694794,0.6233766233766234
momentum_3m,3,77,0.0037115358405050937,0.0028972589139274808,0.020666728550825634,0.5844155844155844
momentum_3m,4,77,-0.0024578706676994535,-0.00045091752279453613,0.02044511627639447,0.4935064935064935
momentum_3m,5,77,0.00961572090085308,0.008216526718546035,0.03560657911898332,0.6233766233766234
ridge,1,77,0.00038774765694327227,0.002136238690999004,0.018551138248139965,0.5324675324675324
ridge,2,77,-0.002157557760698504,-0.005165028615280754,0.019178320849819106,0.4155844155844156
ridge,3,77,0.0030305361198644637,0.004017175381160176,0.0177899312127302,0.5844155844155844
ridge,4,77,0.005862567423874403,0.0046800746534008675,0.02009371578006889,0.5714285714285714
ridge,5,77,0.015381504524244203,0.012430569165595585,0.04006653401556451,0.6623376623376623
