as_of_date,assets,observations,window_start_date,window_end_date,shrinkage,minimum_eigenvalue,maximum_eigenvalue,sample_condition_number,shrinkage_condition_number,mean_pairwise_correlation,median_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation
2020-01-31,50,252,2019-02-01,2020-01-31,0.05686679593833159,0.005288431109841001,0.8271928837984657,358.0425370904893,156.41555437097077,0.2713662805096656,0.2726473161927005,0.8288121203155432,-0.2545164938190484
2020-02-28,50,252,2019-03-01,2020-02-28,0.05646062473592439,0.005938179948680316,1.055437781980836,418.87750638047686,177.73758813344674,0.32126559241649855,0.3239826262911967,0.838814936659164,-0.16984090944886823
2020-03-31,50,252,2019-04-02,2020-03-31,0.09688544510356564,0.01869658525841748,4.527249328886393,1543.3486338606767,242.1431114993678,0.5418012135843053,0.5491526646350621,0.8721019773734837,0.1079404015220016
2020-04-30,50,252,2019-05-02,2020-04-30,0.07689268663267805,0.017629819816556,5.309156287645415,1523.2338380231906,301.146372616901,0.5630739188381498,0.5772550784682944,0.8952875773588334,0.12670314254582063
2020-05-29,50,252,2019-05-31,2020-05-29,0.07337048759301885,0.01777204044621179,5.472594983258068,1426.6179520219503,307.9328454051866,0.5588783774256286,0.5719101951616162,0.9017989691057428,0.1217528951932187
2020-06-30,50,252,2019-07-02,2020-06-30,0.06648165444949121,0.01771559609590832,5.829026134390654,1287.841074007759,329.03358728848656,0.5696389621961465,0.5822474243245249,0.9098026532280679,0.12504775144860472
2020-07-31,50,252,2019-08-02,2020-07-31,0.06569138995558639,0.017901737672569418,5.876794139231759,1279.1316237455696,328.28065334890454,0.5631460323712593,0.5774743863783741,0.909708825507821,0.12996197012178015
2020-08-31,50,252,2019-09-03,2020-08-31,0.06996572794867649,0.01879445069611139,5.673399615432519,1209.8492372525277,301.86567871368396,0.5467327976409474,0.5616164699643161,0.905430463430313,0.1251882346418989
2020-09-30,50,252,2019-10-02,2020-09-30,0.06621160335569463,0.018429844491933405,5.862868915674336,1263.8635831263598,318.11819780901936,0.5508200242037766,0.5645166417313927,0.9073464518252767,0.1451409728859753
2020-10-30,50,252,2019-11-01,2020-10-30,0.0638019212100226,0.018184694750345416,5.985629002483064,1270.0675164476636,329.15751870783475,0.5551735237002129,0.5710547244299239,0.9053035572097027,0.15343221199830234
2020-11-30,50,252,2019-12-02,2020-11-30,0.062200040113311234,0.01914502514669916,6.129912625678401,1147.9791091674033,320.18305427690933,0.540539722676805,0.5539828028238185,0.9116132843454394,0.11100231697449521
2020-12-31,50,252,2020-01-03,2020-12-31,0.062242534419788574,0.019294468097835093,6.126736686866186,1152.768105113864,317.5385118573764,0.5348287439578958,0.5504100919877416,0.9109111990346668,0.09676540827689432
