model_name,feature,mean_coefficient,mean_absolute_coefficient,nonzero_ratio
elastic_net,fund__book_to_market_missing,0.004136507712052092,0.004136507712052092,0.3246753246753247
elastic_net,fund__sales_yield_zscore,-0.003690941038669255,0.003690941038669255,0.7662337662337663
elastic_net,tech__distance_sma_200d_sector_neutral,0.0035176035165795766,0.0035176035165795766,0.5064935064935064
elastic_net,tech__max_drawdown_126d_sector_neutral,-0.00326553595041941,0.00326553595041941,0.8181818181818182
elastic_net,tech__sma_50_200_spread_sector_neutral,-0.0029358749734978823,0.0029358749734978823,0.3246753246753247
elastic_net,tech__distance_sma_50d_sector_neutral,-0.0028056127128504994,0.0028056127128504994,0.5844155844155844
elastic_net,fund__revenue_growth_acceleration_missing,-0.002718317031316451,0.002718317031316451,0.5844155844155844
elastic_net,fund__sales_yield_sector_zscore,0.002271520687193787,0.002271520687193787,0.8181818181818182
elastic_net,tech__momentum_6_1_sector_neutral,0.0021083741809077763,0.0021083741809077763,0.7792207792207793
elastic_net,fund__operating_cash_flow_growth_yoy_missing,-0.0018006941333050873,0.0018006941333050873,0.4025974025974026
elastic_net,tech__amihud_illiquidity_20d_sector_neutral,0.0016627376498026323,0.0016627376498026323,0.7012987012987013
elastic_net,fund__earnings_yield_zscore,0.0015819390072636774,0.0015819390072636774,0.6623376623376623
elastic_net,fund__current_ratio_zscore,0.0015335485242284417,0.0015335485242284417,0.8181818181818182
elastic_net,fund__book_to_market_zscore,-7.675705920901693e-05,0.0014336463706222536,0.4155844155844156
elastic_net,tech__average_dollar_volume_20d_sector_neutral,0.001127843623194113,0.001127843623194113,0.6233766233766234
elastic_net,fund__net_margin_sector_zscore,-0.0010440362596864767,0.0010440362596864767,0.7402597402597403
elastic_net,fund__operating_margin_zscore,0.0010288542310264114,0.0010288542310264114,0.5064935064935064
elastic_net,fund__interest_coverage_missing,-0.001024758011050479,0.001024758011050479,0.5194805194805194
elastic_net,fund__net_income_growth_acceleration_zscore,0.0009376741029584237,0.0009824026420631167,0.6363636363636364
elastic_net,tech__volatility_60d_sector_neutral,0.0009718246580609548,0.0009718246580609548,0.8961038961038961
elastic_net,fund__operating_margin_missing,0.000955066907421396,0.000955066907421396,0.3246753246753247
elastic_net,fund__cash_conversion_zscore,-0.000934160714370329,0.000934160714370329,0.6103896103896104
elastic_net,fund__roe_missing,0.0009223002498402223,0.0009223002498402223,0.3246753246753247
elastic_net,fund__earnings_yield_missing,-0.0008979473881128722,0.0008979473881128722,0.07792207792207792
elastic_net,fund__current_ratio_missing,-0.0008542894959812155,0.0008542894959812155,0.22077922077922077
elastic_net,fund__capex_to_assets_zscore,-0.0008465749860925113,0.0008465749860925113,0.7012987012987013
elastic_net,fund__roa_missing,0.0008038944015233916,0.0008038944015233916,0.11688311688311688
elastic_net,fund__operating_cash_flow_growth_acceleration_missing,0.0007576044489454729,0.0007576044489454729,0.23376623376623376
