as_of_date,cross_section_size,quintile_size,information_coefficient,top_bottom_spread,top_quintile_precision,top_quintile_mean_target,bottom_quintile_mean_target
2020-01-31,50,10,0.16619447779111643,0.044515921068996996,0.3,0.03252309319263373,-0.011992827876363266
2020-02-28,50,10,-0.15361344537815122,-0.05364747453425771,0.1,-0.05217782438925197,0.0014696501450057408
2020-03-31,50,10,0.2217046818727491,0.05802195424715212,0.2,0.0340582228330764,-0.023963731414075717
2020-04-30,50,10,0.06362545018007203,0.019929431394181442,0.5,0.04302527625631836,0.023095844862136915
2020-05-29,50,10,0.2552220888355342,0.05857174437878048,0.6,0.06336632911539837,0.004794584736617891
2020-06-30,50,10,-0.2188235294117647,-0.017883627294153683,0.3,0.0048879029912185625,0.022771530285372245
2020-07-31,50,10,-0.022713085234093634,0.058772467497112596,0.3,0.06326977122698972,0.0044973037298771225
2020-08-31,50,10,0.023865546218487393,-0.00785253537893553,0.1,-0.04775064012685012,-0.03989810474791459
2020-09-30,50,10,0.060168067226890755,0.023995828766922477,0.2,0.0021346296652510087,-0.021861199101671468
2020-10-30,50,10,-0.042881152460984395,0.014475838755694557,0.1,0.04000681827624077,0.025530979520546216
2020-11-30,50,10,0.219015606242497,0.06042911903195956,0.4,0.038098317763572795,-0.02233080126838677
2020-12-31,50,10,0.39246098439375754,0.08127607298221062,0.3,0.03458692684914334,-0.04668914613306728
2021-01-29,50,10,-0.05584633853541416,-0.044288804378240516,0.3,0.012257949957014102,0.05654675433525462
2021-02-26,50,10,-0.43289315726290517,-0.07473493521143217,0.2,-0.051754341282380135,0.02298059392905203
2021-03-31,50,10,0.0710204081632653,0.017565304278653094,0.2,0.01175059124862502,-0.005814713030028074
2021-04-30,50,10,-0.05959183673469387,-0.01424819033329562,0.2,-0.016880849968191048,-0.002632659634895429
2021-05-28,50,10,0.47851140456182467,0.0725003352480845,0.3,0.05658553145925732,-0.015914803788827182
2021-06-30,50,10,-0.11375750300120048,-0.01939973513106128,0.3,-0.011895924196162444,0.007503810934898836
2021-07-30,50,10,0.3561584633853541,0.03730384401221901,0.3,0.022261212883839653,-0.015042631128379358
2021-08-31,50,10,0.027515006002400956,-0.015544024586618441,0.2,0.023407852152385823,0.038951876739004264
2021-09-30,50,10,0.2772148859543817,0.08743237487116576,0.4,0.06673139839417921,-0.020700976476986543
2021-10-29,50,10,0.23764705882352938,0.04621792854708676,0.3,0.036989463613353625,-0.009228464933733138
2021-11-30,50,10,-0.2715486194477791,-0.0649794645355048,0.1,-0.04491629040708075,0.020063174128424045
2021-12-31,50,10,-0.0670828331332533,0.01235459352657885,0.4,0.024644203047374347,0.012289609520795497
2022-01-31,50,10,-0.12614645858343337,-0.030831037439145427,0.2,-0.0013216460835013156,0.02950939135564411
2022-02-28,50,10,0.15486194477791115,0.049223154417891345,0.5,0.04607015445441639,-0.003152999963474956
2022-03-31,50,10,-0.2567587034813925,-0.06704570841815963,0.0,-0.08532873624351507,-0.018283027825355437
2022-04-29,50,10,0.05623049219687875,0.018880344956098437,0.2,0.00949846436600762,-0.009381880590090819
2022-05-31,50,10,-0.2173829531812725,-0.043917833814812714,0.1,-0.011920943545749319,0.0319968902690634
2022-06-30,50,10,0.32206482593037217,0.04098060253924572,0.3,0.01658733194167402,-0.024393270597571702
2022-07-29,50,10,-0.008403361344537815,0.008966908468824752,0.1,-0.004848317811997349,-0.013815226280822102
2022-08-31,50,10,-0.05911306395614919,-0.014781521152893329,0.2,-0.0038789232126086315,0.010902597940284697
2022-09-30,50,10,0.010660776039952616,-0.0058090123672127954,0.2,0.005506468188873648,0.011315480556086444
2022-10-31,50,10,0.36261044989946944,0.07652050478542197,0.3,0.02801842256592142,-0.048502082219500545
2022-11-30,50,10,-0.26050420168067223,-0.05894448666749115,0.1,-0.056420915137777874,0.0025235715297132755
2022-12-30,50,10,0.40475390156062424,0.1383112493062753,0.4,0.08730431581511533,-0.051006933491159964
2023-01-31,50,10,-0.11202881152460985,0.009767497769772947,0.3,0.030189945861474953,0.020422448091702006
2023-02-28,50,10,-0.06276110444177671,-0.01581144647413755,0.2,0.007028804005003664,0.022840250479141212
2023-03-31,50,10,-0.2619447779111645,-0.017506972535842602,0.2,-0.03075820437403968,-0.013251231838197075
2023-04-28,50,10,0.23879951980792313,0.06096048327165781,0.2,0.0805573207292731,0.019596837457615292
2023-05-31,50,10,0.08225690276110444,0.021246592844063064,0.3,0.012261271547660258,-0.008985321296402804
2023-06-30,50,10,0.33935174069627844,0.05723262007859662,0.4,0.03772766821265562,-0.019504951865941
2023-07-31,50,10,-0.24878751500600238,-0.028833375422651207,0.2,-0.013920891530280699,0.01491248389237051
2023-08-31,50,10,-0.12316926770708284,-0.019928685411101175,0.0,-0.0058929943299913965,0.01403569108110978
2023-09-29,50,10,-0.006674669867947179,0.006612351045399135,0.2,0.008463134636608994,0.0018507835912098592
2023-10-31,50,10,0.21027611044417766,0.023327643780712323,0.4,0.014339504480975051,-0.008988139299737274
2023-11-30,50,10,0.018391356542617046,-0.020161617711347057,0.3,-0.011586266084981168,0.00857535162636589
2023-12-29,50,10,-0.07947178871548619,-0.01543056177191735,0.3,0.0019195008892818554,0.017350062661199206
2024-01-31,50,10,0.2444657863145258,0.04313193861723229,0.2,0.013475752754522929,-0.02965618586270936
2024-02-29,50,10,0.13267707082833133,0.005466747899447966,0.2,-0.005434865666496413,-0.01090161356594438
2024-03-28,50,10,0.1901080432172869,0.026358231986124258,0.2,0.00686809149934392,-0.019490140486780338
2024-04-30,50,10,0.10885954381752701,0.0637904073811034,0.4,0.05769538731545341,-0.006095020065650003
2024-05-31,50,10,0.23217286914765903,0.07236277218877862,0.3,0.06388290262303367,-0.008479869565744947
2024-06-28,50,10,-0.11500600240096039,-0.04306492049598951,0.3,-0.02484058435432799,0.018224336141661523
2024-07-31,50,10,-0.17963985594237694,-0.034103637800127394,0.2,-0.018720819341674477,0.015382818458452917
2024-08-30,50,10,0.018871548619447776,0.0066866668616640595,0.3,0.01192127467666081,0.00523460781499675
2024-09-30,50,10,0.1940456182472989,0.04516343780563947,0.4,0.03909847975986817,-0.006064958045771307
2024-10-31,50,10,-0.0007202881152460984,0.021671067567579517,0.2,0.01487471255768904,-0.006796355009890476
2024-11-29,50,10,0.04883553421368547,0.05012234024165711,0.2,0.06129881794073102,0.011176477699073905
2024-12-31,50,10,0.06132052821128451,-0.017787614986082535,0.4,-0.005678914477678621,0.012108700508403913
2025-01-31,50,10,-0.24523409363745496,-0.05795005810797252,0.2,-0.03287299985572174,0.02507705825225077
2025-02-28,50,10,-0.44768307322929174,-0.059360134054761135,0.2,-0.021153701846059792,0.038206432208701346
2025-03-31,50,10,0.08004801920768306,0.061604271088628086,0.5,0.08131409027210038,0.01970981918347229
2025-04-30,50,10,0.2226650660264106,0.018226176808530094,0.4,0.02488594886261535,0.006659772054085256
2025-05-30,50,10,0.4713085234093637,0.05872460970041743,0.3,0.01700191082724397,-0.04172269887317346
2025-06-30,50,10,-0.046626650660264106,-0.021895780886116368,0.3,-0.011587721966627662,0.010308058919488706
2025-07-31,50,10,0.010948642227458989,0.0006623636888219986,0.2,0.015823941331739155,0.015161577642917156
2025-08-29,50,10,-0.005810324129651861,0.04739076987959077,0.3,0.046045166431510444,-0.0013456034480803236
2025-09-30,50,10,0.35779111644657857,0.06572240411841639,0.4,0.03999158725385068,-0.025730816864565707
2025-10-31,50,10,-0.05671068427370948,-0.021012663795467623,0.2,-0.04008869972128661,-0.01907603592581899
2025-11-28,50,10,0.2575270108043217,0.024361916979380505,0.3,0.012784570200870982,-0.011577346778509523
2025-12-31,50,10,-0.11001200480192078,-0.0023024765373940922,0.3,-0.028514040542427187,-0.026211564005033095
2026-01-30,50,10,-0.24523409363745496,-0.05535350944016606,0.1,-0.036322939275777275,0.019030570164388784
2026-02-27,50,10,-0.043745498199279705,0.015113479335742298,0.1,0.014570837303294415,-0.000542642032447882
2026-03-31,50,10,0.2533973589435774,0.09230959285774906,0.3,0.1171309173610483,0.02482132450329925
2026-04-30,50,10,0.1569747899159664,0.05488793493710972,0.2,0.07510073324648596,0.020212798309376234
2026-05-29,50,10,-0.21469387755102037,-0.06699230486349964,0.2,-0.03824239089266797,0.028749913970831674
