model_name,as_of_date,observations,valid_ranking,unique_predictions,prediction_mean,prediction_std,target_mean,rmse,mae,information_coefficient,top_mean_target,bottom_mean_target,top_bottom_spread,top_quintile_precision,quintile_monotonicity,predicted_top_count,actual_top_count
constant,2020-01-31,50,False,1,0.001282948294392225,0.0,0.003770167174489176,0.06456340298390009,0.0444781759130821,,,,,,,0,10
elastic_net,2020-01-31,50,True,50,0.0012693632879080775,0.005877474623964112,0.003770167174489176,0.06377666973728248,0.044247350262535755,0.05642256902761104,0.01635762356700583,-0.0022863956190222632,0.018644019186028093,0.2,0.8999999999999998,10,10
equal_weight_composite,2020-01-31,50,True,50,0.0018181558593532282,0.347538934307165,0.003770167174489176,0.3552180791131233,0.2694100964410379,-0.039711884753901555,-0.006399560021175243,-0.007792153993452266,0.001392593972277023,0.1,0.09999999999999999,10,10
momentum_3m,2020-01-31,50,True,50,-0.0014574749495532436,0.9024861116736665,0.003770167174489176,0.8814293049266487,0.5965249086905983,0.09819927971188475,0.05436082606206762,-0.01227153946236621,0.06663236552443383,0.3,0.3,10,10
ridge,2020-01-31,50,True,50,0.0012730031102250589,0.0062265991105702415,0.003770167174489176,0.0637335062836623,0.04425725238364124,0.04969987995198079,0.01635762356700583,-0.0022863956190222632,0.018644019186028093,0.2,0.7999999999999999,10,10
constant,2020-02-28,50,False,1,0.001282948294392225,0.0,-0.000984587505277641,0.11297151616140606,0.08877642669383944,,,,,,,0,10
elastic_net,2020-02-28,50,True,50,0.0011817704044669362,0.006241254136286466,-0.000984587505277641,0.1144369573132312,0.08923434189500046,-0.05085234093637454,-0.006801450764186634,0.01695222836979595,-0.023753679133982585,0.3,-0.7999999999999999,10,10
equal_weight_composite,2020-02-28,50,True,50,0.002985368724564513,0.31188289152333487,-0.000984587505277641,0.35276348635565535,0.276926400138789,-0.14372148859543818,-0.03751850926761023,0.028048064603167278,-0.06556657387077751,0.2,-0.8999999999999998,10,10
momentum_3m,2020-02-28,50,True,50,-0.005675257379402834,0.8562515193056565,-0.000984587505277641,0.873113446600222,0.5892815016518889,-0.07774309723889555,-0.0016959235617416192,0.005963980348713293,-0.007659903910454912,0.1,-0.6,10,10
ridge,2020-02-28,50,True,50,0.0011705176576487265,0.0065309898665543145,-0.000984587505277641,0.11448993314805357,0.08924557639138335,-0.04835534213685474,-0.0005914665668347308,0.005835310340871402,-0.006426776907706133,0.3,-0.6,10,10
constant,2020-03-31,50,False,1,0.0012859169846682666,2.168404344971009e-19,0.008663853624242355,0.09421307091160855,0.06549798498209718,,,,,,,0,10
elastic_net,2020-03-31,50,True,50,0.0012507409589310639,0.005538924950037346,0.008663853624242355,0.09174321593139544,0.06462075398755579,0.2527250900360144,0.08111525974536034,-0.03339219291098748,0.11450745265634782,0.4,0.7,10,10
equal_weight_composite,2020-03-31,50,True,50,0.005795261657984051,0.38758660806965145,0.008663853624242355,0.3784205581697663,0.27626147577587745,0.23774309723889556,0.06649348157041968,-0.005169765158650974,0.07166324672907065,0.4,0.8999999999999998,10,10
momentum_3m,2020-03-31,50,True,50,0.010129481422140851,0.7067748723253863,0.008663853624242355,0.6984985198949895,0.5576698901452617,-0.045570228091236495,0.0534439834295662,-0.010689981689518646,0.06413396511908485,0.3,0.3,10,10
ridge,2020-03-31,50,True,50,0.0012502321598747302,0.005549685242073271,0.008663853624242355,0.0917385230507531,0.06462046095809365,0.2523409363745498,0.08111525974536034,-0.03339219291098748,0.11450745265634782,0.4,0.7,10,10
constant,2020-04-30,50,False,1,0.0013842894731959212,0.0,0.01504038741430623,0.05847276003573259,0.04451527711039677,,,,,,,0,10
elastic_net,2020-04-30,50,True,50,0.0013476779913813605,0.0036480751144848046,0.01504038741430623,0.05837498981073789,0.04445804891025567,-0.018391356542617046,0.02352409362558653,0.03075102123903466,-0.00722692761344813,0.3,-0.39999999999999997,10,10
equal_weight_composite,2020-04-30,50,True,50,0.007788878286477155,0.2903979100855689,0.01504038741430623,0.28420601450432725,0.21273020617276703,0.1415126050420168,0.052728897434404155,0.01566748625775668,0.03706141117664748,0.5,0.3,10,10
momentum_3m,2020-04-30,50,True,50,0.0030158655138389336,0.6975269577913409,0.01504038741430623,0.6987496231379958,0.5343072739787642,-0.03932773109243697,0.022017779025672823,0.02241903539203277,-0.00040125636635994846,0.2,-0.39999999999999997,10,10
ridge,2020-04-30,50,True,50,0.0013592110183234744,0.0034411963857412884,0.01504038741430623,0.058315500938843016,0.04440384457798667,-0.007923169267707083,0.02352409362558653,0.03075102123903466,-0.00722692761344813,0.3,-0.3,10,10
constant,2020-05-29,50,False,1,0.0013842894731959212,0.0,0.021301174101017617,0.06212532000546891,0.04217364858730592,,,,,,,0,10
elastic_net,2020-05-29,50,True,50,0.0014625458043457029,0.004645031971141213,0.021301174101017617,0.06051949880106298,0.04097327112361024,0.3252340936374549,0.04503390365972525,0.0022264440826975096,0.04280745957702774,0.4,0.8999999999999998,10,10
equal_weight_composite,2020-05-29,50,True,50,0.011523904958058294,0.2797928704409093,0.021301174101017617,0.2949015830304329,0.2255860477156082,-0.021176470588235297,0.01769713721862042,0.04390480138369436,-0.026207664165073943,0.3,-0.09999999999999999,10,10
momentum_3m,2020-05-29,50,True,50,0.0050915516508025106,0.6743367135169943,0.021301174101017617,0.6642056223073445,0.5454413923147241,0.19980792316926768,0.04631169076792853,0.005921873957043866,0.04038981681088466,0.3,0.8999999999999998,10,10
ridge,2020-05-29,50,True,50,0.0014629286278672298,0.004435658674548408,0.021301174101017617,0.0606318820695079,0.041078456617117835,0.30669867947178864,0.04503390365972525,0.0022264440826975096,0.04280745957702774,0.4,0.8999999999999998,10,10
constant,2020-06-30,50,False,1,0.0018203022338314021,2.168404344971009e-19,0.012879217246477304,0.08416321923226422,0.059454576328993466,,,,,,,0,10
elastic_net,2020-06-30,50,True,50,0.0017787158184747673,0.005432145480775799,0.012879217246477304,0.08410063409447388,0.059993031942855185,-0.0885954381752701,0.013388878912530133,0.021405580559526682,-0.00801670164699655,0.3,-0.6,10,10
equal_weight_composite,2020-06-30,50,True,50,0.007292863671437686,0.3496098733482981,0.012879217246477304,0.37893869824889326,0.29449764911092907,-0.25090036014405764,-0.028789264657974635,0.02088432588795445,-0.04967359054592908,0.1,-0.6,10,10
momentum_3m,2020-06-30,50,True,50,-0.005366911243100629,0.6937091396153118,0.012879217246477304,0.6632567671731249,0.49182404183918893,0.2302521008403361,0.04134732944413165,-0.028614747555042085,0.06996207699917373,0.3,0.8999999999999998,10,10
