as_of_date,solver_status,objective_value,predicted_alpha_proxy,predicted_variance,predicted_volatility,one_way_turnover,portfolio_beta_vs_spy,maximum_position_adv_fraction,positions,maximum_weight,maximum_sector_weight,scenario
2020-01-31,optimal,0.020422391899792645,0.029560997628677067,0.018277211457768845,0.13519323747055118,,1.0955139388923962,0.0002030454231681009,21,0.049999000000000016,0.20001599999999997,alpha_risk_turnover_no_penalty
2020-02-28,optimal,0.01831574801492096,0.029353185626068888,0.022074875101212962,0.14857615926255788,0.33323182613387625,1.0692182325576989,0.00017335302265594304,21,0.04999900198459974,0.24999500449331058,alpha_risk_turnover_no_penalty
2020-03-31,optimal,-0.019800295512025765,0.02827261062259196,0.09614581239815542,0.31007388216061577,0.33321182371377456,1.0933082844127606,0.0001444252824980156,21,0.04999899993649383,0.19636980270424104,alpha_risk_turnover_no_penalty
2020-04-30,optimal,-0.020810314083321832,0.027696082979429833,0.09701279404555169,0.311468768972993,0.3036202047608606,1.0146932369728965,0.00014594996195193711,21,0.04999900038832192,0.24913173323261184,alpha_risk_turnover_no_penalty
2020-05-29,optimal,-0.021119646614481437,0.027953817393822425,0.09814692796283041,0.3132841010374296,0.1508802642055132,1.0063916449846817,0.0001379350619700269,21,0.04999900067646262,0.24999500228826524,alpha_risk_turnover_no_penalty
2020-06-30,optimal,-0.03033577761288234,0.027550783766812446,0.11577312254666977,0.3402544967324749,0.3175154921034521,1.0651352872773407,0.00018859623499671457,22,0.049999000650606834,0.24999900035216027,alpha_risk_turnover_no_penalty
2020-07-31,optimal,-0.02517866218232669,0.02861204510595316,0.10758141446910263,0.3279960586182441,0.2793416821177535,1.0201780297292409,0.00022336613064606638,22,0.049999001661805584,0.18491983655315983,alpha_risk_turnover_no_penalty
2020-08-31,optimal,-0.019626513121102623,0.02693842026491258,0.09312986698763641,0.30517186467241114,0.28445496608102755,0.9643990781117686,0.00024234970459938567,21,0.04999899985774658,0.1999959981072238,alpha_risk_turnover_no_penalty
2020-09-30,optimal,-0.022023381523607496,0.02652736038842974,0.09710148380839231,0.31161110989243035,0.24999501001960572,0.954047564036933,0.00025931836820394934,21,0.049999000195069386,0.2499950002188605,alpha_risk_turnover_no_penalty
2020-10-30,optimal,-0.02003396698037683,0.02703018106787715,0.09412829622189216,0.3068033510604018,0.24303892306761452,0.9288756207625547,0.00020964850651166136,22,0.04999900001722428,0.24999499998615643,alpha_risk_turnover_no_penalty
2020-11-30,optimal,-0.026237494532870533,0.026632367233664488,0.10573972346878852,0.32517644974504,0.23018694468793702,0.9765719351011004,0.0002156000553825829,21,0.049999000633936544,0.2479897007052973,alpha_risk_turnover_no_penalty
2020-12-31,optimal,-0.03315777328292029,0.02794344965055691,0.1222024458551783,0.34957466420663025,0.3344684336285051,1.0645449988669364,0.00023204498795693178,23,0.04999900025507253,0.21274431837929658,alpha_risk_turnover_no_penalty
2021-01-29,optimal,-0.030502514571391373,0.026603774570643446,0.11421257765992053,0.33795351405174134,0.19999600622434965,1.021763395022387,0.00022133266947204933,21,0.049999001349727165,0.16231017600112255,alpha_risk_turnover_no_penalty
2021-02-26,optimal,-0.02794462814124935,0.02721763349059818,0.1103245232096436,0.3321513558750643,0.3130301211689157,1.0202781213528622,0.00017676641632968448,21,0.0499990012957555,0.1638178289396779,alpha_risk_turnover_no_penalty
2021-03-31,optimal,0.0036362579040362837,0.028577929884981725,0.049883343882683645,0.22334579441458852,0.31930769875697057,1.0647914093196504,0.00016979407671449518,22,0.04999900125070943,0.1999960005696247,alpha_risk_turnover_no_penalty
2021-04-30,optimal,0.011611631802990931,0.02963493570054926,0.03604660763632122,0.18985944178871172,0.22157503966387307,1.0595205030685806,0.00016958015197275227,21,0.04999900163438512,0.19999600392399808,alpha_risk_turnover_no_penalty
2021-05-28,optimal,0.012978066659849179,0.029145169575944586,0.032334205871454164,0.1798171456548406,0.2674104945713805,1.0383580700717756,0.00017573030331918514,22,0.04999899992288202,0.19999599941208593,alpha_risk_turnover_no_penalty
2021-06-30,optimal,0.016903925909582375,0.02860964125874907,0.02341143070907216,0.1530079432875044,0.3860640041651207,1.0041984116497475,0.00019592629490370028,22,0.04999899996476302,0.24999900021713217,alpha_risk_turnover_no_penalty
2021-07-30,optimal,0.01854274018485499,0.029734121871649383,0.022382763278032795,0.149608700542558,0.22661862337307948,0.9773796036459295,0.0001717726236527756,22,0.04999900162533348,0.19999600218633284,alpha_risk_turnover_no_penalty
2021-08-31,optimal,0.018106889034171826,0.030027319494895382,0.023840860817788714,0.15440486008474189,0.32825373219421516,1.026967548737338,0.00019651994451550425,21,0.04999900096998786,0.19999600234274073,alpha_risk_turnover_no_penalty
2021-09-30,optimal,0.01923791410220708,0.03010927458315019,0.021742720964255856,0.14745413173002597,0.22315417515472563,1.0635795520056588,0.00016906593637120855,22,0.049999000158213514,0.21531744826683635,alpha_risk_turnover_no_penalty
2021-10-29,optimal,0.021448987003030603,0.030228182317804973,0.017558390639878838,0.13250807764011535,0.34698502407760656,1.0272561617086995,0.0002005343015989272,21,0.049998999980875036,0.2499949994672401,alpha_risk_turnover_no_penalty
2021-11-30,optimal,0.021997984195317632,0.030281225439348344,0.016566482488653913,0.12871084837205415,0.24997499891297217,1.005515588804237,0.00020077045871634683,21,0.04999900004503383,0.1999960000050961,alpha_risk_turnover_no_penalty
2021-12-31,optimal,0.021008070101963747,0.03010159896710751,0.01818705770409506,0.13485939976173356,0.1999760073035202,0.9912713546658812,0.00015890677151918732,21,0.049999000742152695,0.24999500156749552,alpha_risk_turnover_no_penalty
2022-01-31,optimal,0.019554645547751,0.03049874640375116,0.02188820168755719,0.1479466176955634,0.29731134301291917,1.0854957689216966,0.0001176945368162503,21,0.04999900049488952,0.24999500070374564,alpha_risk_turnover_no_penalty
2022-02-28,optimal,0.01886634256852268,0.03013347752633612,0.022534269882360677,0.15011418947708,0.3026766669080386,1.058188542954584,0.00011099005256924509,21,0.04999900121417784,0.19999600205140644,alpha_risk_turnover_no_penalty
2022-03-31,optimal,0.01800150129713099,0.02869594700686031,0.021388891427854214,0.14624941513679368,0.4567613126231548,0.9644445484936061,0.00010579279721111485,22,0.04999899996744975,0.20718829347929982,alpha_risk_turnover_no_penalty
2022-04-29,optimal,0.015187432086958347,0.02836329895081287,0.026351733705525227,0.16233217088896837,0.255112436705405,0.973884353381773,0.00010589836293261343,22,0.049999000709992775,0.2499950027360234,alpha_risk_turnover_no_penalty
2022-05-31,optimal,0.012852090083615503,0.028356479474785944,0.031008778781766336,0.17609309691684777,0.3164267093120925,0.9587167257104033,0.00016044338922004096,22,0.049999000051676665,0.19999600014856753,alpha_risk_turnover_no_penalty
2022-06-30,optimal,0.009945014901472038,0.026329300654138525,0.032768571499049735,0.18102091453489494,0.34302991242336306,0.882779767251334,0.00012667292828105408,21,0.04999900028568374,0.14999700045503106,alpha_risk_turnover_no_penalty
2022-07-29,optimal,0.010167458008883568,0.02787380143777813,0.03541268686297398,0.18818258916003355,0.32961407107135354,0.8997752112502596,0.00011101117490907042,22,0.04999899998557935,0.19999599971561124,alpha_risk_turnover_no_penalty
2022-08-31,optimal,0.006995552722168168,0.025923666187000493,0.03785622692276287,0.19456676726194244,0.3139607071477443,0.9007587066935342,0.00012489147684537473,23,0.04999900018658608,0.2020063950932426,alpha_risk_turnover_no_penalty
2022-09-30,optimal,0.0075343714277611475,0.02781504293489485,0.040561343029828986,0.20139846829067243,0.3366004265198599,0.8878010550067652,0.00016864066177458572,22,0.049998999940377147,0.19999599878987323,alpha_risk_turnover_no_penalty
2022-10-31,optimal,0.004574433670052013,0.026648363899357524,0.044147860451146236,0.21011392255428063,0.3067641279378766,0.8770200330212349,0.0001740797681146715,21,0.04999900022701439,0.19999600063270678,alpha_risk_turnover_no_penalty
2022-11-30,optimal,0.0015300265176454234,0.0273182069239158,0.05157636080015974,0.22710429498395607,0.3062635964141675,0.9207107356702664,0.0001681711589936417,22,0.049999000409115237,0.14999700043081596,alpha_risk_turnover_no_penalty
2022-12-30,optimal,0.002669138825699066,0.026632671334870465,0.04792706490454915,0.21892250890337692,0.25628459341798704,0.8725971050320666,0.0001588599113335877,21,0.04999900152851144,0.1499970033298232,alpha_risk_turnover_no_penalty
2023-01-31,optimal,0.003686652460358753,0.026836952676439416,0.04630060021375004,0.2151757426239074,0.25001498664199695,0.8558731196951069,0.00016491830243114554,21,0.04999900197593445,0.14999700403656366,alpha_risk_turnover_no_penalty
2023-02-28,optimal,0.00011366491642680887,0.02773531488817948,0.055243299942883406,0.2350389328236567,0.3500129988766454,0.9764570402714067,0.0001696641033025732,22,0.049999000019425095,0.15123262835238938,alpha_risk_turnover_no_penalty
2023-03-31,optimal,0.00037200969576135084,0.026038423362819564,0.05133282737038025,0.2265674896589982,0.3168632403997196,0.9529809055069989,0.0001680692047609259,21,0.04999900008040943,0.19999599976891905,alpha_risk_turnover_no_penalty
2023-04-28,optimal,0.0012515408565458054,0.025928581826394022,0.04935408191817691,0.22215778608497364,0.1625069540531378,0.9474127264896962,0.00013510180891255832,21,0.04999900007940205,0.19999599930010115,alpha_risk_turnover_no_penalty
2023-05-31,optimal,0.00731146541044745,0.027419961872956183,0.040216992929769414,0.20054174859557153,0.33364014817364407,0.9390574045789162,0.00012186341830893672,23,0.04999899998885475,0.1999959997234122,alpha_risk_turnover_no_penalty
2023-06-30,optimal,0.007245195849680024,0.02865024640571223,0.04281010107317827,0.20690601990560417,0.24945479911450816,1.0477335017151228,0.00021995766708372252,21,0.049999000877332195,0.18098856230872312,alpha_risk_turnover_no_penalty
2023-07-31,optimal,0.010959601190923728,0.02826521013910127,0.034611217788597166,0.18604090353628464,0.3000139935133921,0.9627387113583662,0.000166191145905034,21,0.04999900152579129,0.19999600474271056,alpha_risk_turnover_no_penalty
2023-08-31,optimal,0.012401116849675806,0.02898266755419237,0.0331631014090038,0.18210738977044233,0.26865282225484155,0.9809262105804549,0.00022245631938815023,22,0.04999900007686791,0.19999599868985046,alpha_risk_turnover_no_penalty
2023-09-29,optimal,0.01560108404043665,0.02977734210899039,0.02835251613762387,0.16838205408422796,0.3344325833477672,0.9561482314892277,0.00016474375585694682,22,0.04999900019924221,0.1999960000135102,alpha_risk_turnover_no_penalty
2023-10-31,optimal,0.018726749407210017,0.030278711098497578,0.0231039234073645,0.1519997480503323,0.38260262152341834,0.9610939426707603,0.00015983678682935116,21,0.04999900000704,0.19999599954637126,alpha_risk_turnover_no_penalty
2023-11-30,optimal,0.019060420818566487,0.029387636718435303,0.020654431730935854,0.14371649776882212,0.39999201595832845,0.9550304668465983,0.000138337222602374,21,0.04999900134289434,0.20001598738983536,alpha_risk_turnover_no_penalty
2023-12-29,optimal,0.019597500041275594,0.029860107103957232,0.020525214113972914,0.14326623507991307,0.15152738915899333,1.0398756424047304,0.0001253822000705053,21,0.04999900037109233,0.19999600030695247,alpha_risk_turnover_no_penalty
2024-01-31,optimal,0.0206638300624293,0.029732086889158762,0.01813651364600746,0.1346718739975332,0.20152637838388843,1.0052721834685825,0.00012752171788258466,21,0.04999900018480012,0.18019240540439618,alpha_risk_turnover_no_penalty
2024-02-29,optimal,0.020418044007991375,0.02978474975828057,0.018733411458659675,0.1368700531842509,0.16982059188178042,1.0455464284327478,0.00012719239633333845,21,0.049999001257788715,0.18106536164445602,alpha_risk_turnover_no_penalty
2024-03-28,optimal,0.021919216225005006,0.02985975825212801,0.015881084058121823,0.12602017321890105,0.3499730105043831,1.0534323683139812,0.00012211160427807622,22,0.049999000010860564,0.19999599969125847,alpha_risk_turnover_no_penalty
2024-04-30,optimal,0.021854502024313393,0.030611775790862734,0.017514547436116988,0.13234253827140005,0.39846521035470367,1.1042295860870364,0.0001158756318186745,21,0.04999900124645519,0.19999600139945184,alpha_risk_turnover_no_penalty
2024-05-31,optimal,0.022746442738176956,0.030611816415108576,0.01573074733531681,0.12542227607294013,0.10001799295918844,1.045630383668518,0.00011579105020055135,21,0.049999000574348515,0.1999960010357449,alpha_risk_turnover_no_penalty
2024-06-28,optimal,0.023827038352736023,0.0303324022537957,0.01301072779716401,0.11406457731111798,0.24197270133601734,0.95882442657146,0.00012737096571642002,22,0.04999900029502488,0.14999700083177042,alpha_risk_turnover_no_penalty
2024-07-31,optimal,0.022952525257537923,0.030153234763698196,0.01440141900904945,0.12000591239205446,0.23867137965874904,0.9753931089134275,0.0001387899515370398,21,0.049999000249391044,0.1999960006433309,alpha_risk_turnover_no_penalty
2024-08-30,optimal,0.021619275743126422,0.03002485210635771,0.016811152721672315,0.1296578293882491,0.18851838707954807,0.9970056758291529,0.00014588390015629214,21,0.049999000659682796,0.16040375303763696,alpha_risk_turnover_no_penalty
2024-09-30,optimal,0.021455485727561206,0.03030104407724293,0.017691116708501257,0.13300795731271592,0.11038475339581386,0.9940753022991543,0.00014006585282959436,21,0.0499989999800725,0.14999699986559087,alpha_risk_turnover_no_penalty
2024-10-31,optimal,0.021008898962416554,0.029227847604443906,0.01643789724984806,0.1282103632700885,0.32116049684327314,0.9781487620137228,0.0001345906938063989,22,0.04999900112543284,0.19999600279063856,alpha_risk_turnover_no_penalty
2024-11-29,optimal,0.020267718757677664,0.028367484001945577,0.016199530491479562,0.12727737619655569,0.2774572940901515,1.0155586936343097,0.00012784850325926481,23,0.04999899995576282,0.2499949983236389,alpha_risk_turnover_no_penalty
2024-12-31,optimal,0.021620481411017713,0.030073209068505104,0.016905455312296303,0.130020980277401,0.3251784435337781,0.965572844241051,0.00013679702144661838,22,0.04999900013848488,0.199996000423993,alpha_risk_turnover_no_penalty
