window_months,strategy_name,windows,mean_cagr,median_cagr,cagr_10th_percentile,minimum_cagr,positive_cagr_window_ratio,mean_sharpe,median_sharpe,sharpe_10th_percentile,minimum_sharpe,positive_excess_cagr_window_ratio,median_excess_cagr,worst_maximum_drawdown
12,score_weighted,66,0.2670885219218405,0.28233488172545707,0.008099231789088446,-0.1195801953675133,0.9090909090909091,1.4707280907798024,1.4628864918291122,0.16107228044738803,-0.34669554967946176,1.0,0.08320798803228363,-0.3434979632110362
12,top_n_equal_weight,66,0.25581238997786426,0.267805106302464,0.012668892802450427,-0.11169305968177712,0.9090909090909091,1.4645766966780172,1.4369405369514747,0.1757678859488336,-0.3310298091635076,0.9696969696969697,0.07855765871928677,-0.3371349201378667
12,median_mad_de,66,0.23725656648887747,0.2333475703804868,0.03798031853162964,-0.05783878698077882,0.9393939393939394,1.403680071385585,1.1629060070850321,0.28087923240680546,-0.1265023589935979,0.9090909090909091,0.053308024475632654,-0.3273252082835365
12,cvar,66,0.21869884934414863,0.20801791727472607,0.004424591037480163,-0.07392569624987044,0.9242424242424242,1.2772227495297237,1.1302210285306598,0.13726766549071795,-0.18370758950802285,0.7727272727272727,0.03417971139469256,-0.32628748886586467
12,alpha_risk_turnover,66,0.23329259093695806,0.21704879844979152,0.02743104047925149,-0.0543265700934491,0.9393939393939394,1.374415131413479,1.1244832413346726,0.2308744059989572,-0.10300293465749871,0.8181818181818182,0.050124179289307014,-0.3417954255229526
24,score_weighted,54,0.2363571325404129,0.2438336327309527,0.12573680430320444,0.050868068441587866,1.0,1.2339650810346579,1.2655165857135349,0.659141480387994,0.3355800358614704,1.0,0.08734735369016289,-0.3434979632110362
24,top_n_equal_weight,54,0.22541466701384674,0.23076135795163188,0.1206568732990817,0.04520020639064981,1.0,1.2224973494502194,1.2527180500086286,0.6489223081811232,0.3138453833117939,1.0,0.07657963606479501,-0.3371349201378667
24,median_mad_de,54,0.2107668989480095,0.2249179928414059,0.1043299481950004,0.023312955037465333,1.0,1.1710139093595782,1.2339780027252767,0.597440331057015,0.21507770906508972,0.9629629629629629,0.05370730645715255,-0.3273252082835365
24,alpha_risk_turnover,54,0.2075817191327751,0.2171378803542312,0.10980080980307086,0.033447286580376545,1.0,1.1525894611461578,1.1866865133977256,0.615453575096768,0.2633249104483741,0.9814814814814815,0.04422926002345018,-0.3417954255229526
24,cvar,54,0.19193045582920368,0.196599042780927,0.09375493298160598,0.01541437153474945,1.0,1.0676604018949345,1.101132579550207,0.549016384760046,0.17699299940994498,0.9444444444444444,0.030153815961262875,-0.32628748886586467
36,score_weighted,42,0.23414959951504705,0.22177326628766225,0.18817010405843076,0.16603938155822706,1.0,1.199963569081929,1.0964341643129534,0.9401043199310595,0.8794469198877143,1.0,0.09152869036745725,-0.3434979632110362
36,top_n_equal_weight,42,0.22340713359180672,0.21085425627551235,0.17947123091870265,0.15680779395900135,1.0,1.1874503732787458,1.0947498044327943,0.9417100031873449,0.8663815360263172,1.0,0.08150948747922593,-0.3371349201378667
36,median_mad_de,42,0.2007287226018144,0.19008983794566736,0.16016899607919993,0.13504065977290236,1.0,1.1164793801550457,1.0509089147068025,0.894284954456649,0.8115179618035967,1.0,0.058860556907329276,-0.3273252082835365
36,alpha_risk_turnover,42,0.20031505685667222,0.18968679870928806,0.16316729832193955,0.1381887258945793,1.0,1.1064460737065438,1.0430257353884642,0.9043040678761125,0.8219181242468828,0.9285714285714286,0.0625338716185726,-0.3417954255229526
36,cvar,42,0.18539020695130762,0.17933658919339635,0.1454980094926646,0.11671416410825075,1.0,1.024518169990319,0.9621684261496306,0.8289404177428197,0.7099978644461614,0.9047619047619048,0.04366012366406724,-0.32628748886586467
