model_name,features,top1_share,top5_share,top10_share,mean_nonzero_ratio
elastic_net,91,0.06018053364465848,0.25527705783002685,0.42556180844471375,0.43056943056943053
lightgbm_regressor,91,0.23910442779396376,0.48824454914894855,0.6496612829411061,
ridge,91,0.05481530243046479,0.21160289690229728,0.36308489165335533,0.989010989010989
