month,alpha_risk_turnover,cvar,median_mad_de,score_weighted,top_n_equal_weight,spy_buy_and_hold
2020-02-29,-0.06940226592485188,-0.07690649048908815,-0.07177333373664896,-0.06413317548939101,-0.06762961223803055,-0.08423687992949125
2020-03-31,-0.12248745790988957,-0.10987297044929256,-0.0989348688765953,-0.12048053538900838,-0.11380509619833212,-0.12487153761814751
2020-04-30,0.15846804807961523,0.15308176172414423,0.141656981808445,0.16455085833663619,0.16095528023775474,0.1269836370964108
2020-05-31,0.03376222892884728,0.045311674933168344,0.0393130906830097,0.049471197598695005,0.04674795176113822,0.04764513988910646
2020-06-30,0.03580325073819268,0.0372107955639811,0.02438885789160894,0.038659853902611285,0.03392925598213936,0.01773439196979809
2020-07-31,0.05608909881291768,0.06447552909119958,0.0665985316285358,0.05323398257527567,0.051345838155652856,0.05889226369388689
2020-08-31,0.08817534001109784,0.11010790955548377,0.08326479370866702,0.0963284482627711,0.08890910388720008,0.06979687381859856
2020-09-30,-0.037283049506706134,-0.02005265680586954,-0.021176948516797967,-0.031231858694343417,-0.027781053686179003,-0.0374437432643705
2020-10-31,-0.037740361527173305,-0.043948323870801054,-0.03547943883044946,-0.043779110014505185,-0.04031602482956387,-0.024933800776186676
2020-11-30,0.10526998608630089,0.09349130997469013,0.09198879688682515,0.12080445973128606,0.12059303745933714,0.10877704688899015
2020-12-31,0.05946101115445113,0.04431505102491973,0.04928572863019687,0.05561675361522078,0.053874139977130975,0.037048368176180846
2021-01-31,0.011199093080391131,0.01086880246634303,0.00350370878179862,0.010639527106580893,0.007746134319452036,-0.010190540587581842
2021-02-28,0.015615480466769416,0.006922477355962187,0.008767209778012486,0.03561799364049811,0.03716454990106355,0.027805531088237467
2021-03-31,0.042156596501685684,0.02146009538482274,0.03300706390945529,0.032954307735973964,0.03483462407310256,0.045399354325056596
2021-04-30,0.0439971755895614,0.04337934056534243,0.04220906106393896,0.04392683814886533,0.04227839656360044,0.05291057595735826
2021-05-31,0.008319280902203019,0.012052344076980637,0.020643838732465447,0.014805043522864603,0.017581407349457345,0.006565976480676916
2021-06-30,0.03907621102029135,0.03549243640634492,0.030604022438296852,0.04042282485197157,0.03583772024928589,0.02242768550890073
2021-07-31,0.01851714546973704,0.018640672503872135,0.01604945965332627,0.016188890931731148,0.015758578061783268,0.024412269942394316
2021-08-31,0.039160289337392795,0.040882565018310224,0.04525226545483063,0.040170093363565584,0.04101474869997035,0.029759790150247323
2021-09-30,-0.03270425312609848,-0.03051096671955389,-0.027658293967505854,-0.030577782042777724,-0.032285241500652484,-0.046605411473920055
2021-10-31,0.11668132614810234,0.1261475679367503,0.12394676573517693,0.11863829914338386,0.11507931936587679,0.07016361622909195
2021-11-30,0.020230400776718227,0.024099474399345233,0.032735118425919474,0.01742037640037819,0.012751067067192423,-0.008034986713717829
2021-12-31,0.03849558453659396,0.037399269640672195,0.03676821959550014,0.03822725519186165,0.043862190315785865,0.04624800702567211
2022-01-31,-0.034119583713462465,-0.03561022215216014,-0.050759742097728155,-0.04030787491879906,-0.043892579318264624,-0.052741514502950615
2022-02-28,-0.02803687337427896,-0.037996443827665094,-0.027699853679894693,-0.03135822872647753,-0.03266475628936971,-0.02951691364539455
2022-03-31,0.04615829134454885,0.04774879523891418,0.05026416436522774,0.045136126242043106,0.042181198486531235,0.03759038646900881
2022-04-30,-0.0955208496311849,-0.09312182499394606,-0.0852834113629719,-0.10186046289642137,-0.09411707880665876,-0.08776903262193148
2022-05-31,0.005370652568311041,-0.002653086983753661,0.008929963290611687,0.0028948625864624322,0.0027185481261826627,0.002257291523279026
2022-06-30,-0.06609368988456132,-0.07627305281086982,-0.06730760723344931,-0.08497454288452944,-0.08109399670203077,-0.08246033501617955
2022-07-31,0.0979384289959826,0.10524688698333828,0.09640812161123069,0.11301447181056967,0.11276108907220594,0.09208731718815044
2022-08-31,-0.026480323122839433,-0.03297224480546501,-0.029318220041567034,-0.029772738913604435,-0.026743985355005107,-0.040802082113971294
2022-09-30,-0.08340106795465896,-0.09795319446837103,-0.0869759711519753,-0.08879314254173953,-0.08682323179743323,-0.09244577326810488
2022-10-31,0.11940363277557697,0.1237108892278227,0.12557977955807598,0.09483725303720458,0.09083217350907069,0.08127572016460949
2022-11-30,0.08919476306700869,0.09781544053738811,0.07766227997649588,0.09111391751967113,0.08618706622478656,0.0555914979447536
2022-12-31,-0.050610326541527084,-0.040949010214066606,-0.04175503006115755,-0.06416780950136103,-0.0573041838219186,-0.05762854814249352
2023-01-31,0.05632786013258939,0.04994777486115298,0.04835220709717292,0.10086350487565277,0.09402743776866185,0.06288756895121961
2023-02-28,-0.045364087784526275,-0.04524943895552125,-0.03808563619570393,-0.02435147453020925,-0.025215211301797935,-0.025142575016329882
2023-03-31,0.020964408011026725,0.008027520218927275,0.0022903746398299507,0.03275508920030701,0.02545775145314577,0.03707761286041289
2023-04-30,0.005712379717672134,0.004552685959869018,0.012343140303495037,0.005469436457563148,0.005644435147646565,0.01597499793803414
2023-05-31,-0.00017469322566299184,0.0011735694896226612,-0.013948616767422761,0.032440721456651556,0.029731699317754545,0.00461627734448089
2023-06-30,0.06128927644634907,0.06516627336392089,0.06064648688392538,0.07193023146783939,0.07129820477112125,0.06479971073208635
2023-07-31,0.06067288040975338,0.06293476152332333,0.05121618331720379,0.05972739060801424,0.056631740426494215,0.032733258256955056
2023-08-31,-0.024335145534286284,-0.019899577994533235,-0.013879261739898952,-0.024025500819107592,-0.020016354395421154,-0.016251943528180823
2023-09-30,-0.04989576575684829,-0.04625608195451658,-0.05268289971078233,-0.052133628502668006,-0.0533600790889881,-0.047434469020759984
2023-10-31,-0.013612839093998352,-0.026007756996918818,-0.012525093586929548,-0.019372060518585976,-0.02242789922223043,-0.02170873513123417
2023-11-30,0.07780936744148925,0.08299574722242631,0.08279507888076765,0.08664453642039582,0.08589336692739669,0.09134378602981763
2023-12-31,0.05065731207849944,0.05949553032610155,0.05088077562375326,0.059038485384879325,0.06287789794701171,0.04565546814212795
2024-01-31,0.010659198625845079,-0.0010437259525690745,0.005968889449014636,0.008690008725987797,0.005455423928489855,0.015926387625107896
2024-02-29,0.05429936603703811,0.0689599977926405,0.06888468238275136,0.06445742115628272,0.06719129599642404,0.052186832260609606
2024-03-31,0.03466157423463945,0.028130348137866745,0.032870508370758555,0.03558837827137484,0.036178136832843544,0.03270214795505644
2024-04-30,-0.028256009083272637,-0.034322918821106496,-0.031314907902916245,-0.03097621360504954,-0.03173289619149555,-0.04031974376591485
2024-05-31,0.04807160828434753,0.032270592669832565,0.04673730065690207,0.0454490068507325,0.04105865024122979,0.05057953788934255
2024-06-30,0.030581237529990757,0.03108056241890833,0.03318465559429318,0.02498561623393969,0.017654788215906825,0.035280338618985496
2024-07-31,0.019017723412910748,0.0195014880269202,0.022643625760020436,0.02236878688282773,0.02006864187974955,0.012109000174276296
2024-08-31,0.03626930270440831,0.03580620196651951,0.028316013654670513,0.03415361630727576,0.03518584259620039,0.023365738515667367
2024-09-30,0.021138140288442964,0.02272722336119526,0.023994562367840144,0.02956925499878338,0.02795590676478299,0.021004553657945513
