year,months,mean_ic,median_ic,annualized_ic_ir,positive_ic_ratio,mean_top_bottom_spread,median_top_bottom_spread,positive_spread_ratio,mean_top_quintile_precision
2020,12,0.08035214085634254,0.061896758703481394,1.5638038307157618,0.6666666666666666,0.028383728409638657,0.034255874917959735,0.75,0.2833333333333333
2021,12,0.03727891156462585,-0.014165666266506602,0.49016347166609986,0.5,0.003348268858969595,-0.0009467984033583845,0.5,0.26666666666666666
2022,12,0.031906137348145895,0.0011287073477074007,0.4675895842074657,0.5,0.009296097051170208,0.0015789480508059785,0.5,0.21666666666666667
2023,12,-0.00048019207683074164,-0.034717887154861946,-0.008811310803908639,0.4166666666666667,0.005122877455267081,-0.004409105363259108,0.5,0.24999999999999997
2024,12,0.07799919967987196,0.08509003601440576,2.024653615349949,0.75,0.019983119772252273,0.024014649776851887,0.75,0.275
2025,12,0.04068429561579365,0.002569159048903564,0.5467832767625128,0.5,0.009514283240172795,0.009444270248676046,0.5833333333333334,0.3
2026,5,-0.018660264105642248,-0.043745498199279705,-0.2925734483541471,0.4,0.007993038565387078,0.015113479335742298,0.6,0.18
