model_name,as_of_date,quintile,observations,mean_target,median_target,positive_target_ratio
elastic_net,2020-01-31,1,10,-0.0022863956190222632,-0.0033893017391052327,0.4
elastic_net,2020-01-31,2,10,-0.010433623972013917,0.004935402286877,0.5
elastic_net,2020-01-31,3,10,0.0027612394769547244,-0.004773449325413626,0.5
elastic_net,2020-01-31,4,10,0.012451992419521506,0.004249012112583772,0.6
elastic_net,2020-01-31,5,10,0.01635762356700583,-0.0019912444527427353,0.5
elastic_net,2020-02-28,1,10,0.01695222836979595,0.03118418675254142,0.5
elastic_net,2020-02-28,2,10,0.01955904248888768,0.024511113616030533,0.6
elastic_net,2020-02-28,3,10,-0.006011977630658349,-0.011141967319355572,0.4
elastic_net,2020-02-28,4,10,-0.02862077999022685,-0.030562331374756058,0.4
elastic_net,2020-02-28,5,10,-0.006801450764186634,0.03786256313319919,0.6
elastic_net,2020-03-31,1,10,-0.03339219291098748,-0.06310643276211003,0.3
elastic_net,2020-03-31,2,10,-0.005925968065739418,0.0006905096091934793,0.5
elastic_net,2020-03-31,3,10,0.012046383348565004,0.013363282270081212,0.6
elastic_net,2020-03-31,4,10,-0.010524213995986664,0.0,0.5
elastic_net,2020-03-31,5,10,0.08111525974536034,0.039246659198271194,0.6
elastic_net,2020-04-30,1,10,0.03075102123903466,0.03864480402582138,0.7
elastic_net,2020-04-30,2,10,0.014048680188023355,-0.023886285155672815,0.4
elastic_net,2020-04-30,3,10,0.010742389652590712,-0.0011783193151068128,0.5
elastic_net,2020-04-30,4,10,-0.0038642476337040987,-0.012367323158186228,0.4
elastic_net,2020-04-30,5,10,0.02352409362558653,0.004573686589711912,0.5
elastic_net,2020-05-29,1,10,0.0022264440826975096,-0.005713271835518063,0.3
elastic_net,2020-05-29,2,10,-0.009910057530227523,-0.015430997794090351,0.4
elastic_net,2020-05-29,3,10,0.024962492347484,0.0106988831994555,0.5
elastic_net,2020-05-29,4,10,0.04419308794540886,0.016113863452118626,0.7
elastic_net,2020-05-29,5,10,0.04503390365972525,0.04235492970882787,0.6
elastic_net,2020-06-30,1,10,0.021405580559526682,0.015054267290467882,0.6
elastic_net,2020-06-30,2,10,0.02492531823218911,0.033077740497930774,0.6
elastic_net,2020-06-30,3,10,0.005658122336026861,-0.011892486199695962,0.5
elastic_net,2020-06-30,4,10,-0.000981813807886267,-0.00484617858190417,0.4
elastic_net,2020-06-30,5,10,0.013388878912530133,-0.0068263031283308795,0.4
elastic_net,2020-07-31,1,10,0.0038696316157666886,0.012092273171510515,0.6
elastic_net,2020-07-31,2,10,0.0029537911990692002,0.013064396769633002,0.5
elastic_net,2020-07-31,3,10,-0.010845291665037126,-0.014686889756291954,0.5
elastic_net,2020-07-31,4,10,0.013647652538335619,0.0145336668084326,0.6
elastic_net,2020-07-31,5,10,0.04342353456676825,-0.04502998210184328,0.3
elastic_net,2020-08-31,1,10,-0.010883049183153637,-0.0137572700817446,0.4
elastic_net,2020-08-31,2,10,-0.0020489312673503957,0.0008751903494824687,0.6
elastic_net,2020-08-31,3,10,-0.005823773010527456,0.009790906675906264,0.7
elastic_net,2020-08-31,4,10,-0.014149481339518877,0.00035925201976144683,0.5
elastic_net,2020-08-31,5,10,-0.06001842405802371,-0.049644318629722906,0.3
elastic_net,2020-09-30,1,10,-0.010651086765937966,-0.0012776076053555019,0.4
elastic_net,2020-09-30,2,10,0.004911202141384008,0.00069797022995155,0.6
elastic_net,2020-09-30,3,10,-0.00701995140712589,-0.010668828519768192,0.5
elastic_net,2020-09-30,4,10,0.019790392106549527,0.015628600441349394,0.6
elastic_net,2020-09-30,5,10,0.006618028998403791,-0.004793403773299343,0.4
elastic_net,2020-10-30,1,10,-0.0008780045632114097,-0.020724408840260944,0.4
elastic_net,2020-10-30,2,10,-0.015019148985985765,-0.022126724479187843,0.3
elastic_net,2020-10-30,3,10,0.038999930754179776,0.02958193450397628,0.7
elastic_net,2020-10-30,4,10,-0.021900756609487825,-0.02131491388721407,0.3
elastic_net,2020-10-30,5,10,0.13116169196386243,0.13260081512822253,0.8
elastic_net,2020-11-30,1,10,-0.017725220285058164,-0.008054365024947274,0.5
elastic_net,2020-11-30,2,10,-0.007637492397859369,-0.021065848971826506,0.3
elastic_net,2020-11-30,3,10,0.008220011645885539,-0.0072864284837401705,0.5
elastic_net,2020-11-30,4,10,0.006476988723259658,-0.008627999640660966,0.5
elastic_net,2020-11-30,5,10,0.04300332670154783,0.029302926396525764,0.7
elastic_net,2020-12-31,1,10,-0.027653740594817,-0.02395685746920928,0.3
elastic_net,2020-12-31,2,10,0.008743247861426584,0.038452525958053485,0.6
elastic_net,2020-12-31,3,10,-0.03523775153225278,-0.046414370290637164,0.3
elastic_net,2020-12-31,4,10,0.009994985204383156,0.020000183264736626,0.7
elastic_net,2020-12-31,5,10,0.0419894089950278,0.008476374674024512,0.6
elastic_net,2021-01-29,1,10,0.008723803533424213,-0.023626277905771265,0.4
elastic_net,2021-01-29,2,10,0.022246601017586732,0.013301286739265117,0.6
